GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17f5d685-ed80-4953-b02e-b069e529faa6	1	3301765	22982232	11065	-0.2408
17f5d685-ed80-4953-b02e-b069e529faa6	1	22982578	75617982	30187	-0.2159
17f5d685-ed80-4953-b02e-b069e529faa6	1	75619957	75685113	54	0.2948
17f5d685-ed80-4953-b02e-b069e529faa6	1	75685408	107297631	18855	-0.2077
17f5d685-ed80-4953-b02e-b069e529faa6	1	107297897	109880680	1343	0.4939
17f5d685-ed80-4953-b02e-b069e529faa6	1	109881907	109942873	47	-0.211
17f5d685-ed80-4953-b02e-b069e529faa6	1	109947719	225837474	53942	0.4921
17f5d685-ed80-4953-b02e-b069e529faa6	1	225873306	227161205	773	-0.1989
17f5d685-ed80-4953-b02e-b069e529faa6	1	227163492	236118155	5779	0.4954
17f5d685-ed80-4953-b02e-b069e529faa6	1	236122114	236127732	7	-0.3539
17f5d685-ed80-4953-b02e-b069e529faa6	1	236128593	247650984	7381	0.4829
17f5d685-ed80-4953-b02e-b069e529faa6	2	480597	158929428	84217	-0.0802
17f5d685-ed80-4953-b02e-b069e529faa6	2	158930941	158931281	2	-4.3412
17f5d685-ed80-4953-b02e-b069e529faa6	2	158931342	241537572	47629	-0.0672
17f5d685-ed80-4953-b02e-b069e529faa6	3	2170634	197812401	106945	0.0374
17f5d685-ed80-4953-b02e-b069e529faa6	4	1059384	10497588	4965	0.0405
17f5d685-ed80-4953-b02e-b069e529faa6	4	10500710	10513597	15	-0.5138
17f5d685-ed80-4953-b02e-b069e529faa6	4	10516854	17677350	5382	0.0375
17f5d685-ed80-4953-b02e-b069e529faa6	4	17680382	23017125	3285	0.0146
17f5d685-ed80-4953-b02e-b069e529faa6	4	23018777	61855849	20821	0.0456
17f5d685-ed80-4953-b02e-b069e529faa6	4	61856418	61862400	2	-1.2808
17f5d685-ed80-4953-b02e-b069e529faa6	4	61862406	66498090	2390	0.0322
17f5d685-ed80-4953-b02e-b069e529faa6	4	66501635	172652239	58666	0.0543
17f5d685-ed80-4953-b02e-b069e529faa6	4	172652427	187842528	7680	0.0335
17f5d685-ed80-4953-b02e-b069e529faa6	5	913983	9106790	5929	0.1054
17f5d685-ed80-4953-b02e-b069e529faa6	5	9106996	16790799	4557	0.1389
17f5d685-ed80-4953-b02e-b069e529faa6	5	16792788	26369861	4799	0.1123
17f5d685-ed80-4953-b02e-b069e529faa6	5	26378171	26382239	7	-0.6426
17f5d685-ed80-4953-b02e-b069e529faa6	5	26386669	31099013	2641	0.1133
17f5d685-ed80-4953-b02e-b069e529faa6	5	31100150	135486593	54981	0.1407
17f5d685-ed80-4953-b02e-b069e529faa6	5	135489795	135489993	2	-1.7758
17f5d685-ed80-4953-b02e-b069e529faa6	5	135492523	178533974	26702	0.1353
17f5d685-ed80-4953-b02e-b069e529faa6	5	178535366	180934240	1249	0.1105
17f5d685-ed80-4953-b02e-b069e529faa6	6	1011760	47414428	28065	-0.5982
17f5d685-ed80-4953-b02e-b069e529faa6	6	47414594	151528892	57628	-0.5604
17f5d685-ed80-4953-b02e-b069e529faa6	6	151529319	151811814	207	-0.2
17f5d685-ed80-4953-b02e-b069e529faa6	6	151811970	153086786	1008	-0.5698
17f5d685-ed80-4953-b02e-b069e529faa6	6	153087573	170596889	9752	-0.6027
17f5d685-ed80-4953-b02e-b069e529faa6	7	664936	49381832	28618	0.043
17f5d685-ed80-4953-b02e-b069e529faa6	7	49383689	75806547	9649	0.0198
17f5d685-ed80-4953-b02e-b069e529faa6	7	75807789	103907609	14015	0.0501
17f5d685-ed80-4953-b02e-b069e529faa6	7	103909277	103909319	2	-1.8587
17f5d685-ed80-4953-b02e-b069e529faa6	7	103917371	158592540	29474	0.0424
17f5d685-ed80-4953-b02e-b069e529faa6	8	667625	28163998	16529	0.1509
17f5d685-ed80-4953-b02e-b069e529faa6	8	28164252	28168008	2	-1.1551
17f5d685-ed80-4953-b02e-b069e529faa6	8	28168151	29628109	903	0.1935
17f5d685-ed80-4953-b02e-b069e529faa6	8	29630341	43077335	7603	0.144
17f5d685-ed80-4953-b02e-b069e529faa6	8	43078229	99755370	30256	0.465
17f5d685-ed80-4953-b02e-b069e529faa6	8	99758057	133488004	20831	0.4813
17f5d685-ed80-4953-b02e-b069e529faa6	8	133488006	144182542	5946	0.4577
17f5d685-ed80-4953-b02e-b069e529faa6	9	789794	4976394	3019	-0.5974
17f5d685-ed80-4953-b02e-b069e529faa6	9	4976751	5353868	219	-0.4064
17f5d685-ed80-4953-b02e-b069e529faa6	9	5354156	8672630	1678	-0.5916
17f5d685-ed80-4953-b02e-b069e529faa6	9	8675968	8677054	3	-2.3405
17f5d685-ed80-4953-b02e-b069e529faa6	9	8677093	15229512	3417	-0.5687
17f5d685-ed80-4953-b02e-b069e529faa6	9	15229768	15229799	2	-3.7745
17f5d685-ed80-4953-b02e-b069e529faa6	9	15230093	25252133	7361	-0.5728
17f5d685-ed80-4953-b02e-b069e529faa6	9	25352693	27603614	1398	0.0209
17f5d685-ed80-4953-b02e-b069e529faa6	9	27608106	29780388	1075	-0.5784
17f5d685-ed80-4953-b02e-b069e529faa6	9	30001540	37354422	4308	0.0356
17f5d685-ed80-4953-b02e-b069e529faa6	9	37358610	38752071	1001	-0.6037
17f5d685-ed80-4953-b02e-b069e529faa6	9	68423153	138044505	44788	0.0348
17f5d685-ed80-4953-b02e-b069e529faa6	10	366509	126983521	77711	-0.0389
17f5d685-ed80-4953-b02e-b069e529faa6	10	126985429	131183646	2728	-0.0709
17f5d685-ed80-4953-b02e-b069e529faa6	10	131184030	131184174	2	1.0734
17f5d685-ed80-4953-b02e-b069e529faa6	10	131184211	133411599	636	-0.0637
17f5d685-ed80-4953-b02e-b069e529faa6	11	456012	50101778	30606	0.1777
17f5d685-ed80-4953-b02e-b069e529faa6	11	56244856	66529338	4722	-0.5748
17f5d685-ed80-4953-b02e-b069e529faa6	11	66535198	66713992	59	0.6481
17f5d685-ed80-4953-b02e-b069e529faa6	11	66720062	67292735	201	1.6151
17f5d685-ed80-4953-b02e-b069e529faa6	11	67293901	67529387	87	1.2384
17f5d685-ed80-4953-b02e-b069e529faa6	11	68003122	68694616	297	0.6779
17f5d685-ed80-4953-b02e-b069e529faa6	11	68701287	69506105	489	-0.5935
17f5d685-ed80-4953-b02e-b069e529faa6	11	69508111	69619535	69	1.1127
17f5d685-ed80-4953-b02e-b069e529faa6	11	69619812	69741702	75	1.3935
17f5d685-ed80-4953-b02e-b069e529faa6	11	69744833	69836687	57	1.634
17f5d685-ed80-4953-b02e-b069e529faa6	11	69843442	69885212	28	1.3509
17f5d685-ed80-4953-b02e-b069e529faa6	11	69954050	70074028	83	1.2562
17f5d685-ed80-4953-b02e-b069e529faa6	11	70074911	70210571	82	1.0271
17f5d685-ed80-4953-b02e-b069e529faa6	11	70225613	70938094	414	0.184
17f5d685-ed80-4953-b02e-b069e529faa6	11	70940536	71237563	102	0.7107
17f5d685-ed80-4953-b02e-b069e529faa6	11	71239775	71312044	49	1.1968
17f5d685-ed80-4953-b02e-b069e529faa6	11	71312062	71494362	162	0.9413
17f5d685-ed80-4953-b02e-b069e529faa6	11	71496159	71592950	66	0.1719
17f5d685-ed80-4953-b02e-b069e529faa6	11	71615907	71868415	44	-0.2812
17f5d685-ed80-4953-b02e-b069e529faa6	11	71869045	72444840	243	-0.5565
17f5d685-ed80-4953-b02e-b069e529faa6	11	72447531	72537322	44	0.2392
17f5d685-ed80-4953-b02e-b069e529faa6	11	72539451	72548123	13	0.7504
17f5d685-ed80-4953-b02e-b069e529faa6	11	72552018	74648021	1050	0.1951
17f5d685-ed80-4953-b02e-b069e529faa6	11	74653516	74653521	2	-1.3316
17f5d685-ed80-4953-b02e-b069e529faa6	11	74653685	75339863	383	0.2054
17f5d685-ed80-4953-b02e-b069e529faa6	11	75340223	75534540	112	-0.5514
17f5d685-ed80-4953-b02e-b069e529faa6	11	75537146	76031374	266	0.1906
17f5d685-ed80-4953-b02e-b069e529faa6	11	76035590	76949894	519	0.6647
17f5d685-ed80-4953-b02e-b069e529faa6	11	76956128	77804238	417	0.1685
17f5d685-ed80-4953-b02e-b069e529faa6	11	77805102	79481667	1177	0.675
17f5d685-ed80-4953-b02e-b069e529faa6	11	79481756	80651264	885	0.2079
17f5d685-ed80-4953-b02e-b069e529faa6	11	80652064	80656566	6	-0.5332
17f5d685-ed80-4953-b02e-b069e529faa6	11	80661197	80675177	8	0.1792
17f5d685-ed80-4953-b02e-b069e529faa6	11	80675280	81500839	562	-0.5873
17f5d685-ed80-4953-b02e-b069e529faa6	11	81504890	88833926	4447	0.2178
17f5d685-ed80-4953-b02e-b069e529faa6	11	88833939	92678609	2043	0.1779
17f5d685-ed80-4953-b02e-b069e529faa6	11	92682533	93023385	269	-0.5681
17f5d685-ed80-4953-b02e-b069e529faa6	11	93027097	95741600	1630	0.3031
17f5d685-ed80-4953-b02e-b069e529faa6	11	95741898	97537343	1260	-0.5597
17f5d685-ed80-4953-b02e-b069e529faa6	11	97542144	98222054	344	0.2917
17f5d685-ed80-4953-b02e-b069e529faa6	11	98223945	101634398	2527	-0.5478
17f5d685-ed80-4953-b02e-b069e529faa6	11	101640270	102116371	305	0.2885
17f5d685-ed80-4953-b02e-b069e529faa6	11	102392217	112468762	5958	-0.5617
17f5d685-ed80-4953-b02e-b069e529faa6	11	112472199	118295497	4197	-0.6057
17f5d685-ed80-4953-b02e-b069e529faa6	11	118295570	118485325	160	-0.5142
17f5d685-ed80-4953-b02e-b069e529faa6	11	118487003	119007103	288	0.2786
17f5d685-ed80-4953-b02e-b069e529faa6	11	119008858	123355993	3063	-0.5962
17f5d685-ed80-4953-b02e-b069e529faa6	11	123359146	123361538	2	-2.9101
17f5d685-ed80-4953-b02e-b069e529faa6	11	123362093	134272740	7432	-0.5913
17f5d685-ed80-4953-b02e-b069e529faa6	12	780472	55465575	28658	0.0634
17f5d685-ed80-4953-b02e-b069e529faa6	12	55467155	55473812	19	-0.3089
17f5d685-ed80-4953-b02e-b069e529faa6	12	55476206	105389992	30581	0.0684
17f5d685-ed80-4953-b02e-b069e529faa6	12	105392975	105393038	2	-1.5072
17f5d685-ed80-4953-b02e-b069e529faa6	12	105393922	126055489	12198	0.0507
17f5d685-ed80-4953-b02e-b069e529faa6	12	126056775	131608112	2497	0.0135
17f5d685-ed80-4953-b02e-b069e529faa6	12	131608120	132605822	224	0.0886
17f5d685-ed80-4953-b02e-b069e529faa6	13	18874255	104153469	50607	0.0532
17f5d685-ed80-4953-b02e-b069e529faa6	13	104153706	104154267	2	-1.6972
17f5d685-ed80-4953-b02e-b069e529faa6	13	104159070	108808619	3092	0.045
17f5d685-ed80-4953-b02e-b069e529faa6	13	108811703	108811710	2	-1.3881
17f5d685-ed80-4953-b02e-b069e529faa6	13	108812196	114226675	3128	0.045
17f5d685-ed80-4953-b02e-b069e529faa6	14	20033191	20308930	160	0.6511
17f5d685-ed80-4953-b02e-b069e529faa6	14	20313799	21006080	428	1.0101
17f5d685-ed80-4953-b02e-b069e529faa6	14	21006947	21635545	321	0.662
17f5d685-ed80-4953-b02e-b069e529faa6	14	22664303	23333316	212	0.2214
17f5d685-ed80-4953-b02e-b069e529faa6	14	23336981	24792634	794	-0.5775
17f5d685-ed80-4953-b02e-b069e529faa6	14	24796030	63202544	22016	0.2147
17f5d685-ed80-4953-b02e-b069e529faa6	14	63202724	63202929	2	-1.4202
17f5d685-ed80-4953-b02e-b069e529faa6	14	63203287	105533894	25752	0.2097
17f5d685-ed80-4953-b02e-b069e529faa6	15	23437561	30867060	2737	-0.3099
17f5d685-ed80-4953-b02e-b069e529faa6	15	30869003	30997246	78	-0.1773
17f5d685-ed80-4953-b02e-b069e529faa6	15	30998178	31002248	3	-1.5859
17f5d685-ed80-4953-b02e-b069e529faa6	15	31002451	83532416	31144	-0.2703
17f5d685-ed80-4953-b02e-b069e529faa6	15	83532454	101344124	10686	-0.2894
17f5d685-ed80-4953-b02e-b069e529faa6	16	603333	89317317	41145	0.0618
17f5d685-ed80-4953-b02e-b069e529faa6	17	1074619	12674530	6420	-0.1636
17f5d685-ed80-4953-b02e-b069e529faa6	17	12676380	12677024	4	-1.2384
17f5d685-ed80-4953-b02e-b069e529faa6	17	12679470	35981434	7397	-0.1622
17f5d685-ed80-4953-b02e-b069e529faa6	17	35981646	35984351	2	-1.4746
17f5d685-ed80-4953-b02e-b069e529faa6	17	35985117	55544131	8952	-0.1485
17f5d685-ed80-4953-b02e-b069e529faa6	17	55548781	56732081	980	1.34
17f5d685-ed80-4953-b02e-b069e529faa6	17	56737481	57778689	792	0.8148
17f5d685-ed80-4953-b02e-b069e529faa6	17	57778948	58887071	569	-0.1424
17f5d685-ed80-4953-b02e-b069e529faa6	17	58889863	59799109	369	1.4648
17f5d685-ed80-4953-b02e-b069e529faa6	17	59802327	60419777	262	0.7949
17f5d685-ed80-4953-b02e-b069e529faa6	17	60421102	60748309	151	1.2116
17f5d685-ed80-4953-b02e-b069e529faa6	17	60750927	62901582	1043	-0.1413
17f5d685-ed80-4953-b02e-b069e529faa6	17	62905345	63496183	261	1.2397
17f5d685-ed80-4953-b02e-b069e529faa6	17	63498784	63731243	103	0.8098
17f5d685-ed80-4953-b02e-b069e529faa6	17	63734168	64666389	440	1.193
17f5d685-ed80-4953-b02e-b069e529faa6	17	64667139	64697678	8	0.7035
17f5d685-ed80-4953-b02e-b069e529faa6	17	64698620	64808025	51	1.0485
17f5d685-ed80-4953-b02e-b069e529faa6	17	64816408	64952455	13	0.6869
17f5d685-ed80-4953-b02e-b069e529faa6	17	64952808	65074741	69	1.1171
17f5d685-ed80-4953-b02e-b069e529faa6	17	65077238	66057554	639	1.2802
17f5d685-ed80-4953-b02e-b069e529faa6	17	66057680	66493013	196	1.1047
17f5d685-ed80-4953-b02e-b069e529faa6	17	66493389	66748195	216	0.8957
17f5d685-ed80-4953-b02e-b069e529faa6	17	66749572	67798370	683	1.1287
17f5d685-ed80-4953-b02e-b069e529faa6	17	67798390	68459197	259	1.3644
17f5d685-ed80-4953-b02e-b069e529faa6	17	68460522	68885488	317	1.1416
17f5d685-ed80-4953-b02e-b069e529faa6	17	68888155	69277261	238	0.9042
17f5d685-ed80-4953-b02e-b069e529faa6	17	69277471	69494089	124	0.6165
17f5d685-ed80-4953-b02e-b069e529faa6	17	69505997	69935286	253	0.3078
17f5d685-ed80-4953-b02e-b069e529faa6	17	69935445	70162769	159	0.5026
17f5d685-ed80-4953-b02e-b069e529faa6	17	70163488	70931578	598	0.3038
17f5d685-ed80-4953-b02e-b069e529faa6	17	70931812	71085298	141	0.6431
17f5d685-ed80-4953-b02e-b069e529faa6	17	71086645	71170537	76	1.2626
17f5d685-ed80-4953-b02e-b069e529faa6	17	71173664	72560304	1078	0.6315
17f5d685-ed80-4953-b02e-b069e529faa6	17	72561207	72613727	35	1.1002
17f5d685-ed80-4953-b02e-b069e529faa6	17	72616827	73432766	608	0.9123
17f5d685-ed80-4953-b02e-b069e529faa6	17	73433103	73769196	255	1.1218
17f5d685-ed80-4953-b02e-b069e529faa6	17	73769275	73817945	39	0.9023
17f5d685-ed80-4953-b02e-b069e529faa6	17	73820787	74897033	94	1.1988
17f5d685-ed80-4953-b02e-b069e529faa6	17	74897639	75020526	59	1.5706
17f5d685-ed80-4953-b02e-b069e529faa6	17	75021866	76182277	473	1.1078
17f5d685-ed80-4953-b02e-b069e529faa6	17	76200640	76655610	228	0.352
17f5d685-ed80-4953-b02e-b069e529faa6	17	76656192	77449922	391	0.6771
17f5d685-ed80-4953-b02e-b069e529faa6	17	77452076	78767490	543	0.3489
17f5d685-ed80-4953-b02e-b069e529faa6	17	78774241	79088192	166	-0.1629
17f5d685-ed80-4953-b02e-b069e529faa6	17	79088593	80156511	472	0.3234
17f5d685-ed80-4953-b02e-b069e529faa6	17	80161337	80393633	106	0.9298
17f5d685-ed80-4953-b02e-b069e529faa6	17	80394251	80503330	39	0.385
17f5d685-ed80-4953-b02e-b069e529faa6	17	80506091	80641736	102	0.6914
17f5d685-ed80-4953-b02e-b069e529faa6	17	80697103	82602618	579	-0.1468
17f5d685-ed80-4953-b02e-b069e529faa6	17	82611607	82613819	6	-2.0465
17f5d685-ed80-4953-b02e-b069e529faa6	17	82614057	82935395	157	-1.0088
17f5d685-ed80-4953-b02e-b069e529faa6	17	82940502	82959812	19	-0.2131
17f5d685-ed80-4953-b02e-b069e529faa6	18	326691	79349796	42823	-0.2231
17f5d685-ed80-4953-b02e-b069e529faa6	19	283868	23540118	8810	-0.2366
17f5d685-ed80-4953-b02e-b069e529faa6	19	23540845	31671851	3175	-0.2927
17f5d685-ed80-4953-b02e-b069e529faa6	19	31671969	46294573	7126	-0.2359
17f5d685-ed80-4953-b02e-b069e529faa6	19	46303373	46305354	2	-2.1157
17f5d685-ed80-4953-b02e-b069e529faa6	19	46306120	58370362	4985	-0.2529
17f5d685-ed80-4953-b02e-b069e529faa6	20	472817	34644819	18562	0.023
17f5d685-ed80-4953-b02e-b069e529faa6	20	34647874	35867735	567	0.9001
17f5d685-ed80-4953-b02e-b069e529faa6	20	35871099	35947469	51	1.3687
