GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	62920	668210	21	-0.5966
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	771719	3816218	982	0.3355
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	3816597	5194671	1167	0.2308
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	5196714	5672909	401	0.2958
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	5673873	12807830	3938	0.3682
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	12813243	14733135	1055	0.2513
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	14734707	15823420	774	0.3371
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	15827002	15828515	10	0.9617
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	15839166	16785682	351	0.3376
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	16787932	16935737	57	-0.2147
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	16935752	17343416	304	0.3888
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	17348042	18746865	1036	0.3128
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	18751212	20556710	1200	0.3756
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	20556929	20557323	4	-0.4667
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	20558448	25256850	2721	0.376
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	25266637	25320198	22	-1.8897
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	25320253	28075037	1168	0.3667
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	28076597	30410656	1342	0.3347
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	30411499	30412590	2	-0.8749
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	30412678	32860017	1238	0.3401
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	32860571	37004844	2430	0.3902
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	37006016	40734716	2074	0.3156
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	40739604	45893907	2970	0.386
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	45894382	46116736	114	0.5537
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	46117057	48428997	1404	0.3991
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	48442214	50243885	973	0.3264
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	50246918	50799612	260	0.372
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	50801933	50915188	48	0.6651
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	50918024	54624527	1987	0.3734
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	54627618	54628716	2	-2.8231
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	54630777	54761907	105	0.3674
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	54762456	56907244	1693	0.427
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	56907316	56979829	74	0.3405
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	56980526	56981430	6	-0.506
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	56981574	58165455	1047	0.34
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	58165520	61648334	2506	0.4412
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	61648509	61652515	3	-0.6625
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	61654137	63251580	1146	0.413
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	63251839	64841123	1129	0.4766
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	64841442	67274967	1880	0.3983
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	67275098	67526399	175	0.464
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	67527185	67527394	2	-0.5781
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	67528099	68922750	960	0.476
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	68925377	70739693	1060	0.3875
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	70740403	72137348	840	0.3256
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	72138995	72297687	103	0.3947
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	72302735	72345465	48	-1.2875
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	72346221	74773443	1476	0.3265
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	74773801	74860714	55	0.5124
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	74861617	78341944	2247	0.3848
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	78341987	81422771	2000	0.439
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	81422917	81422982	3	-0.8501
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	81422996	84491175	2087	0.342
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	84492293	85589041	771	0.3062
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	85590569	91479369	3867	0.25
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	91479948	91727707	207	0.3236
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	91728105	91730095	2	-1.0514
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	91730496	93356525	806	0.2373
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	93357615	96086469	1920	0.3413
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	96087916	96409863	205	0.2805
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	96409884	98087276	924	0.1836
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	98087562	99152529	655	0.2611
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	99152867	99912706	562	0.3594
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	99916833	109690352	5828	0.2627
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	109690415	109697556	12	-0.9229
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	109702376	109703508	3	0.9083
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	109707613	109886400	126	0.2864
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	109886492	109888892	4	-0.9799
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	109891299	110792420	672	0.2753
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	110796338	110869657	102	0.4219
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	110872270	112147704	1042	0.1944
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	112153343	112154768	25	0.8516
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	112163334	115906316	2403	0.2323
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	115906652	118488075	1607	0.2946
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	118488227	119264105	455	0.2343
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	119267783	119322374	45	-0.7571
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	119326092	147647183	1405	0.3022
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	147647471	152583051	1689	0.2131
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	152583230	152614118	35	-1.9694
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	152618018	152787202	167	0.1864
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	152789447	152796224	37	0.9352
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	152801429	159313956	3890	0.2192
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	159314746	160176383	567	0.3011
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	160176704	160176855	2	-1.0276
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	160177013	161422030	761	0.2296
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	161425765	163120763	1274	0.3015
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	163121370	165410026	1800	0.2487
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	165410335	166530655	895	0.1956
9f0b16d5-3947-49d3-87cf-86a67627ad66	1	166537585	169247699	2095	0.2643
