GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	3301765	7354498	2631	0.1364
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	7356843	7589655	172	0.3127
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	7596443	17678728	4945	0.1569
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	17678884	21295676	2424	0.1117
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	21314008	22877690	842	0.1852
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	22880191	29108119	2685	0.1107
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	29108851	31050941	1257	0.1665
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	31051004	32677093	699	-0.3484
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	32681542	38127127	2996	0.1195
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	38130538	38185936	49	-0.3788
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	38186600	46191979	4277	0.116
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	46192127	48020012	1084	0.1795
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	48020500	48570111	309	0.1062
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	48570431	48570583	2	-1.325
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	48570840	53014871	2020	0.0605
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	53015073	56849063	2713	0.1272
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	56851614	64698026	5655	0.0747
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	64698654	93606865	17562	0.0343
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	93609155	95005255	1009	0.1144
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	95007513	115059432	11611	0.0309
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	115059498	119984772	3164	0.0817
be50c3a9-64cd-4044-a3db-de08e59d9e64	1	146716041	150229914	137	0.99
