GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	3301765	61318345	32430	0.0412
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	61318826	71380795	6683	0.0089
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	71380829	84709311	7809	0.0357
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	84709631	87106786	1503	-0.0126
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	87111776	88630161	1139	0.0713
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	88630984	102579966	8401	0.0055
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	102580065	102580099	2	1.856
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	102585861	232782077	62141	0.0211
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	1	232784579	247650984	9694	-0.0024
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	2	480597	241537572	132224	0.0161
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	3	2170634	197812401	107220	0.0191
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	4	1059384	124538250	69567	0.0131
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	4	124539196	124541780	3	-1.7469
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	4	124541870	187842528	33968	0.0126
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	5	913983	180934240	101158	0.016
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	1011760	39829134	23501	0.0145
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	39829472	40825162	850	0.0967
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	40825452	52305153	6668	0.0307
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	52305700	52306143	2	-1.7858
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	52307857	90065178	19100	0.0071
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	90065231	99173155	4665	0.041
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	99174751	125057979	14758	0.0114
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	125063440	125063442	2	-1.469
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	125064324	129481867	2627	0.0323
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	129481977	154352052	16120	-0.0032
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	154352240	163962976	5989	0.0223
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	163963273	163963325	2	-1.5609
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	6	163964796	170596889	2915	0.0215
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	7	664936	158592540	81978	0.0226
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	8	667625	129765443	73634	0.011
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	8	129765749	129772611	6	-1.0572
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	8	129774491	144182542	8618	0.0336
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	9	789794	109059741	50840	0.0238
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	9	109060228	113710972	3087	-0.0139
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	9	113711428	133440318	12797	0.0346
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	9	133440735	137599242	1582	0.0857
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	9	137616769	138044505	193	0.0127
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	366509	4781222	2870	0.0297
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	4781716	8747498	3057	-0.0072
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	8747547	12438209	2540	0.0349
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	12438240	34085580	15254	-0.005
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	34090604	34290819	163	0.0984
fe0fa7c2-7e34-48a1-8ca2-ef501a6754a9	10	34290907	128086671	54952	0.0195
