GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	3301765	3477686	97	1.6762
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	3484226	5772913	1682	-0.0469
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	5773853	6157799	201	0.0804
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6162441	6330512	63	-0.0687
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6331253	6369565	21	-0.7525
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6373069	6389578	2	1.1407
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6394399	6696374	135	-0.8066
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6698886	6714460	14	-0.2106
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	6721526	7264408	352	-0.8439
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7264899	7266141	4	-2.064
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7266460	7333260	42	-1.0019
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7333713	7369031	35	-0.4719
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7369329	7597695	164	-0.7322
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7599238	7640688	21	-0.3194
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7645084	7766235	59	-0.8137
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7766287	7791826	26	-0.4635
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	7792057	9429040	821	-0.8366
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	9429347	12238965	1360	-0.0353
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	12245863	12470256	103	-0.2595
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	12474046	13648495	314	-0.0547
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	13660042	13663763	7	0.5505
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	13663796	13718899	26	0.0243
ab6ead94-e5ae-4bfc-bbe3-8ecac5a98a54	1	13718962	13736829	15	-0.376
