GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	62920	259926	16	-0.2349
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	266187	1052992	62	0.5331
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	1055037	3301765	660	0.7562
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3302046	3408473	70	0.4467
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3409529	3409606	2	1.6904
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3410232	3750314	151	0.3236
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3752189	3868897	83	0.446
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3869960	3876237	5	1.0679
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	3876402	4681939	677	0.4104
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	4686576	4699368	12	0.8108
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	4699980	4837507	120	0.4741
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	4837584	5265664	371	0.3537
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	5265864	8409859	1959	0.4544
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	8412923	9244146	469	0.396
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	9244568	9354950	70	0.7944
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	9355798	10687254	679	0.4334
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	10697142	11416105	350	0.6041
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	11416484	15823420	2583	0.4697
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	15827002	15841360	14	1.0509
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	15843965	16471261	276	0.4353
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	16477281	16504088	13	1.0424
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	16504325	16918718	88	0.5234
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	16919035	16985328	47	0.8439
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	16988207	17205087	165	0.3791
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	17207815	17214292	5	1.3525
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	17215454	17265184	46	0.4794
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	17266821	17296370	26	0.7656
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	17296402	17435493	103	0.4643
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	17436816	21693835	2822	0.4097
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	21694664	21820584	66	0.949
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	21820786	21838233	7	1.6773
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	21841723	22192274	203	0.9202
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	22192930	23631293	901	0.4364
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	23632431	23633123	2	-1.4263
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	23634378	23816406	70	0.3927
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	23819382	23821015	2	1.4494
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	23822498	25118991	724	0.3916
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	25119019	25133468	34	0.807
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	25133482	25205583	51	0.4065
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	25205993	25360708	55	0.9372
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	25360774	28173829	1199	0.3997
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	28176526	28186296	7	1.1719
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	28188781	28503188	120	0.364
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	28503390	28509875	6	1.0539
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	28513637	29116468	221	0.3492
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	29127347	29135206	5	1.274
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	29142998	30678605	1174	0.4141
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	30680834	30778417	69	0.752
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	30778851	37379639	3620	0.4119
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	37383192	37455082	46	0.6999
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	37455442	39432972	1096	0.3673
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	39436026	40094159	356	1.4919
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	40097686	41320848	637	1.7411
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	41321182	41765014	332	1.5568
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	41766548	42129408	266	0.7157
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	42132741	42174637	36	1.3783
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	42179099	43458378	747	0.7095
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	43458447	43527222	54	0.473
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	43527415	43695142	102	0.6438
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	43703539	43832892	87	0.2792
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	43833169	54755221	5916	0.4086
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	54755724	54808846	36	0.7882
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	54808979	64885385	7654	0.4094
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	64885835	67143351	1706	0.3379
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	67143763	69962928	1815	0.3985
80c88442-c0dc-4d36-aa98-5d44ed2ca8c0	1	69965336	72284670	1411	0.3198
