GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	1	3301765	234492213	121491	0.0045
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	1	234493654	234493781	2	-1.7353
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	1	234499713	239090306	3277	0.0019
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	1	239091110	239092087	2	-1.748
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	1	239095100	247650984	5000	-0.002
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	2	480597	241537572	132247	0.0019
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	2170634	14907195	7822	-0.0001
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	14908392	14908700	2	-1.5653
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	14909490	15270257	210	0.036
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	15280316	15280994	2	-0.9694
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	15282195	15665459	234	-0.0073
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	15665636	15672542	3	-1.252
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	15673290	30149632	8416	0.0025
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	30151053	30151074	2	-1.7061
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	3	30151286	197812401	90513	0.0062
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	4	1059384	187842528	103509	0.0044
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	5	913983	30574095	17615	0.0048
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	5	30577958	30580448	2	-1.5951
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	5	30580715	180934240	83519	0.0055
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	6	1011760	22430271	15183	0.0038
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	6	22431392	22431639	2	-1.7462
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	6	22431702	170596889	82002	0.0041
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	7	664936	158592540	81959	0.0032
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	8	667625	144182542	82262	0.0009
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	9	789794	138044505	68498	0.004
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	10	366509	133411599	81310	0.0038
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	11	456012	134272740	77602	0.0049
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	12	780472	58867919	30620	0.0043
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	12	58868893	58874564	3	-1.3313
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	12	58874947	132605822	43742	0.0008
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	13	18874255	114226675	57008	0.0044
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	14	20033191	105533894	49805	0.006
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	15	23437561	53586235	15916	0.0005
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	15	53587044	53587907	4	-1.0402
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	15	53592144	68367961	9653	0.0035
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	15	68368042	68369518	3	-1.325
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	15	68369743	101344124	19231	0.0097
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	16	603333	89317317	41220	0.0047
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	17	1074619	38413207	14772	0.009
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	17	38413710	38413784	2	-1.7989
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	17	38416487	48941580	4353	0.0134
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	17	48942266	48948664	2	1.6831
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	17	48951494	82959812	18169	0.0029
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	18	326691	79349796	42984	0.0022
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	19	283868	58370362	24161	0.0078
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	20	472817	63588502	37575	0.0043
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	21	13974127	46262057	20606	0.0046
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	22	16934932	48940621	17097	0.0049
3c7f8995-a7fc-4a69-a429-c8ecc33f0aaf	X	3236359	155677414	63993	0.0059
