GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	62920	793228	26	0.1885
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	805477	3036276	602	-0.2222
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	3040102	16489035	8001	-0.003
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	16489595	16993283	141	-0.1757
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	16997950	17265184	214	-0.0191
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	17266821	17292800	23	-0.3676
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	17293514	21332392	2703	0.0002
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	21333982	21443394	59	-0.2709
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	21443504	21992508	319	0.0177
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	21996664	22011632	6	-1.3546
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	22015896	22062995	25	-0.3431
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	22065274	22089448	26	0.0288
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	22091184	22115532	13	-0.3718
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	22116490	24625978	1437	0.023
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	24628475	30836870	3279	-0.0296
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	30838215	34626073	2105	0.0328
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	34637053	34638890	20	-0.7815
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	34648667	37307167	1415	-0.0028
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	37307449	37310697	6	-0.7922
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	37312158	37379639	41	-0.0205
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	37383192	37434814	41	-0.2587
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	37436534	39650439	1202	0.0057
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	39650994	39701187	29	-0.4827
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	39702915	40315122	327	0.0174
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	40315366	40325006	4	-1.0322
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	40326906	41392576	590	-0.013
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	41392611	41396989	7	-0.3128
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	41397156	62299377	13316	0.0393
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	62299789	62302296	6	-1.0616
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	62306529	72297687	6777	0.0561
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	72302735	72345465	48	-0.4707
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	72346221	72549991	124	0.0494
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	72550689	72619663	38	0.3605
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	72619763	103613021	19865	0.0537
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	103613109	103717410	13	-0.7279
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	103717617	108187137	2876	0.0604
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	108191613	108196482	4	-0.9284
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	108196549	109684893	694	0.0415
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	109690352	109697556	13	-1.9815
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	109702376	112153465	1953	0.0621
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	112153571	112154754	22	-0.4476
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	112154768	143541857	5166	0.0515
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	143545399	143942271	125	-0.781
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	144432083	152583051	2315	-0.0027
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152583230	152598884	13	-1.3609
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152599241	152613762	18	-2.7331
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152613802	152614118	4	-1.2597
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152618018	152787202	167	0.0314
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152789447	152796224	37	-1.6755
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	152801429	169247699	11285	0.031
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	169264736	169272528	6	-3.5511
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	169273163	178690798	6049	0.0317
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	178690874	178692730	10	-0.5431
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	178692760	189110851	6999	0.0286
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	189110909	189679027	386	0.12
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	189679353	189679397	2	1.3809
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	189682917	195256744	3764	0.0336
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	195258387	195441561	123	0.2179
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	195441915	196758720	851	0.0639
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	196761905	196762956	3	-1.2375
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	196769493	196788990	31	0.3774
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	196789019	196790158	4	-1.2505
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	196792690	209897717	8806	0.0374
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	209908268	209910639	3	-3.0898
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	209913207	211393418	1031	0.0223
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	211394213	212826477	915	0.0461
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	212831113	212831791	4	-0.9127
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	212831835	230684884	11906	0.056
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	230685738	230686250	3	-1.0957
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	230687157	230840046	139	0.0719
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	230840747	231762845	552	0.0095
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	231764165	231812573	34	-0.5177
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	231812900	233360078	1300	0.0142
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	233365612	237803055	3329	-0.0143
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	237803702	241641472	3079	0.0302
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	241641904	241686128	29	-0.2828
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	241688857	241913288	195	0.0406
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	241913398	242024534	52	-0.2965
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	242027428	246331256	2944	0.0085
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	246334043	246677064	206	-0.1095
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	246677118	246734832	32	-0.5676
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	1	246735896	248930189	1285	-0.0144
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	12784	190288	105	-0.0729
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	191931	216029	17	-0.7095
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	216376	1782428	1033	-0.1071
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	1782449	1786188	6	-0.9479
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	1786865	2069527	194	-0.0913
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	2074189	3144361	827	-0.0013
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	3147886	3270601	133	-0.177
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	3273205	4158097	671	-0.0132
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	4166274	4176429	42	-0.5118
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	4182472	4678933	406	-0.0349
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	4678976	20994772	12378	0.0099
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	20995933	24373943	2102	-0.0228
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	24374168	24404365	48	-0.3147
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	24407230	27216883	1382	-0.0393
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	27218434	27218632	3	-1.2244
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	27219036	31889487	3028	-0.0133
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	31890225	34466002	1702	-0.0608
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	34474248	34511990	46	0.6396
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	34512096	46262993	8705	0.0047
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	46263662	46265133	2	-1.9526
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	46265543	48865299	1666	0.0184
6e9ff562-5af1-4b12-96cb-4c1f4445a08e	2	48865762	48865770	2	-1.3191
