GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	62920	82315	6	-1.0065
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	82650	1300759	155	0.1788
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	1301071	1991141	171	0.4305
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	1991155	12778601	6157	0.2094
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	12779433	12832455	26	0.8356
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	12850124	15816465	1814	0.2179
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	15820537	15828515	21	0.7723
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	15839166	16643683	324	0.18
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	16643816	16686246	9	0.8903
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	16689764	16864367	23	0.1436
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	16868660	16959824	60	0.5479
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	16965399	21992508	3338	0.2032
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	21996664	22010750	4	-1.9066
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	22011632	25284961	1929	0.2006
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	25289805	25351898	17	0.8255
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	25354292	36401633	5752	0.1951
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	36407064	36407648	3	-1.1661
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	36407717	48157129	6825	0.1839
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	48159569	48160678	2	-1.7244
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	48162464	72296993	16152	0.1778
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	72297687	72345465	49	1.5144
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	72346221	75585159	1932	0.1574
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	75589078	75594274	5	1.131
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	75598372	80861307	3426	0.1633
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	80864080	80865290	3	-1.3225
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	80865712	80967647	69	0.1172
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	80972442	80977521	5	-1.0892
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	80978895	93939225	8402	0.1613
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	93942597	96334271	1750	0.2141
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	96335225	96730928	242	0.1263
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	96740447	103566616	4181	-0.3843
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	103566732	103760781	33	0.4934
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	103760879	108951525	3225	-0.3613
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	108954232	108966416	19	-0.9255
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	108966674	109679105	326	-0.274
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	109684695	109697556	15	0.2793
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	109702376	110788378	802	-0.339
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	110789023	110859082	94	-0.0938
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	110859267	111285956	308	-0.37
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	111285982	111286515	12	0.1633
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	111286598	111289583	7	-0.6315
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	111291443	111291716	6	0.3527
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	111291867	112153651	726	-0.3631
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	112153686	112163572	30	0.3604
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	112163576	120138527	5048	-0.3464
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	120141112	120885477	9	0.6178
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	120954128	121561051	83	-0.2333
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	121562160	149820412	1032	0.248
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	149844633	151195484	600	0.6704
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	151198313	151366825	77	0.2226
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	151367005	151367020	2	1.9035
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	151367035	152582700	745	0.2447
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	152583051	152614118	36	1.6408
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	152618018	152787202	167	0.2257
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	152789447	152796224	37	1.2721
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	152801429	154992265	1264	0.2376
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	154993514	155691436	291	0.6712
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	155692180	155693566	2	-2.9392
0cf0722f-55bc-438b-92fd-d7f65d6b4ef4	1	155697170	156429151	318	0.8935
