GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	3301765	67213239	36607	-0.38
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	67213310	94012737	15925	-0.3568
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	94012982	94013006	2	-1.9187
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	94013039	107330314	7734	-0.3475
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	107331176	119981332	7778	-0.3735
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	119984738	162082050	6497	0.36
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	162091192	185297982	15542	0.3891
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	185301639	199809515	8513	0.4237
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	199809815	201160199	879	0.387
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	201161686	204080714	1842	0.3544
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	204086290	204087993	2	-0.6403
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	204088014	205945388	1355	0.3468
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	205946539	214880572	6014	0.3873
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	214883367	216701118	1202	0.4282
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	216702828	216702879	2	-0.7588
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	216703133	219069600	1653	0.4229
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	219069937	229686304	6258	0.3831
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	229686327	229686342	2	-0.8847
f00b3a1a-5336-4540-a8e6-d731947f9ee5	1	229686382	247650984	11842	0.3978
f00b3a1a-5336-4540-a8e6-d731947f9ee5	2	480597	128799936	67898	-0.143
f00b3a1a-5336-4540-a8e6-d731947f9ee5	2	128800036	215063412	47960	-0.1259
f00b3a1a-5336-4540-a8e6-d731947f9ee5	2	215067182	241537572	16224	-0.1533
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	2170634	16808326	9082	0.1851
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	16808505	31655476	8652	0.2059
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	31657860	45607178	8208	0.186
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	45607434	53930829	3801	0.1479
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	53931091	73256658	12769	0.1953
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	73256915	87285107	7311	0.2247
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	87287779	119363018	15800	0.2031
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	119364753	143196385	13383	0.1842
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	143197358	178845855	18115	0.2075
f00b3a1a-5336-4540-a8e6-d731947f9ee5	3	178846043	197812401	10014	0.1826
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	1059384	12637763	6593	-0.5034
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	12637970	12655112	2	1.171
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	12655113	21507584	6116	-0.4842
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	21508102	21508349	3	-2.6883
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	21508380	27789803	4093	-0.4882
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	27789962	180527101	83162	-0.462
f00b3a1a-5336-4540-a8e6-d731947f9ee5	4	180527160	187842528	3313	-0.4944
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	914118	17781303	10918	0.1124
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	17782149	30629539	6717	0.1438
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	30629694	74414272	21693	0.1156
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	74414486	74414599	2	-1.5956
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	74414959	81385587	4116	0.1126
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	81386896	130514132	26760	0.1357
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	130515038	142091745	6391	0.1056
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	142095613	142095801	2	-0.9785
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	142100268	143052549	720	0.1023
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	143057506	171347540	18621	0.1238
f00b3a1a-5336-4540-a8e6-d731947f9ee5	5	171350192	180934240	5143	0.0961
f00b3a1a-5336-4540-a8e6-d731947f9ee5	6	1011760	47356881	28144	-0.1708
f00b3a1a-5336-4540-a8e6-d731947f9ee5	6	47357024	148286072	55736	-0.1385
f00b3a1a-5336-4540-a8e6-d731947f9ee5	6	148287910	170596889	13190	-0.1607
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	664936	6713974	2287	0.0786
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	6713986	8139207	909	0.1144
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	8492889	22058795	7765	0.1402
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	22059560	55274956	21965	0.1164
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	55275257	73389687	4771	0.0983
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	73390083	76006922	714	0.0307
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	76006952	77733172	519	0.0821
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	77735202	91577351	7254	0.1392
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	91577468	91596584	2	-1.602
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	91599247	97740652	3753	0.1253
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	97740792	102193452	1712	0.0691
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	102194464	127465657	13593	0.1317
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	127468053	141998926	8365	0.1068
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	141999842	148396338	3147	0.136
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	148396802	152892027	2054	0.0903
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	152892399	152892717	3	-0.9011
f00b3a1a-5336-4540-a8e6-d731947f9ee5	7	152895937	158592540	3079	0.1013
f00b3a1a-5336-4540-a8e6-d731947f9ee5	8	667625	81783508	45379	0.1215
f00b3a1a-5336-4540-a8e6-d731947f9ee5	8	81783720	81801588	19	-0.4693
f00b3a1a-5336-4540-a8e6-d731947f9ee5	8	81813966	93861607	6432	0.1389
