GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
39df545d-dade-4342-8ac3-312fd5664692	1	3301765	17026140	7298	-0.2727
39df545d-dade-4342-8ac3-312fd5664692	1	17028744	17066485	35	0.212
39df545d-dade-4342-8ac3-312fd5664692	1	17068128	29146182	6316	-0.2545
39df545d-dade-4342-8ac3-312fd5664692	1	29148514	119979978	54380	0.2256
39df545d-dade-4342-8ac3-312fd5664692	1	119981279	225883370	47632	0.1261
39df545d-dade-4342-8ac3-312fd5664692	1	225884298	226540203	353	0.2396
39df545d-dade-4342-8ac3-312fd5664692	1	226542735	239981248	9258	0.5789
39df545d-dade-4342-8ac3-312fd5664692	1	239981550	243535432	2376	0.5264
39df545d-dade-4342-8ac3-312fd5664692	1	243535578	247650984	1977	0.5604
39df545d-dade-4342-8ac3-312fd5664692	2	480597	10000867	5906	0.1252
39df545d-dade-4342-8ac3-312fd5664692	2	10001063	10019955	2	-1.4756
39df545d-dade-4342-8ac3-312fd5664692	2	10020702	25473021	10078	0.1496
39df545d-dade-4342-8ac3-312fd5664692	2	25474534	35473883	5274	0.0919
39df545d-dade-4342-8ac3-312fd5664692	2	35476487	73869788	22070	0.1405
39df545d-dade-4342-8ac3-312fd5664692	2	73870879	80207818	3434	0.3406
39df545d-dade-4342-8ac3-312fd5664692	2	80209986	86878321	3546	0.1281
39df545d-dade-4342-8ac3-312fd5664692	2	86878530	134451583	20070	-0.229
39df545d-dade-4342-8ac3-312fd5664692	2	134451969	179919752	26666	-0.1928
39df545d-dade-4342-8ac3-312fd5664692	2	179925903	199391874	9600	-0.02
39df545d-dade-4342-8ac3-312fd5664692	2	199403788	209741519	5991	-0.0657
39df545d-dade-4342-8ac3-312fd5664692	2	209744288	232203863	13647	-0.2093
39df545d-dade-4342-8ac3-312fd5664692	2	232205097	241303769	5534	-0.2564
39df545d-dade-4342-8ac3-312fd5664692	2	241307200	241537572	130	-0.1825
39df545d-dade-4342-8ac3-312fd5664692	3	2170634	6316919	2044	0.0579
39df545d-dade-4342-8ac3-312fd5664692	3	6321122	12937655	4453	0.1288
39df545d-dade-4342-8ac3-312fd5664692	3	12938797	39923601	16259	0.1963
39df545d-dade-4342-8ac3-312fd5664692	3	39923651	49389467	4914	0.1683
39df545d-dade-4342-8ac3-312fd5664692	3	49391528	57913639	4777	0.1992
39df545d-dade-4342-8ac3-312fd5664692	3	57917436	83607418	15631	0.1369
39df545d-dade-4342-8ac3-312fd5664692	3	83609132	84037233	175	0.3702
39df545d-dade-4342-8ac3-312fd5664692	3	84037342	84221284	69	0.5506
39df545d-dade-4342-8ac3-312fd5664692	3	84222963	85103473	478	0.3616
39df545d-dade-4342-8ac3-312fd5664692	3	85103836	88103279	1356	0.2782
39df545d-dade-4342-8ac3-312fd5664692	3	88106974	197812401	56986	0.19
39df545d-dade-4342-8ac3-312fd5664692	4	1059384	10928144	5266	-0.2865
39df545d-dade-4342-8ac3-312fd5664692	4	10928200	125977725	64974	-0.2104
39df545d-dade-4342-8ac3-312fd5664692	4	125978106	125979664	3	-2.0021
39df545d-dade-4342-8ac3-312fd5664692	4	125979703	161713144	19443	-0.1954
39df545d-dade-4342-8ac3-312fd5664692	4	161713930	174429292	6878	0.1257
39df545d-dade-4342-8ac3-312fd5664692	4	174429845	174534826	63	0.299
39df545d-dade-4342-8ac3-312fd5664692	4	174535259	184491481	5052	0.2018
39df545d-dade-4342-8ac3-312fd5664692	4	184492226	187842528	1617	0.2834
39df545d-dade-4342-8ac3-312fd5664692	5	914118	32013037	18701	-0.1542
39df545d-dade-4342-8ac3-312fd5664692	5	32015553	58875339	12452	-0.2248
39df545d-dade-4342-8ac3-312fd5664692	5	58876105	58894581	13	-0.7479
39df545d-dade-4342-8ac3-312fd5664692	5	58894626	69444826	6038	-0.2211
39df545d-dade-4342-8ac3-312fd5664692	5	69448492	98895432	15346	-0.0877
39df545d-dade-4342-8ac3-312fd5664692	5	98896401	102186533	891	-0.1679
39df545d-dade-4342-8ac3-312fd5664692	5	102197752	131349157	17013	-0.0888
39df545d-dade-4342-8ac3-312fd5664692	5	131352961	152199363	12727	-0.1123
39df545d-dade-4342-8ac3-312fd5664692	5	152203251	152203849	4	-1.6046
39df545d-dade-4342-8ac3-312fd5664692	5	152205566	156650000	2874	-0.1224
39df545d-dade-4342-8ac3-312fd5664692	5	156650094	157454605	516	0.2717
39df545d-dade-4342-8ac3-312fd5664692	5	157454845	157477242	17	0.7328
39df545d-dade-4342-8ac3-312fd5664692	5	157480397	172596067	9916	0.2839
39df545d-dade-4342-8ac3-312fd5664692	5	172596313	179676725	3837	0.2396
39df545d-dade-4342-8ac3-312fd5664692	5	179677049	179678327	2	-1.1676
39df545d-dade-4342-8ac3-312fd5664692	5	179681196	179804828	48	0.2314
39df545d-dade-4342-8ac3-312fd5664692	5	179811264	180934240	535	0.2861
39df545d-dade-4342-8ac3-312fd5664692	6	1011760	1050925	51	0.0808
