GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fb6d2d72-8352-495b-96c7-69e45636ad78	1	3301765	32143745	15482	-0.0726
fb6d2d72-8352-495b-96c7-69e45636ad78	1	32151351	32859223	256	0.4954
fb6d2d72-8352-495b-96c7-69e45636ad78	1	32860017	35078938	1391	0.6605
fb6d2d72-8352-495b-96c7-69e45636ad78	1	35083257	35327770	103	0.3546
fb6d2d72-8352-495b-96c7-69e45636ad78	1	35336234	35448544	65	0.7121
fb6d2d72-8352-495b-96c7-69e45636ad78	1	35453577	38149195	1380	0.3498
fb6d2d72-8352-495b-96c7-69e45636ad78	1	38149225	38280716	109	0.1368
fb6d2d72-8352-495b-96c7-69e45636ad78	1	38281840	42508132	2367	0.3456
fb6d2d72-8352-495b-96c7-69e45636ad78	1	42508228	42721161	109	0.1614
fb6d2d72-8352-495b-96c7-69e45636ad78	1	42721396	48497726	3073	0.3407
fb6d2d72-8352-495b-96c7-69e45636ad78	1	48497994	48576677	62	0.5482
fb6d2d72-8352-495b-96c7-69e45636ad78	1	48577280	48635777	43	1.0895
fb6d2d72-8352-495b-96c7-69e45636ad78	1	48640618	48931317	259	0.6029
fb6d2d72-8352-495b-96c7-69e45636ad78	1	48932146	49448451	240	0.3848
fb6d2d72-8352-495b-96c7-69e45636ad78	1	49533594	50644281	514	1.3867
fb6d2d72-8352-495b-96c7-69e45636ad78	1	50644702	51339059	209	0.9442
fb6d2d72-8352-495b-96c7-69e45636ad78	1	51345652	51430741	36	-0.0806
fb6d2d72-8352-495b-96c7-69e45636ad78	1	51433757	52082859	278	0.9846
fb6d2d72-8352-495b-96c7-69e45636ad78	1	52087748	53428657	747	-0.069
fb6d2d72-8352-495b-96c7-69e45636ad78	1	53431822	53712828	232	0.7576
fb6d2d72-8352-495b-96c7-69e45636ad78	1	53719716	53902580	102	-0.1247
fb6d2d72-8352-495b-96c7-69e45636ad78	1	53903290	54152043	130	0.4558
fb6d2d72-8352-495b-96c7-69e45636ad78	1	54152762	54808979	350	0.9132
fb6d2d72-8352-495b-96c7-69e45636ad78	1	54809137	56173110	1050	-0.0413
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56174278	56177683	2	-1.5327
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56178277	56383282	185	-0.0742
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56383867	56416091	34	1.0587
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56417852	56577011	121	-0.0692
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56587751	56673697	48	0.7865
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56679400	56704997	18	0.0037
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56706667	56761279	55	0.7715
fb6d2d72-8352-495b-96c7-69e45636ad78	1	56766318	62857072	4398	-0.0694
fb6d2d72-8352-495b-96c7-69e45636ad78	1	62857212	62888998	23	0.4726
fb6d2d72-8352-495b-96c7-69e45636ad78	1	62889301	67685109	3530	-0.0888
fb6d2d72-8352-495b-96c7-69e45636ad78	1	67688403	67880751	156	0.4654
fb6d2d72-8352-495b-96c7-69e45636ad78	1	67881798	67897919	13	0.8573
fb6d2d72-8352-495b-96c7-69e45636ad78	1	67899656	67945992	24	0.5182
fb6d2d72-8352-495b-96c7-69e45636ad78	1	67948838	68075269	86	0.8402
fb6d2d72-8352-495b-96c7-69e45636ad78	1	68082547	70108529	1202	-0.0592
fb6d2d72-8352-495b-96c7-69e45636ad78	1	70109960	81595379	6460	-0.1116
fb6d2d72-8352-495b-96c7-69e45636ad78	1	81595530	119981279	23191	-0.0824
fb6d2d72-8352-495b-96c7-69e45636ad78	1	119981332	158984771	4673	0.1623
fb6d2d72-8352-495b-96c7-69e45636ad78	1	158986311	165557556	4649	0.072
fb6d2d72-8352-495b-96c7-69e45636ad78	1	165562102	165563768	4	-1.19
fb6d2d72-8352-495b-96c7-69e45636ad78	1	165564743	191840328	16605	0.0602
fb6d2d72-8352-495b-96c7-69e45636ad78	1	191840364	236422242	28506	-0.0343
fb6d2d72-8352-495b-96c7-69e45636ad78	1	236425793	243555182	5240	-0.0708
fb6d2d72-8352-495b-96c7-69e45636ad78	1	243558310	247650984	1963	-0.0374
fb6d2d72-8352-495b-96c7-69e45636ad78	2	480597	8150376	4662	0.118
fb6d2d72-8352-495b-96c7-69e45636ad78	2	8150589	49630128	25113	0.143
fb6d2d72-8352-495b-96c7-69e45636ad78	2	49630567	63541762	7487	0.1162
fb6d2d72-8352-495b-96c7-69e45636ad78	2	63542617	74927809	6774	0.1733
fb6d2d72-8352-495b-96c7-69e45636ad78	2	74928228	74999125	2	1.729
fb6d2d72-8352-495b-96c7-69e45636ad78	2	74999663	85881179	5944	0.1636
fb6d2d72-8352-495b-96c7-69e45636ad78	2	85884127	96178352	1166	0.1397
fb6d2d72-8352-495b-96c7-69e45636ad78	2	96181947	101822374	2746	0.0869
fb6d2d72-8352-495b-96c7-69e45636ad78	2	101827359	103718728	1180	0.141
fb6d2d72-8352-495b-96c7-69e45636ad78	2	103719420	106990603	2168	0.0525
fb6d2d72-8352-495b-96c7-69e45636ad78	2	106992760	107320301	222	0.248
fb6d2d72-8352-495b-96c7-69e45636ad78	2	107416458	118880901	5375	0.058
fb6d2d72-8352-495b-96c7-69e45636ad78	2	118880940	138346554	9655	0.0174
fb6d2d72-8352-495b-96c7-69e45636ad78	2	138346760	148989285	5965	-0.0163
fb6d2d72-8352-495b-96c7-69e45636ad78	2	148993030	159099246	6095	0.0125
fb6d2d72-8352-495b-96c7-69e45636ad78	2	159100008	159107684	2	1.4872
fb6d2d72-8352-495b-96c7-69e45636ad78	2	159108004	160339999	804	0.0282
fb6d2d72-8352-495b-96c7-69e45636ad78	2	160340357	160360210	2	1.7803
fb6d2d72-8352-495b-96c7-69e45636ad78	2	160361024	196086033	19607	0.0042
fb6d2d72-8352-495b-96c7-69e45636ad78	2	196087286	196087386	2	-1.5437
fb6d2d72-8352-495b-96c7-69e45636ad78	2	196088192	215071382	11048	0.0157
fb6d2d72-8352-495b-96c7-69e45636ad78	2	215071476	241537572	16229	-0.03
fb6d2d72-8352-495b-96c7-69e45636ad78	3	2170634	18729114	10127	-0.0732
fb6d2d72-8352-495b-96c7-69e45636ad78	3	18731278	20721372	1037	-0.1449
fb6d2d72-8352-495b-96c7-69e45636ad78	3	20721643	70756157	29626	-0.0793
fb6d2d72-8352-495b-96c7-69e45636ad78	3	70756178	79080519	4926	0.4884
fb6d2d72-8352-495b-96c7-69e45636ad78	3	79083682	84204458	2615	0.1153
fb6d2d72-8352-495b-96c7-69e45636ad78	3	84208881	90369509	2946	0.4448
fb6d2d72-8352-495b-96c7-69e45636ad78	3	90375879	94678984	304	0.1706
fb6d2d72-8352-495b-96c7-69e45636ad78	3	94679593	102181426	3937	0.2316
fb6d2d72-8352-495b-96c7-69e45636ad78	3	102182251	105962569	2176	0.1175
fb6d2d72-8352-495b-96c7-69e45636ad78	3	105968787	113251895	4133	0.1905
