GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	3301765	4874007	1103	-0.0175
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	4883463	8412923	2138	0.5113
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	8413753	27736511	9940	-0.0409
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	27741311	27751412	6	-1.2484
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	27755017	53122771	13331	-0.0543
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	53124751	54188849	684	0.4666
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	54192585	55997098	1285	-0.0555
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	55997705	56208210	121	0.4894
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	56210031	60862152	3475	-0.0646
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	60862273	64893513	2912	0.2493
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	64893527	64893672	2	-1.4786
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	64895636	65294163	324	0.2462
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	65300299	70568791	3359	-0.0923
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	70569821	73434404	1489	0.4788
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	73434645	80255837	3952	-0.0768
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	80266255	86094378	3766	-0.5104
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	86095431	86096369	2	-2.5504
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	86096830	115703278	17586	-0.5144
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	115709145	117336444	1130	0.2424
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	117340625	118933034	871	-0.0577
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	118935988	119984738	664	-0.5129
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	119984772	193968817	27369	0.1817
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	193973376	196031928	1125	0.2849
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	196033584	196034987	2	-1.4414
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	196035273	196104928	54	0.326
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	196105645	197841717	800	0.1803
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	197842116	198381644	336	0.612
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	198382666	203703960	3420	0.2082
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	203706499	205044743	980	0.7992
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	205044978	208064332	1752	0.2379
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	208064383	220882121	8881	0.1752
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	220884320	239203708	12005	0.4255
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	239206987	243792818	3138	0.1724
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	1	243793848	247650984	1779	0.4471
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	480597	189485185	101902	0.1721
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	189487842	189843561	257	0.6214
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	189849042	191199295	773	0.1716
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	191200777	200609649	4697	0.1364
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	200609826	216922813	9662	0.1722
d94a3067-cc80-4110-91a3-3fe91a0b3d7f	2	216923272	216926319	3	-1.6112
