GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c8bb9247-4dc5-487a-beba-19d8fa955c47	1	3301765	149906351	67761	-0.0068
c8bb9247-4dc5-487a-beba-19d8fa955c47	1	149909846	247650984	61215	0.0851
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	480597	23309569	14824	-0.043
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	23315218	23316290	3	-1.5543
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	23316668	23410841	75	-0.1172
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	23411340	51300668	15573	0.0056
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	51307168	51313307	5	-0.9986
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	51320013	55280674	1988	0.0009
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	55283491	64396599	4930	-0.0405
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	64397003	70694348	4144	-0.0097
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	70694407	135058739	28964	-0.0471
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	135058869	148908918	7458	0.0073
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	148911791	165283472	9561	0.0305
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	165284006	184943352	11936	0.0089
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	184943493	184946480	2	-1.4521
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	184947051	216380807	16699	0.0012
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	216381214	223884671	4837	-0.0399
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	223885668	225110897	817	0.0046
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	225113847	226789683	1030	0.1163
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	226790674	230158966	1954	0.0014
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	230159802	235131662	2826	0.0402
c8bb9247-4dc5-487a-beba-19d8fa955c47	2	235132291	241537572	3833	-0.0014
c8bb9247-4dc5-487a-beba-19d8fa955c47	3	2170634	197812401	106508	-0.004
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	1059384	48036057	28187	-0.0091
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	48036362	166065374	63497	0.0357
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	166067947	166072724	6	-0.9344
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	166073445	175778211	5203	0.0393
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	175779215	175779314	2	-1.4285
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	175779418	187740209	5916	0.0333
c8bb9247-4dc5-487a-beba-19d8fa955c47	4	187746438	187842528	61	-0.0659
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	913983	4012189	1942	0.0413
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	4012580	4012586	2	-1.4469
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	4013527	31810111	16563	0.0283
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	31813106	31827318	13	-0.9724
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	31833709	87382604	27869	0.0291
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	87387288	127492663	21667	-0.049
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	127493546	143992183	9452	0.0246
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	143997029	144024706	12	-0.585
c8bb9247-4dc5-487a-beba-19d8fa955c47	5	144024886	180934240	22970	0.0271
c8bb9247-4dc5-487a-beba-19d8fa955c47	6	1011760	9358532	6058	-0.0529
c8bb9247-4dc5-487a-beba-19d8fa955c47	6	9363716	9682486	239	0.5135
c8bb9247-4dc5-487a-beba-19d8fa955c47	6	9682686	170596889	90304	-0.0495
c8bb9247-4dc5-487a-beba-19d8fa955c47	7	664936	32250015	17768	0.0756
c8bb9247-4dc5-487a-beba-19d8fa955c47	7	32250048	32250575	2	-1.5334
c8bb9247-4dc5-487a-beba-19d8fa955c47	7	32250953	158592540	63720	0.0722
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	667625	17707609	8875	-0.089
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	17712329	17823788	127	0.218
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	17823893	17869485	45	-0.0635
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	17869789	19670065	1486	0.2581
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	19672816	24282582	3096	-0.0897
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	24282863	24857708	418	0.2617
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	24879374	25044923	129	-0.0769
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	25047691	25423105	244	0.2636
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	25423150	25501042	62	0.5494
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	25506112	25511117	10	-0.1811
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	25520312	25801968	172	0.2732
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	25802104	26217330	358	0.0773
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	26218055	26553634	202	0.294
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	26554276	31590117	3288	-0.0946
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	31590399	31998669	287	0.2634
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	32000914	32022202	14	-0.1901
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	32024311	32705845	587	0.2533
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	32708602	32755206	43	-0.1513
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	32762949	37075228	2136	0.2772
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	37076534	38161334	561	0.1969
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	38162759	39853971	740	0.2848
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	39854855	83732066	23261	-0.0084
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	83733651	87517846	1823	-0.1009
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	87518633	96394325	5273	-0.0063
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	96395124	97782446	824	0.0617
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	97786974	109195712	6265	-0.0027
c8bb9247-4dc5-487a-beba-19d8fa955c47	8	109202036	144182542	21426	0.0371
c8bb9247-4dc5-487a-beba-19d8fa955c47	9	789794	138044505	68083	-0.0076
c8bb9247-4dc5-487a-beba-19d8fa955c47	10	366509	43695639	26860	-0.0496
c8bb9247-4dc5-487a-beba-19d8fa955c47	10	43695744	43696166	2	-1.7703
c8bb9247-4dc5-487a-beba-19d8fa955c47	10	43696538	133411599	53967	-0.0468
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	456012	47303544	29538	0.0723
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	47304794	56244856	933	-0.0219
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	56246322	57078463	466	0.2678
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	57080194	57289378	173	0.0665
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	57289556	58087296	389	-0.0084
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	58095448	60694023	1488	-0.0515
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	60694230	62837626	1085	0.0181
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	62846382	62847813	4	1.0405
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	62849839	66345103	1057	-0.0097
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	66346497	66906235	181	0.4083
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	66906778	68087553	270	0.1434
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	68089043	68359582	132	0.4253
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	68368601	68621934	103	-0.082
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	68637532	70412126	1002	0.3756
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	70413092	70575194	86	0.1597
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	70575601	74504850	1908	-0.0018
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	74505582	77028687	1413	0.0749
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	77030205	79276156	1374	-0.0204
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	79292881	79938555	503	0.1199
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	79939735	80996717	773	0.0028
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	80997655	82503373	986	0.1428
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	82507169	84887685	1233	-0.0802
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	84887801	97314884	7572	-0.0496
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	97321786	101843429	3191	-0.1035
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	101843762	102113897	141	0.104
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	102113987	102684818	211	-0.101
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	102685878	103593639	514	0.142
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	103593797	107398280	2259	0.0131
c8bb9247-4dc5-487a-beba-19d8fa955c47	11	107404796	134272740	18105	-0.086
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	780472	2295837	521	0.2454
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	2300394	5420659	2328	-0.0503
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	5422846	6780210	875	0.2384
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	6784998	7014144	98	-0.0518
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	7019159	10863514	1680	0.2325
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	10868409	16253756	3285	-0.0565
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	16254202	38834977	10834	0.2296
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	38838205	50844033	6433	-0.0585
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	50844665	51001244	96	0.1754
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	51004251	58828516	4265	-0.0474
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	58828619	59533789	451	0.1573
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	59536269	61318825	1021	-0.0514
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	61322691	63067647	1143	0.2103
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	63069290	63790222	331	-0.0165
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	63790883	67101306	2014	0.1832
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	67103215	67164156	58	-0.0559
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	67166303	67564920	274	0.1945
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	67565257	67933182	258	-0.0469
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	67937335	68829208	667	0.201
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	68829220	68829587	4	-0.636
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	68831401	69854689	691	0.2104
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	69865718	70380598	335	0.3085
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	70381349	70470820	64	-0.0075
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	70471798	70816898	245	0.3179
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	70817657	73344035	1344	0.1676
c8bb9247-4dc5-487a-beba-19d8fa955c47	12	73344625	132605822	34634	-0.0487
c8bb9247-4dc5-487a-beba-19d8fa955c47	13	18874255	114226675	56579	-0.0508
c8bb9247-4dc5-487a-beba-19d8fa955c47	14	20033191	105533894	49460	-0.0461
c8bb9247-4dc5-487a-beba-19d8fa955c47	15	23437561	38512514	7232	0.0341
c8bb9247-4dc5-487a-beba-19d8fa955c47	15	38513974	54481791	9255	-0.0074
c8bb9247-4dc5-487a-beba-19d8fa955c47	15	54481878	54482218	2	-1.7822
c8bb9247-4dc5-487a-beba-19d8fa955c47	15	54482238	101344124	28009	-0.0044
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	603333	13343141	7270	0.025
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	13344838	13390608	37	0.5056
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	13390882	31830143	6663	0.0381
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	31832698	52064895	3378	-0.069
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	52067642	52067699	2	-1.9004
c8bb9247-4dc5-487a-beba-19d8fa955c47	16	52068564	89317317	23651	-0.0608
c8bb9247-4dc5-487a-beba-19d8fa955c47	17	1074619	37130412	14262	-0.0064
c8bb9247-4dc5-487a-beba-19d8fa955c47	17	37131744	40464707	1348	0.1077
c8bb9247-4dc5-487a-beba-19d8fa955c47	17	40465590	82959812	21509	0.0291
c8bb9247-4dc5-487a-beba-19d8fa955c47	18	326691	79349796	42716	-0.0077
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	283868	14246087	5082	-0.0219
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	14254625	14943167	341	0.1387
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	14943920	15930219	592	0.3605
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	15931119	16082148	106	0.1693
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	16083694	16901547	368	-0.0289
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	16903438	17452160	247	0.1996
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	17459393	18017579	235	0.3144
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	18017922	18662329	251	0.1142
c8bb9247-4dc5-487a-beba-19d8fa955c47	19	18664267	58370362	16842	-0.0176
c8bb9247-4dc5-487a-beba-19d8fa955c47	20	472817	63588502	37342	0.0312
c8bb9247-4dc5-487a-beba-19d8fa955c47	21	13974127	36552000	14425	-0.0103
c8bb9247-4dc5-487a-beba-19d8fa955c47	21	36552801	39027471	1876	0.0345
c8bb9247-4dc5-487a-beba-19d8fa955c47	21	39028082	46262057	4178	-0.0067
c8bb9247-4dc5-487a-beba-19d8fa955c47	22	16934932	48940621	17025	-0.0285
c8bb9247-4dc5-487a-beba-19d8fa955c47	X	3236359	155677414	63623	0.0018
