GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	1	3301765	48767703	24582	0.0448
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	1	48768704	243898804	103528	0.0193
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	1	243901007	247650984	1709	0.0389
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	2	480597	132854781	69418	-0.2395
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	2	132855116	215537427	46860	-0.2536
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	2	215543552	241537572	15954	-0.2328
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	2170634	16481362	8864	0.0932
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	16484998	73120818	33592	0.0767
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	73122949	73928622	658	0.0997
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	73928657	121318935	23588	0.0587
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	121319467	121361167	20	0.1104
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	121365240	121449195	33	0.3796
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	121449497	130771813	5261	0.0861
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	130772387	192973315	33376	0.0631
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	3	192979359	197812401	1838	0.0926
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	1059384	11839318	6147	0.0448
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	11839685	14051639	1508	0.0012
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	14051733	43339273	18333	0.0163
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	43347881	169656097	68279	0.0018
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	169656265	169656756	2	-1.6768
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	169657377	181789649	6543	0.0032
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	4	181791354	187842528	2729	0.0286
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	5	913983	15278210	9936	0.4825
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	5	15278781	170429435	85540	0.4579
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	5	170430091	180934240	5692	0.4814
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	1011760	11216467	7215	0.04
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	11216744	40314943	16667	0.018
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	40315753	46160099	3469	0.0363
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	46160123	155826267	61902	0.0056
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	155827748	161726695	3833	0.0275
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	161729156	161729613	2	1.1678
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	6	161731687	170596889	4124	0.0318
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	7	664936	5628435	1927	0.0382
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	7	5629929	147885730	74492	0.0143
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	7	147886886	158592540	5553	0.0369
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	667625	26246519	15090	-0.9698
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	26247722	27842817	1168	0.1832
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	27845005	31239750	2128	-0.4401
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	31241275	35649516	2634	0.0984
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	35650878	36109058	218	0.3222
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	36109077	36276437	86	0.4801
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	36280618	36369125	58	0.7091
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	36371625	38729525	1137	0.4895
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	38730540	39989715	543	0.6191
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	39990442	40619804	522	0.6916
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	40621909	41192561	376	0.6268
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	41196737	41196748	2	-0.5906
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	41200481	41909736	447	0.6237
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	41910618	42288068	200	0.855
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42288522	42298312	26	0.529
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42298469	42709483	262	0.8503
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42727456	42727508	2	-0.3636
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42729781	42928572	95	0.7938
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42934585	42938451	3	0.107
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	42942814	46598238	81	0.8417
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	46605013	46876498	102	0.6949
ed8ece0b-e4c8-4789-be92-e5ef0f0e6af2	8	46880704	69294368	12830	0.9665
