GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	62920	259407	14	0.3929
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	259422	7406118	3563	-0.0733
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	7407908	7512202	82	-0.8005
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	7517702	12020317	2400	-0.0945
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	12022869	12320952	163	0.5089
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	12331944	16686246	2441	-0.0738
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	16689764	16935752	76	0.1984
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	16949746	21789454	3234	-0.087
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	21790319	21974705	98	0.1998
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	21974983	21996664	6	-0.7277
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	22001786	22002025	2	-7.5123
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	22004046	22011632	3	-2.7054
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	22015896	22082663	43	0.2463
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	22082867	23922813	1078	-0.0997
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	23930125	24063887	21	0.2967
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	24064691	25092208	651	-0.1078
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	25096910	25097831	2	-1.6622
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	25098398	25256800	117	-0.0523
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	25256850	25320455	25	0.494
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	25336819	27362656	852	-0.1163
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	27363419	27522032	54	0.1843
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	27522789	28193341	315	-0.1269
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	28193679	28604957	153	0.3544
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	28605618	30254028	1001	-0.0713
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	30258675	30261189	5	-1.0746
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	30264526	31532038	820	-0.0925
5e521fd3-5489-4e99-92db-70c6bb30d44f	1	31532192	32669947	467	0.2979
