GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	3301765	18085887	8082	-0.5001
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	18090098	18096478	3	-2.6294
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	18098463	26905813	4805	-0.5214
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	26909721	32681620	2776	0.2053
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	32682003	32730047	28	0.6458
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	32733523	55368842	12268	0.1913
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	55369260	69814586	10362	0.1618
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	69829568	102903430	19808	0.6116
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	102906750	162460219	16883	0.1658
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	162460282	162463990	2	-1.6
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	162469203	191961724	19129	0.1567
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	191963692	201663156	5883	0.6085
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	201666670	205508311	2526	-0.5336
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	205513996	205584528	43	0.1576
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	205584967	206422618	287	-0.56
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	206422948	206424697	2	-2.6449
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	206424776	206771966	252	-0.5453
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	206773113	206817439	36	-2.5097
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	206820293	214935351	5701	-0.5814
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	214938235	214943289	5	-4.8656
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	214943831	218832678	2634	-0.6032
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	218835272	218835556	3	-2.6448
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	218837376	219834966	738	-0.5929
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	219835736	219836647	2	-2.5075
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	219836674	220695102	508	-0.5813
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	220695166	220705910	2	-2.9935
3bb6dd39-dd32-4fc2-bf84-38ffa683b75a	1	220706275	221476906	494	-0.6097
