GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
376e5a23-7824-4935-b63c-454fc1c99627	1	62920	11113422	5491	0.0547
376e5a23-7824-4935-b63c-454fc1c99627	1	11115129	11116604	2	-2.3279
376e5a23-7824-4935-b63c-454fc1c99627	1	11121790	15455815	2503	0.0888
376e5a23-7824-4935-b63c-454fc1c99627	1	15457276	16855942	548	-0.1346
376e5a23-7824-4935-b63c-454fc1c99627	1	16863509	16898475	12	-1.0345
376e5a23-7824-4935-b63c-454fc1c99627	1	16898730	19824346	2059	-0.1342
376e5a23-7824-4935-b63c-454fc1c99627	1	19824491	25232069	3129	-0.0537
376e5a23-7824-4935-b63c-454fc1c99627	1	25235596	25273831	16	-0.5333
376e5a23-7824-4935-b63c-454fc1c99627	1	25275368	25276440	4	-2.3218
376e5a23-7824-4935-b63c-454fc1c99627	1	25277975	54804242	15891	-0.0995
376e5a23-7824-4935-b63c-454fc1c99627	1	54804357	65194458	7870	0.1353
376e5a23-7824-4935-b63c-454fc1c99627	1	65201312	65208655	3	-1.727
376e5a23-7824-4935-b63c-454fc1c99627	1	65209427	72339814	4650	0.117
376e5a23-7824-4935-b63c-454fc1c99627	1	72340125	72490140	92	0.5852
376e5a23-7824-4935-b63c-454fc1c99627	1	72492226	99358069	17150	0.1184
376e5a23-7824-4935-b63c-454fc1c99627	1	99358177	99359630	2	-1.9147
376e5a23-7824-4935-b63c-454fc1c99627	1	99361917	101376397	1265	0.1201
376e5a23-7824-4935-b63c-454fc1c99627	1	101376766	102350985	707	0.2506
376e5a23-7824-4935-b63c-454fc1c99627	1	102353061	102662902	199	0.1642
376e5a23-7824-4935-b63c-454fc1c99627	1	102663289	105593285	1479	0.0935
376e5a23-7824-4935-b63c-454fc1c99627	1	105594107	106413465	528	0.1821
376e5a23-7824-4935-b63c-454fc1c99627	1	106415741	106417589	3	-1.276
376e5a23-7824-4935-b63c-454fc1c99627	1	106421195	109684893	1993	0.1869
376e5a23-7824-4935-b63c-454fc1c99627	1	109690352	109697556	13	-1.7872
376e5a23-7824-4935-b63c-454fc1c99627	1	109702376	110817923	814	0.168
376e5a23-7824-4935-b63c-454fc1c99627	1	110820818	110869087	81	0.4357
376e5a23-7824-4935-b63c-454fc1c99627	1	110869132	112147626	1035	0.1782
376e5a23-7824-4935-b63c-454fc1c99627	1	112147704	112163334	27	1.1434
376e5a23-7824-4935-b63c-454fc1c99627	1	112163438	118904087	4211	0.1914
376e5a23-7824-4935-b63c-454fc1c99627	1	118906846	118951712	42	2.0272
376e5a23-7824-4935-b63c-454fc1c99627	1	118954156	119036389	43	1.3116
376e5a23-7824-4935-b63c-454fc1c99627	1	119039825	119748857	520	0.191
376e5a23-7824-4935-b63c-454fc1c99627	1	119749656	119751763	6	-0.6438
376e5a23-7824-4935-b63c-454fc1c99627	1	119754672	120954128	183	0.1979
376e5a23-7824-4935-b63c-454fc1c99627	1	120954165	121573699	86	1.6541
376e5a23-7824-4935-b63c-454fc1c99627	1	121580012	152583051	2420	0.8601
376e5a23-7824-4935-b63c-454fc1c99627	1	152583230	152614118	35	4.1765
376e5a23-7824-4935-b63c-454fc1c99627	1	152618018	157220638	2464	0.7767
376e5a23-7824-4935-b63c-454fc1c99627	1	157224788	169017254	8722	0.4386
376e5a23-7824-4935-b63c-454fc1c99627	1	169017882	169017973	2	-1.5274
376e5a23-7824-4935-b63c-454fc1c99627	1	169020148	189679027	13507	0.4106
376e5a23-7824-4935-b63c-454fc1c99627	1	189679353	189679397	2	-1.7143
376e5a23-7824-4935-b63c-454fc1c99627	1	189682917	190299091	477	0.4058
376e5a23-7824-4935-b63c-454fc1c99627	1	190309133	194329616	2684	0.6403
376e5a23-7824-4935-b63c-454fc1c99627	1	194329764	194479104	104	0.5313
376e5a23-7824-4935-b63c-454fc1c99627	1	194482281	194485888	2	2.671
376e5a23-7824-4935-b63c-454fc1c99627	1	194487886	196729142	1425	0.5464
376e5a23-7824-4935-b63c-454fc1c99627	1	196729169	196973325	159	0.8061
376e5a23-7824-4935-b63c-454fc1c99627	1	196974508	205263009	5457	0.564
376e5a23-7824-4935-b63c-454fc1c99627	1	205263852	209356831	2661	0.4216
376e5a23-7824-4935-b63c-454fc1c99627	1	209358697	221456620	8448	0.2144
376e5a23-7824-4935-b63c-454fc1c99627	1	221457125	222193326	579	0.2519
376e5a23-7824-4935-b63c-454fc1c99627	1	222201492	222203662	2	2.4178
376e5a23-7824-4935-b63c-454fc1c99627	1	222208792	240029059	12219	0.2663
376e5a23-7824-4935-b63c-454fc1c99627	1	240033707	240042757	7	-0.9231
376e5a23-7824-4935-b63c-454fc1c99627	1	240043312	247293759	5032	0.2652
376e5a23-7824-4935-b63c-454fc1c99627	1	247294552	248589915	762	0.3572
376e5a23-7824-4935-b63c-454fc1c99627	1	248590063	248622945	20	0.9589
376e5a23-7824-4935-b63c-454fc1c99627	1	248626391	248930189	147	0.3658
376e5a23-7824-4935-b63c-454fc1c99627	2	12784	13062181	9859	0.2145
376e5a23-7824-4935-b63c-454fc1c99627	2	13062541	13142715	43	0.8243
376e5a23-7824-4935-b63c-454fc1c99627	2	13144180	15716656	1820	0.2156
376e5a23-7824-4935-b63c-454fc1c99627	2	15717153	23512032	5535	0.2936
376e5a23-7824-4935-b63c-454fc1c99627	2	23512263	41991194	12175	0.3518
376e5a23-7824-4935-b63c-454fc1c99627	2	41991405	41991453	2	-1.6539
376e5a23-7824-4935-b63c-454fc1c99627	2	41993953	43780442	1145	0.3454
376e5a23-7824-4935-b63c-454fc1c99627	2	43785129	43800874	13	-0.5236
376e5a23-7824-4935-b63c-454fc1c99627	2	43802084	50634312	4818	0.3483
376e5a23-7824-4935-b63c-454fc1c99627	2	50636075	51097501	324	0.493
376e5a23-7824-4935-b63c-454fc1c99627	2	51101883	52334682	826	0.3385
376e5a23-7824-4935-b63c-454fc1c99627	2	52335273	52527330	142	0.2645
376e5a23-7824-4935-b63c-454fc1c99627	2	52527342	52554404	39	-2.461
376e5a23-7824-4935-b63c-454fc1c99627	2	52560811	59328409	4691	0.308
376e5a23-7824-4935-b63c-454fc1c99627	2	59332493	69531432	6436	0.179
376e5a23-7824-4935-b63c-454fc1c99627	2	69537067	69836123	197	0.605
376e5a23-7824-4935-b63c-454fc1c99627	2	69836395	79340195	5883	0.1796
376e5a23-7824-4935-b63c-454fc1c99627	2	79341495	79357877	14	0.0921
376e5a23-7824-4935-b63c-454fc1c99627	2	79357930	79362751	4	-1.4602
376e5a23-7824-4935-b63c-454fc1c99627	2	79362794	85734951	3877	0.1808
376e5a23-7824-4935-b63c-454fc1c99627	2	85735020	88848037	1279	0.2996
376e5a23-7824-4935-b63c-454fc1c99627	2	88848170	90198858	254	0.4452
376e5a23-7824-4935-b63c-454fc1c99627	2	90199051	97359885	934	0.2146
376e5a23-7824-4935-b63c-454fc1c99627	2	97524284	97545726	9	-0.7231
376e5a23-7824-4935-b63c-454fc1c99627	2	97550415	102295024	2810	0.2483
376e5a23-7824-4935-b63c-454fc1c99627	2	102296204	103027329	499	0.4861
376e5a23-7824-4935-b63c-454fc1c99627	2	103028155	105392477	1411	0.1384
376e5a23-7824-4935-b63c-454fc1c99627	2	105393395	105426501	22	0.081
376e5a23-7824-4935-b63c-454fc1c99627	2	105427634	140371274	20788	-0.1883
376e5a23-7824-4935-b63c-454fc1c99627	2	140371503	140730328	236	-0.0662
376e5a23-7824-4935-b63c-454fc1c99627	2	140730939	145886300	3146	0.1042
376e5a23-7824-4935-b63c-454fc1c99627	2	145886903	152141565	3776	-0.0458
376e5a23-7824-4935-b63c-454fc1c99627	2	152143880	152156303	11	-1.0435
376e5a23-7824-4935-b63c-454fc1c99627	2	152161609	158782075	3900	-0.0367
376e5a23-7824-4935-b63c-454fc1c99627	2	158782209	158806286	18	0.0499
376e5a23-7824-4935-b63c-454fc1c99627	2	158808191	159102108	168	0.2748
376e5a23-7824-4935-b63c-454fc1c99627	2	159103831	159104461	2	2.2859
376e5a23-7824-4935-b63c-454fc1c99627	2	159106775	161367082	1482	0.2845
376e5a23-7824-4935-b63c-454fc1c99627	2	161367244	161535169	76	-0.0008
376e5a23-7824-4935-b63c-454fc1c99627	2	161541846	163780342	1220	0.256
376e5a23-7824-4935-b63c-454fc1c99627	2	163786978	163788616	5	-1.492
376e5a23-7824-4935-b63c-454fc1c99627	2	163790132	177685333	8715	0.255
376e5a23-7824-4935-b63c-454fc1c99627	2	177687230	184215361	4045	0.1637
376e5a23-7824-4935-b63c-454fc1c99627	2	184219993	194495886	5723	-0.067
376e5a23-7824-4935-b63c-454fc1c99627	2	194500751	194501360	4	-1.6391
376e5a23-7824-4935-b63c-454fc1c99627	2	194501795	199759511	3044	-0.0922
376e5a23-7824-4935-b63c-454fc1c99627	2	199759911	199760177	2	-2.3465
376e5a23-7824-4935-b63c-454fc1c99627	2	199762708	204222794	2408	-0.0956
376e5a23-7824-4935-b63c-454fc1c99627	2	204226448	204226968	4	-3.3254
376e5a23-7824-4935-b63c-454fc1c99627	2	204232222	204241967	6	-1.2782
376e5a23-7824-4935-b63c-454fc1c99627	2	204243952	217811929	8932	-0.0971
376e5a23-7824-4935-b63c-454fc1c99627	2	217812167	223426888	3492	-0.2184
376e5a23-7824-4935-b63c-454fc1c99627	2	223430179	224434319	692	0.1027
376e5a23-7824-4935-b63c-454fc1c99627	2	224435788	224576091	78	-0.1631
376e5a23-7824-4935-b63c-454fc1c99627	2	224576514	226293406	1108	-0.2164
376e5a23-7824-4935-b63c-454fc1c99627	2	226293442	226771340	336	-0.6714
376e5a23-7824-4935-b63c-454fc1c99627	2	226773693	228397576	1016	-0.2163
376e5a23-7824-4935-b63c-454fc1c99627	2	228399698	228401658	2	-3.2289
376e5a23-7824-4935-b63c-454fc1c99627	2	228404140	236894723	5335	-0.2297
376e5a23-7824-4935-b63c-454fc1c99627	2	236894890	236895291	4	-3.5492
376e5a23-7824-4935-b63c-454fc1c99627	2	236895339	238073339	829	-0.2403
376e5a23-7824-4935-b63c-454fc1c99627	2	238075488	242147305	2163	-0.4951
376e5a23-7824-4935-b63c-454fc1c99627	3	20930	3767432	3398	0.153
376e5a23-7824-4935-b63c-454fc1c99627	3	3767495	6631419	2445	0.3023
376e5a23-7824-4935-b63c-454fc1c99627	3	6631900	21065264	9877	0.2439
376e5a23-7824-4935-b63c-454fc1c99627	3	21065550	21299371	162	0.448
376e5a23-7824-4935-b63c-454fc1c99627	3	21301496	41975471	14296	0.2491
376e5a23-7824-4935-b63c-454fc1c99627	3	41980607	41986739	3	-1.7862
376e5a23-7824-4935-b63c-454fc1c99627	3	41990202	42501500	384	0.2254
376e5a23-7824-4935-b63c-454fc1c99627	3	42503585	42634856	67	-0.4748
376e5a23-7824-4935-b63c-454fc1c99627	3	42636344	49254450	3397	0.2548
376e5a23-7824-4935-b63c-454fc1c99627	3	49268108	52989195	1512	0.4206
376e5a23-7824-4935-b63c-454fc1c99627	3	52994359	53005661	43	-0.5586
376e5a23-7824-4935-b63c-454fc1c99627	3	53007328	53713731	456	0.4456
376e5a23-7824-4935-b63c-454fc1c99627	3	53717715	54633409	659	0.38
376e5a23-7824-4935-b63c-454fc1c99627	3	54633435	54643848	7	-0.6061
376e5a23-7824-4935-b63c-454fc1c99627	3	54646602	59787089	3471	0.4117
376e5a23-7824-4935-b63c-454fc1c99627	3	59787106	59788250	4	1.6807
376e5a23-7824-4935-b63c-454fc1c99627	3	59791261	60922876	1283	0.441
376e5a23-7824-4935-b63c-454fc1c99627	3	60930882	61170256	243	0.041
376e5a23-7824-4935-b63c-454fc1c99627	3	61171219	65202778	3391	0.3988
376e5a23-7824-4935-b63c-454fc1c99627	3	65203560	65221229	42	-0.2795
376e5a23-7824-4935-b63c-454fc1c99627	3	65221269	65224777	10	-1.0478
376e5a23-7824-4935-b63c-454fc1c99627	3	65230674	68697013	2418	0.4109
376e5a23-7824-4935-b63c-454fc1c99627	3	68697108	68699607	15	1.2565
376e5a23-7824-4935-b63c-454fc1c99627	3	68699635	75519398	4899	0.3637
376e5a23-7824-4935-b63c-454fc1c99627	3	75523398	75537654	6	1.9991
376e5a23-7824-4935-b63c-454fc1c99627	3	75546030	79112587	2029	0.3378
376e5a23-7824-4935-b63c-454fc1c99627	3	79113319	81803772	1483	0.5337
376e5a23-7824-4935-b63c-454fc1c99627	3	81804095	84649839	1443	0.4253
376e5a23-7824-4935-b63c-454fc1c99627	3	84650033	84653449	20	-0.4325
376e5a23-7824-4935-b63c-454fc1c99627	3	84657133	91462299	3124	0.4353
376e5a23-7824-4935-b63c-454fc1c99627	3	93800634	95737262	991	0.5467
376e5a23-7824-4935-b63c-454fc1c99627	3	95748036	95749266	2	-3.6064
376e5a23-7824-4935-b63c-454fc1c99627	3	95749836	96689179	476	0.4707
376e5a23-7824-4935-b63c-454fc1c99627	3	96690760	107081723	6059	0.6253
376e5a23-7824-4935-b63c-454fc1c99627	3	107082682	113895642	4186	0.6861
376e5a23-7824-4935-b63c-454fc1c99627	3	113901777	116654066	1709	-0.0053
376e5a23-7824-4935-b63c-454fc1c99627	3	116657625	116726764	56	-0.3971
376e5a23-7824-4935-b63c-454fc1c99627	3	116726847	116751888	31	-0.7086
376e5a23-7824-4935-b63c-454fc1c99627	3	116751988	116814651	78	-0.4266
376e5a23-7824-4935-b63c-454fc1c99627	3	116814692	116887001	61	-0.9493
376e5a23-7824-4935-b63c-454fc1c99627	3	116887196	117022654	99	-0.5776
376e5a23-7824-4935-b63c-454fc1c99627	3	117022892	117804104	582	0.049
376e5a23-7824-4935-b63c-454fc1c99627	3	117805966	117986949	129	1.1729
376e5a23-7824-4935-b63c-454fc1c99627	3	117990934	124250804	3597	0.1192
376e5a23-7824-4935-b63c-454fc1c99627	3	124251211	124252017	3	-2.5455
376e5a23-7824-4935-b63c-454fc1c99627	3	124257947	125159786	709	0.1398
376e5a23-7824-4935-b63c-454fc1c99627	3	125160259	130067896	2741	0.8198
376e5a23-7824-4935-b63c-454fc1c99627	3	130067910	130079892	22	1.7496
376e5a23-7824-4935-b63c-454fc1c99627	3	130079938	134522348	2865	0.7838
376e5a23-7824-4935-b63c-454fc1c99627	3	134525772	134528174	2	2.9776
376e5a23-7824-4935-b63c-454fc1c99627	3	134532946	136300257	1138	0.8102
376e5a23-7824-4935-b63c-454fc1c99627	3	136304109	136306584	2	-2.917
376e5a23-7824-4935-b63c-454fc1c99627	3	136319699	146661402	6339	0.8417
376e5a23-7824-4935-b63c-454fc1c99627	3	146665207	147659401	523	1.0028
376e5a23-7824-4935-b63c-454fc1c99627	3	147661845	149829081	1385	0.8722
376e5a23-7824-4935-b63c-454fc1c99627	3	149833834	149847054	7	-0.4599
376e5a23-7824-4935-b63c-454fc1c99627	3	149851434	162794869	7914	0.8671
