GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17d5600b-8927-444b-96b2-82a3c8a81001	1	3301765	6233415	2004	0.209
17d5600b-8927-444b-96b2-82a3c8a81001	1	6243719	7645084	827	-0.1191
17d5600b-8927-444b-96b2-82a3c8a81001	1	7647227	7981279	200	-0.4974
17d5600b-8927-444b-96b2-82a3c8a81001	1	7982676	8834915	408	-0.1639
17d5600b-8927-444b-96b2-82a3c8a81001	1	8834930	10015782	520	0.2203
17d5600b-8927-444b-96b2-82a3c8a81001	1	10023527	10163022	54	-0.0856
17d5600b-8927-444b-96b2-82a3c8a81001	1	10164635	19319485	4931	0.1925
17d5600b-8927-444b-96b2-82a3c8a81001	1	19320271	20340600	722	1.6253
17d5600b-8927-444b-96b2-82a3c8a81001	1	20352739	21497136	574	0.1691
17d5600b-8927-444b-96b2-82a3c8a81001	1	21497615	22381072	456	0.4209
17d5600b-8927-444b-96b2-82a3c8a81001	1	22382304	22561012	101	1.4652
17d5600b-8927-444b-96b2-82a3c8a81001	1	22563061	22755454	112	1.5613
17d5600b-8927-444b-96b2-82a3c8a81001	1	22755626	23163835	266	1.7378
17d5600b-8927-444b-96b2-82a3c8a81001	1	23166289	23355345	104	1.5689
17d5600b-8927-444b-96b2-82a3c8a81001	1	23358484	24340933	481	1.3238
17d5600b-8927-444b-96b2-82a3c8a81001	1	24343304	29202234	1984	0.1526
17d5600b-8927-444b-96b2-82a3c8a81001	1	29203431	31738462	1563	0.2141
17d5600b-8927-444b-96b2-82a3c8a81001	1	31740537	33718867	900	0.1757
17d5600b-8927-444b-96b2-82a3c8a81001	1	33720493	33720593	2	-1.4563
17d5600b-8927-444b-96b2-82a3c8a81001	1	33721700	40703733	3814	0.1641
17d5600b-8927-444b-96b2-82a3c8a81001	1	40706603	41540334	468	0.7281
17d5600b-8927-444b-96b2-82a3c8a81001	1	41542477	42503385	650	0.3768
17d5600b-8927-444b-96b2-82a3c8a81001	1	42504566	42689391	96	0.1408
17d5600b-8927-444b-96b2-82a3c8a81001	1	42692839	43626356	590	0.3964
17d5600b-8927-444b-96b2-82a3c8a81001	1	43630029	43948620	177	0.1392
17d5600b-8927-444b-96b2-82a3c8a81001	1	43948819	59663452	9292	0.4054
17d5600b-8927-444b-96b2-82a3c8a81001	1	59665295	69744255	6966	0.587
17d5600b-8927-444b-96b2-82a3c8a81001	1	69746766	71989648	1127	0.1296
17d5600b-8927-444b-96b2-82a3c8a81001	1	71990149	72227630	150	-0.216
17d5600b-8927-444b-96b2-82a3c8a81001	1	72230572	76920468	2767	0.1307
17d5600b-8927-444b-96b2-82a3c8a81001	1	76923119	77112046	69	-0.2151
17d5600b-8927-444b-96b2-82a3c8a81001	1	77123496	111707612	20496	0.1456
17d5600b-8927-444b-96b2-82a3c8a81001	1	111710590	111744921	22	1.3768
17d5600b-8927-444b-96b2-82a3c8a81001	1	111746496	117371418	3696	0.1486
17d5600b-8927-444b-96b2-82a3c8a81001	1	117372410	117512150	59	0.9126
17d5600b-8927-444b-96b2-82a3c8a81001	1	117515613	118477806	545	0.3938
17d5600b-8927-444b-96b2-82a3c8a81001	1	118477995	118484811	6	1.6328
17d5600b-8927-444b-96b2-82a3c8a81001	1	118486443	119933053	874	0.1814
17d5600b-8927-444b-96b2-82a3c8a81001	1	119934039	119984772	36	1.4138
17d5600b-8927-444b-96b2-82a3c8a81001	1	146716041	156325019	2993	0.3671
17d5600b-8927-444b-96b2-82a3c8a81001	1	156326249	156379643	18	0.1682
17d5600b-8927-444b-96b2-82a3c8a81001	1	156379982	158844592	1576	-0.1956
17d5600b-8927-444b-96b2-82a3c8a81001	1	158846948	158919634	34	1.4617
17d5600b-8927-444b-96b2-82a3c8a81001	1	158930485	163380030	2936	-0.2048
17d5600b-8927-444b-96b2-82a3c8a81001	1	163382346	165871190	1947	-0.1383
17d5600b-8927-444b-96b2-82a3c8a81001	1	165871328	176327425	6652	-0.1938
17d5600b-8927-444b-96b2-82a3c8a81001	1	176328572	176788686	254	1.4957
17d5600b-8927-444b-96b2-82a3c8a81001	1	176788953	178321672	1018	1.0643
17d5600b-8927-444b-96b2-82a3c8a81001	1	178323658	179203897	606	1.6155
17d5600b-8927-444b-96b2-82a3c8a81001	1	179204401	180385430	749	1.4281
17d5600b-8927-444b-96b2-82a3c8a81001	1	180391765	185603915	3481	1.7219
17d5600b-8927-444b-96b2-82a3c8a81001	1	185604383	186553623	540	1.9163
17d5600b-8927-444b-96b2-82a3c8a81001	1	186561845	187004234	294	0.1309
