GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	62920	259422	15	-1.0095
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	259926	1300289	142	0.3108
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	1300442	1958678	168	0.4804
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	1958847	15823420	8010	0.309
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	15827002	15827430	6	1.3147
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	15827706	25256850	5668	0.318
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	25266637	25319693	21	-2.358
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	25320198	33334621	3971	0.3129
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	33337570	34626073	978	0.3744
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	34637053	34638890	20	-0.2133
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	34648667	47599666	7179	0.3586
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	47605484	47605505	2	-1.8653
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	47605676	70677392	15590	0.372
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	70677894	70708378	21	-0.2938
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	70710116	72302815	961	0.3781
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	72303233	72345465	46	0.9395
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	72346221	79061957	4201	0.3811
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	79070391	100733270	14024	-0.4499
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	100736666	108223733	4682	0.3908
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	108226680	108274557	2	-2.7565
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	108310648	109684695	673	0.3689
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	109684893	109697556	14	-0.2869
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	109702376	110789023	800	0.3601
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	110789384	110860873	95	0.5729
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	110860935	112147589	1050	0.3582
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	112147626	112163438	29	0.9724
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	112163440	152583051	7596	0.3778
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	152583230	152614064	33	-1.3879
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	152614100	152787202	167	0.3287
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	152789447	152789570	5	-0.4633
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	152789781	152796224	32	-1.4827
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	152801429	153510467	541	0.3852
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	153514749	153921488	176	0.9293
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	153928787	161832199	4684	0.3378
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	161832259	162049751	167	0.8573
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	162050429	191111361	20134	0.364
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	191116084	191128874	14	-0.4322
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	191131914	194479104	2277	0.3574
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	194482281	194485888	2	-2.0694
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	194487886	196720486	1429	0.3696
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	196724321	196926551	141	0.5831
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	196926717	213324124	10905	0.3333
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	213324643	219881057	4812	0.8723
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	219881213	240228440	14139	0.3186
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	240230715	240230839	6	-1.3233
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	240232805	242838381	2025	0.3311
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	242840220	248032111	3389	-0.4811
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	248032466	248773770	343	-0.3163
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	1	248774614	248930189	93	-0.5173
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	12784	17349740	13098	0.3036
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	17353504	17354261	2	2.0509
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	17354313	34474248	10975	0.308
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	34476327	34511990	45	1.0049
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	34512096	35742057	866	0.3253
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	35742319	35775353	13	1.0183
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	35775577	46248478	7806	0.2859
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	46251736	46254486	7	-0.7036
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	46260221	46265133	7	-0.3453
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	46265543	52397388	4193	0.2912
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	52402478	52455337	32	-0.704
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	52458044	52531652	76	0.339
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	52531677	52554157	22	-0.2526
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	52554188	115066087	34103	0.3104
a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975	2	115068984	115076630	10	-0.4525
