GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
de299c77-a9d8-4acf-97ae-337427f27132	1	3301765	9217671	3664	-0.048
de299c77-a9d8-4acf-97ae-337427f27132	1	9218083	9929146	269	0.3587
de299c77-a9d8-4acf-97ae-337427f27132	1	9933962	17962470	4031	-0.0352
de299c77-a9d8-4acf-97ae-337427f27132	1	17962739	24211197	3714	0.0297
de299c77-a9d8-4acf-97ae-337427f27132	1	24213738	62332998	21519	0.0008
de299c77-a9d8-4acf-97ae-337427f27132	1	62336589	62432644	64	0.2226
de299c77-a9d8-4acf-97ae-337427f27132	1	62433735	67627535	3709	-0.0014
de299c77-a9d8-4acf-97ae-337427f27132	1	67630189	67724282	80	-0.035
de299c77-a9d8-4acf-97ae-337427f27132	1	67725194	67759409	29	-0.3547
de299c77-a9d8-4acf-97ae-337427f27132	1	67759988	83658321	9127	-0.0272
de299c77-a9d8-4acf-97ae-337427f27132	1	83658786	83661409	5	-0.9249
de299c77-a9d8-4acf-97ae-337427f27132	1	83666331	86273189	1831	-0.0057
de299c77-a9d8-4acf-97ae-337427f27132	1	86287913	99515889	8059	0.4048
de299c77-a9d8-4acf-97ae-337427f27132	1	99516232	99666476	104	0.7327
de299c77-a9d8-4acf-97ae-337427f27132	1	99667734	99941694	208	0.4344
de299c77-a9d8-4acf-97ae-337427f27132	1	99942312	119984738	11760	-0.0267
de299c77-a9d8-4acf-97ae-337427f27132	1	119984772	150494291	186	0.3693
de299c77-a9d8-4acf-97ae-337427f27132	1	150494449	151973303	651	0.6693
de299c77-a9d8-4acf-97ae-337427f27132	1	151977613	165653758	8545	0.3904
de299c77-a9d8-4acf-97ae-337427f27132	1	165653877	165686867	34	0.7455
de299c77-a9d8-4acf-97ae-337427f27132	1	165689513	176109195	6702	0.3963
de299c77-a9d8-4acf-97ae-337427f27132	1	176112170	176112191	2	-0.6691
de299c77-a9d8-4acf-97ae-337427f27132	1	176114358	186494022	6695	0.3941
de299c77-a9d8-4acf-97ae-337427f27132	1	186494758	206532906	12011	0.3731
de299c77-a9d8-4acf-97ae-337427f27132	1	206535392	229786621	15069	0.388
de299c77-a9d8-4acf-97ae-337427f27132	1	229786849	229789777	2	-0.9395
de299c77-a9d8-4acf-97ae-337427f27132	1	229791098	234502788	3498	0.3989
de299c77-a9d8-4acf-97ae-337427f27132	1	234507714	234755523	173	0.5616
de299c77-a9d8-4acf-97ae-337427f27132	1	234755743	241355616	4810	0.3709
de299c77-a9d8-4acf-97ae-337427f27132	1	241359025	241476814	108	0.7072
de299c77-a9d8-4acf-97ae-337427f27132	1	241485124	247650984	3180	0.3589
de299c77-a9d8-4acf-97ae-337427f27132	2	480597	2120121	315	0.6718
de299c77-a9d8-4acf-97ae-337427f27132	2	2124089	2134913	14	1.3112
