GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	62920	98602	13	-0.9104
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	259407	8149070	4040	0.4172
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	8149261	10610834	1303	0.5116
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	10611363	10619664	3	-1.4358
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	10621749	12714696	1076	0.5178
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	12715848	16935752	2321	0.436
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	16949746	25256850	5239	-0.6237
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	25266637	25320455	24	-3.0557
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	25336819	25679647	114	-0.6027
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	25684398	39880457	7692	0.1148
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	39884361	39971411	39	0.5616
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	39974950	47617807	4307	0.1092
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	47618643	50588674	1729	0.0088
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	50589731	55337738	2668	0.0941
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	55339949	56915462	1271	0.0011
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	56919157	66346417	7094	0.4169
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	66348762	67702898	1000	-0.0479
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	67712758	72305684	2819	-0.1065
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	72305835	72345450	41	-0.8399
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	72345465	73583733	742	-0.1404
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	73584920	88658807	9987	-0.0171
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	88661204	95119734	4076	0.0419
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	95122549	97383769	1397	-0.0227
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	97385481	97386489	2	-2.0428
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	97390351	105476583	4755	-0.008
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	105476614	105479753	16	-2.3207
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	105481433	107111598	1082	-0.033
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	107112980	107118316	8	-1.1537
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	107118984	107128711	7	-0.5592
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	107132210	108186662	841	-0.0025
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	108187137	108194874	4	-1.3746
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	108196482	108547742	109	0.0056
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	108551742	109684893	584	0.0919
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	109690352	109697556	13	-0.8214
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	109702376	110833598	834	0.114
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	110834746	110845604	39	-0.9237
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	110849445	111287011	344	0.0697
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	111287175	111291867	11	-0.4645
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	111292111	112147704	721	0.0718
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	112153343	112163527	33	-0.2956
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	112163572	118117777	3798	0.0667
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	118119082	121430469	1282	-0.0066
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	121430980	146788785	387	0.071
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	147004967	147057144	26	0.5323
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	147057250	149041886	670	0.0391
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	149370761	152583051	1435	0.5547
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	152583230	152613762	31	-2.6663
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	152613802	156334538	2040	0.5656
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	156334991	157114129	403	0.1457
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	157117331	160820758	2669	0.0438
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	160823652	161647641	357	0.1441
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	161647657	161649268	8	-0.9873
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	161678447	185418156	16719	0.0431
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	185422731	196762480	7477	-0.0394
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	196762956	196854187	60	0.2428
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	196854483	197014101	102	0.0133
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	197018951	199669410	1656	-0.1032
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	199670408	200491435	580	-0.0378
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	200493317	206707641	3957	0.0133
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	206709222	208273924	1107	-0.0356
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	208273932	211178811	2299	-0.0883
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	211178921	213625241	1505	-0.0211
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	213629045	223480694	6939	-0.1044
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	223480801	224208080	384	0.0151
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	224208252	224208479	3	-1.8184
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	224210275	225480583	823	-0.0563
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	225480822	225481969	2	-1.5796
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	225482036	226309637	443	-0.003
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	226312138	226324409	3	-1.3694
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	226330001	228358786	1228	-0.0451
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	228359059	231612389	2185	0.1731
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	231618626	234212505	2171	0.1287
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	234213244	237140439	2049	0.1957
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	237140619	243640620	4966	0.1132
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	243640714	248546369	3220	0.1502
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	248550567	248611798	22	0.6358
205f2c4a-d28c-47bc-990e-5c11ff2017cd	1	248616453	248930189	154	0.1489
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	12784	8439175	6661	0.1341
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	8440486	12010009	2470	0.2187
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	12010241	18891079	5153	0.1122
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	18891840	19898447	837	0.0397
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	19902887	23840338	2555	-0.4209
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	23843232	28809880	2471	-0.326
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	28819558	34476327	3931	-0.393
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	34476516	34511990	44	0.3266
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	34512096	37103541	1994	-0.3951
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	37105917	41882331	3582	0.0752
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	41885162	43328255	943	-0.3585
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	43328367	43328666	2	-3.1534
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	43332337	45494550	1534	-0.4193
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	45496949	48244928	1955	0.1024
205f2c4a-d28c-47bc-990e-5c11ff2017cd	2	48245829	52527727	2994	0.0049
