GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	62920	86341	11	-0.7652
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	98588	14174369	7132	0.3576
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	14175667	15163186	772	-0.423
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	15163303	15163548	5	0.4438
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	15163694	15822848	419	-0.4389
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	15823420	15850269	18	0.3018
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	15854897	43634413	15744	-0.4472
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	43636916	43676644	26	-1.4326
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	43677654	72297687	18627	-0.4132
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	72302735	72345465	48	0.8214
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	72346221	74711600	1443	-0.3931
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	74718734	74720685	2	-5.1247
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	74721817	78286867	2299	-0.3912
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	78286983	78287098	2	-1.9552
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	78290957	81526335	2159	-0.3966
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	81528913	88742397	4866	0.0812
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	88746574	89933965	738	0.4005
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	89934683	90408757	297	0.6621
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	90408936	105479101	9155	0.4464
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	105479130	105481515	11	-0.2451
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	105482176	109684893	2633	0.4458
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	109690352	109697556	13	-1.5882
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	109702376	109709233	14	0.7729
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	109709342	110834946	824	0.4028
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	110834948	110869657	69	0.6692
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	110872270	119984738	6108	0.4211
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	119984772	143494500	122	0.5825
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	143541857	143708096	74	-0.2646
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	143708149	143714703	20	0.2135
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	143734438	143928045	31	-0.3542
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	143942271	145788656	64	0.4036
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	145789052	148982581	802	0.5298
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	148982614	152582700	1450	0.3339
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	152583051	152614118	36	1.4874
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	152618018	152787202	167	0.3233
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	152789447	152795805	33	0.8948
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	152795862	153796506	662	0.357
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	153800463	156789793	1390	0.2915
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	156791095	162346191	3812	0.3528
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	162346216	166293851	3150	0.4013
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	166298600	167318350	793	0.3509
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	167323379	180526534	8818	0.0108
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	180534437	180666902	97	0.305
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	180669335	181449389	540	0.0092
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	181451900	185813008	2982	0.6393
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	185816007	196770842	7230	0.684
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	196771081	196996904	148	0.8606
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	196997709	200180367	2014	0.6773
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	200181036	207246572	4556	0.6174
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	207247054	212601673	3907	0.375
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	212601769	221995122	6687	0.6587
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	221995719	229684449	4581	0.86
63eee62a-faf8-439d-bb1b-d2b5d6f47aa2	1	229684709	229685464	6	-0.0223
