GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	62920	1939898	320	-0.1552
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	1946351	5800430	2348	0.2415
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	5801045	5900443	75	-1.0802
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	5901224	6589217	313	0.2705
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	6590790	8752613	1308	-0.1282
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	8754572	8890987	90	0.3343
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	8906275	9099053	124	-0.1155
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	9104074	9812557	349	0.352
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	9813596	12146582	1214	-0.1246
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	12149493	21259944	5472	-0.9861
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	21261623	24907202	2091	-0.1191
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	24909623	25256850	252	-1.0332
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	25266637	25360708	36	-0.3171
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	25360774	27119206	744	-0.9334
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	27129269	29467767	1003	-0.0984
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	29468618	30852180	1098	-0.1767
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	30852243	31148580	136	-0.1017
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	31150820	31152499	2	-3.3757
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	31152542	42846421	6551	-0.1571
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	42847326	47532668	2538	-0.1084
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	47534787	50772510	1866	-0.1733
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	50773429	50839162	36	0.4784
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	50845482	53392066	1239	-0.1409
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	53394270	54095219	465	0.3288
7fa92667-c84b-4b05-ab4f-4813e5a2e956	1	54098376	54761907	422	0.6534
