GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	3301765	9524383	3779	-0.0499
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	9528050	26730873	9072	0.2174
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	26741188	26929299	58	-0.2331
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	26938133	55068954	14851	0.2133
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	55070330	61582183	4880	0.2462
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	61582336	61655631	68	0.5374
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	61660047	64838744	2186	0.2527
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	64838782	89264291	15028	0.2135
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	89267976	89944072	421	0.031
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	89944696	96705858	4108	0.1034
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	96708405	113098100	9435	0.0661
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	113098313	119874537	4202	0.1014
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	119877425	159803662	5281	0.0372
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	159804618	160166538	208	-0.03
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	160167548	160167712	2	-1.4265
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	160169050	161770103	843	-0.0221
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	161770624	184463924	15376	0.0485
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	184465663	213077171	17753	0.0086
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	1	213077514	247650984	22249	0.0414
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	480597	38983144	23051	0.1835
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	38983257	41953772	1841	0.2376
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	41955946	65377028	13318	0.1838
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	65378060	67602899	1638	0.2342
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	67607247	84477130	9331	0.1863
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	84478978	85491001	559	0.3769
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	85491125	96863659	1628	0.1669
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	96863951	140722607	22464	0.2297
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	140725493	145921050	3106	0.1783
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	145921128	163268591	9969	0.2305
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	163272816	190108507	15372	0.2564
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	190108531	201558143	5791	0.2199
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	201558672	201558981	3	1.6661
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	201561984	217777466	9831	0.2528
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	217799224	219727870	972	0.1869
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	219728447	222864509	2157	0.265
3fbc2630-ca7b-44f2-b331-bcf6dfbf6982	2	222865020	236902872	8564	0.2168
