GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
88bb74ad-b634-48d4-a342-83850d37069a	1	3301765	3305770	9	-0.5708
88bb74ad-b634-48d4-a342-83850d37069a	1	3305906	3306087	3	-1.689
88bb74ad-b634-48d4-a342-83850d37069a	1	3308094	4059101	393	-0.5693
88bb74ad-b634-48d4-a342-83850d37069a	1	4059362	4060838	5	-2.0727
88bb74ad-b634-48d4-a342-83850d37069a	1	4070624	31713228	14860	-0.6022
88bb74ad-b634-48d4-a342-83850d37069a	1	31719102	32132589	173	0.1803
88bb74ad-b634-48d4-a342-83850d37069a	1	32135832	55368828	12451	-0.6194
88bb74ad-b634-48d4-a342-83850d37069a	1	55368842	63023206	5629	-0.7008
88bb74ad-b634-48d4-a342-83850d37069a	1	63026109	63031120	9	0.3193
88bb74ad-b634-48d4-a342-83850d37069a	1	63033903	64839599	1285	-0.7224
88bb74ad-b634-48d4-a342-83850d37069a	1	64839613	64891534	100	-0.4998
88bb74ad-b634-48d4-a342-83850d37069a	1	64892819	65052368	188	-0.6924
88bb74ad-b634-48d4-a342-83850d37069a	1	65054080	65065902	14	0.0772
88bb74ad-b634-48d4-a342-83850d37069a	1	65069754	69132950	2736	-0.7153
88bb74ad-b634-48d4-a342-83850d37069a	1	69141867	69144171	6	0.2114
88bb74ad-b634-48d4-a342-83850d37069a	1	69154192	71243522	1097	-0.727
88bb74ad-b634-48d4-a342-83850d37069a	1	71266079	71412506	83	0.036
88bb74ad-b634-48d4-a342-83850d37069a	1	71416286	80766749	5275	-0.7348
88bb74ad-b634-48d4-a342-83850d37069a	1	80771912	83347104	1620	0.046
88bb74ad-b634-48d4-a342-83850d37069a	1	83425612	83959429	391	-0.7219
88bb74ad-b634-48d4-a342-83850d37069a	1	83965026	92244482	5299	0.0829
88bb74ad-b634-48d4-a342-83850d37069a	1	92249447	92734327	226	-0.5637
88bb74ad-b634-48d4-a342-83850d37069a	1	92754003	95018169	1420	0.1068
88bb74ad-b634-48d4-a342-83850d37069a	1	95019036	95099352	57	0.0585
88bb74ad-b634-48d4-a342-83850d37069a	1	95102376	95102802	4	-0.7966
88bb74ad-b634-48d4-a342-83850d37069a	1	95106813	95352360	176	0.0735
88bb74ad-b634-48d4-a342-83850d37069a	1	95353040	95358126	7	-0.7892
88bb74ad-b634-48d4-a342-83850d37069a	1	95359474	107417087	6798	0.0554
88bb74ad-b634-48d4-a342-83850d37069a	1	107417142	109008150	898	0.1084
88bb74ad-b634-48d4-a342-83850d37069a	1	109010905	153200676	8396	0.1279
88bb74ad-b634-48d4-a342-83850d37069a	1	153201304	157486927	2069	0.1802
88bb74ad-b634-48d4-a342-83850d37069a	1	157487136	157757100	220	0.1302
88bb74ad-b634-48d4-a342-83850d37069a	1	157759384	157760059	2	-0.9351
88bb74ad-b634-48d4-a342-83850d37069a	1	157760238	158108645	249	0.1474
88bb74ad-b634-48d4-a342-83850d37069a	1	158111520	159692839	1022	0.0916
88bb74ad-b634-48d4-a342-83850d37069a	1	159693615	162384716	1680	0.1622
88bb74ad-b634-48d4-a342-83850d37069a	1	162386350	171819817	6979	0.1022
88bb74ad-b634-48d4-a342-83850d37069a	1	171820086	173393582	1030	0.0511
88bb74ad-b634-48d4-a342-83850d37069a	1	173394049	184968253	7104	0.1074
88bb74ad-b634-48d4-a342-83850d37069a	1	184968595	199830606	8675	0.032
88bb74ad-b634-48d4-a342-83850d37069a	1	199837935	204126350	2740	0.1549
