GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ebb5e53-4ee1-4440-a948-797f32ed292f	1	3301765	247650984	129745	0.0117
9ebb5e53-4ee1-4440-a948-797f32ed292f	2	480597	18749439	11924	0.0062
9ebb5e53-4ee1-4440-a948-797f32ed292f	2	18752295	18757001	3	-1.4091
9ebb5e53-4ee1-4440-a948-797f32ed292f	2	18759202	22533360	2422	-0.0055
9ebb5e53-4ee1-4440-a948-797f32ed292f	2	22534585	22536692	3	-1.7004
9ebb5e53-4ee1-4440-a948-797f32ed292f	2	22536871	241537572	117864	0.0044
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	2170634	73744339	42938	0.006
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	73744561	73744781	2	-1.8922
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	73746827	116572974	20856	0.0124
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	116573772	116578307	2	-2.182
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	116578517	131475311	8534	0.0064
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	131475350	131475673	2	-1.9157
9ebb5e53-4ee1-4440-a948-797f32ed292f	3	131476453	197812401	34858	0.0114
9ebb5e53-4ee1-4440-a948-797f32ed292f	4	1059384	187842528	103483	0.0114
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	913983	31732585	18539	0.011
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	31733446	31735009	2	-2.328
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	31735253	66574117	16838	0.0122
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	66574645	66578325	2	-1.8727
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	66578837	125636022	32055	0.0151
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	125639283	125651541	2	-1.807
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	125653379	168294196	26359	0.0129
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	168296840	168297712	2	-1.8598
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	168298716	177574708	5753	0.0086
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	177574780	177575769	2	-1.4753
9ebb5e53-4ee1-4440-a948-797f32ed292f	5	177577234	180934240	1562	0.0207
9ebb5e53-4ee1-4440-a948-797f32ed292f	6	1011760	170596889	97165	0.0115
9ebb5e53-4ee1-4440-a948-797f32ed292f	7	664936	158592540	81946	0.0114
9ebb5e53-4ee1-4440-a948-797f32ed292f	8	667625	144182542	82243	0.0081
9ebb5e53-4ee1-4440-a948-797f32ed292f	9	789794	138044505	68476	0.0072
9ebb5e53-4ee1-4440-a948-797f32ed292f	10	366509	33942102	23626	0.0093
9ebb5e53-4ee1-4440-a948-797f32ed292f	10	33942347	33968610	22	0.5057
9ebb5e53-4ee1-4440-a948-797f32ed292f	10	33968684	133411599	57651	0.0074
9ebb5e53-4ee1-4440-a948-797f32ed292f	11	456012	31348375	19828	0.0125
9ebb5e53-4ee1-4440-a948-797f32ed292f	11	31351325	31351703	2	-2.145
9ebb5e53-4ee1-4440-a948-797f32ed292f	11	31354360	104456825	37803	0.01
9ebb5e53-4ee1-4440-a948-797f32ed292f	11	104457828	104458063	2	-1.9267
9ebb5e53-4ee1-4440-a948-797f32ed292f	11	104458106	134272740	19935	0.009
9ebb5e53-4ee1-4440-a948-797f32ed292f	12	780472	132605822	74351	0.0089
9ebb5e53-4ee1-4440-a948-797f32ed292f	13	18874255	114226675	57003	0.009
9ebb5e53-4ee1-4440-a948-797f32ed292f	14	20033191	105533894	49798	0.0107
9ebb5e53-4ee1-4440-a948-797f32ed292f	15	23437561	51936674	14763	0.0125
9ebb5e53-4ee1-4440-a948-797f32ed292f	15	51939634	51939749	2	-1.8288
9ebb5e53-4ee1-4440-a948-797f32ed292f	15	51939804	101344124	30034	0.0081
9ebb5e53-4ee1-4440-a948-797f32ed292f	16	603333	89317317	41215	0.0104
9ebb5e53-4ee1-4440-a948-797f32ed292f	17	1074619	82959812	37281	0.0152
9ebb5e53-4ee1-4440-a948-797f32ed292f	18	326691	79349796	42977	0.0058
9ebb5e53-4ee1-4440-a948-797f32ed292f	19	283868	58370362	24146	0.0194
9ebb5e53-4ee1-4440-a948-797f32ed292f	20	472817	63588502	37569	0.0099
9ebb5e53-4ee1-4440-a948-797f32ed292f	21	13974127	41496204	18378	0.0134
9ebb5e53-4ee1-4440-a948-797f32ed292f	21	41496268	41496286	2	-1.876
9ebb5e53-4ee1-4440-a948-797f32ed292f	21	41496410	46262057	2222	0.0149
9ebb5e53-4ee1-4440-a948-797f32ed292f	22	16934932	45970014	14855	0.0109
9ebb5e53-4ee1-4440-a948-797f32ed292f	22	45994389	46000194	2	-2.1462
9ebb5e53-4ee1-4440-a948-797f32ed292f	22	46000363	48940621	2235	0.0118
9ebb5e53-4ee1-4440-a948-797f32ed292f	X	3236359	21796217	7561	0.0047
9ebb5e53-4ee1-4440-a948-797f32ed292f	X	21796321	21800572	3	-1.7529
9ebb5e53-4ee1-4440-a948-797f32ed292f	X	21800698	155677414	56421	0.0107
