GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	3301765	49569377	24952	0.421
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	49570202	49581069	3	-0.4033
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	49581939	62847648	8501	0.0699
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	62847792	71559565	5731	-0.0532
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	71565883	72353207	420	-0.5598
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	72362629	117450757	27058	-0.0674
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	117459298	162240820	8150	0.3272
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	162241164	180988707	12515	0.3522
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	180988826	191758819	6697	0.3125
49faae6b-279a-4dec-af44-25fd7e00a8e9	1	191758865	247650984	35779	0.0578
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	480597	2783963	826	-0.4788
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	2787764	2789195	3	-1.6988
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	2790328	9161496	4516	-0.4576
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	9163763	23292645	9543	-0.4202
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	23296871	24719953	757	-0.4592
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	24720697	25146354	204	0.0932
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	25150397	50198072	14332	-0.4269
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	50206069	71364852	12051	0.4338
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	71370511	72713989	684	1.2982
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	72721994	72980724	110	0.737
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	72982285	73052861	30	0.6825
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	73053287	74562186	720	0.4493
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	74562573	74569230	4	-0.5516
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	74569786	75785246	737	0.4372
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	75785690	75785843	2	-1.3027
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	75786151	76532678	458	0.4427
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	76533845	82713084	3198	0.9433
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	82714322	83250382	276	-0.4381
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	83255680	83277004	23	0.9076
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	83279577	88831554	2311	-0.4081
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	94675825	95377745	233	0.116
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	95381207	113671634	9125	0.0694
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	113696303	146227619	16955	0.097
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	146227979	146393629	82	-0.4519
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	146395789	155007505	5096	0.0829
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	155010730	155013264	2	-1.5524
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	155014023	159926221	2783	0.0945
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	159926968	160368147	285	0.2747
49faae6b-279a-4dec-af44-25fd7e00a8e9	2	160371671	241537572	46884	0.0841
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	2170634	3316103	592	0.1205
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	3319821	3320154	4	-1.041
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	3320453	43350454	24158	0.107
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	43351836	68841487	14618	-0.433
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	68845974	88378321	10958	0.0999
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	88380324	89017438	344	0.463
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	89051244	89065373	13	0.0154
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	89072755	89122579	34	0.45
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	89125002	89137274	7	-0.2371
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	89137297	96341482	1755	0.4456
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	96342532	96351360	6	-0.483
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	96353922	155197260	32851	0.4246
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	155197441	155457965	171	0.613
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	155463591	168314844	6234	0.431
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	168315355	169879398	971	0.745
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	169879774	170310209	242	0.6526
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	170310397	170448486	61	0.7784
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	170454047	170614761	124	0.413
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	170615089	170669432	26	0.0684
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	170671842	185880036	7381	0.4294
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	185880764	190936561	3621	0.2076
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	190936941	191957916	640	0.3992
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	191958681	191961684	2	-0.8544
49faae6b-279a-4dec-af44-25fd7e00a8e9	3	191963519	197812401	2399	0.416
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	1059384	1658924	161	0.316
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	1661943	2146222	194	0.8755
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	2146902	3044326	403	0.5965
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	3048830	8479703	3463	-0.7438
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	8480435	21673162	8656	-0.6693
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	21679099	21682840	3	-2.0763
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	21684470	24414836	1775	-0.6402
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	24415273	24562078	85	-0.7531
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	24574536	24698528	81	0.6736
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	24701855	25010504	242	-0.0542
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	25012505	37582478	7629	-0.6696
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	37582513	38637042	788	-0.7553
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	38638921	46440945	3996	-0.665
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	46443171	62916152	7559	-0.0447
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	62916204	62927782	2	1.7807
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	62928625	74148207	5554	-0.0723
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	74149053	74149177	2	-2.0338
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	74150033	76332372	1363	-0.0818
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	76332706	139456745	35212	-0.1213
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	139458649	139718923	172	0.2137
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	139720086	156836603	9781	-0.1329
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	156836925	162433261	3225	-0.173
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	162437185	166344730	2066	-0.1446
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	166350346	166353997	2	-2.1434
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	166358793	181694206	8240	-0.1632
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	181694340	182521859	691	0.1317
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	182528763	184364920	410	-0.1368
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	184369988	185378604	208	-0.2674
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	185379148	185759318	263	-0.115
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	185762026	185762563	2	-2.0278
49faae6b-279a-4dec-af44-25fd7e00a8e9	4	185764891	187842528	1260	-0.1509
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	913983	8080936	5175	0.0816
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	8096321	19383218	6630	0.1085
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	19383512	30699503	5888	0.0768
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	30700781	38705146	4795	0.1178
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	38706538	45383300	3650	0.0934
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	50828231	51288949	271	1.6685
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	51288970	51340606	28	2.0511
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	51341336	51401844	35	1.7485
49faae6b-279a-4dec-af44-25fd7e00a8e9	5	51401923	51645163	103	0.4425
