GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dea4702d-8a1e-4b70-b463-1ead2345e265	1	62920	901366	55	0.1132
dea4702d-8a1e-4b70-b463-1ead2345e265	1	901705	1810970	212	1.461
dea4702d-8a1e-4b70-b463-1ead2345e265	1	1815255	1881249	35	0.6059
dea4702d-8a1e-4b70-b463-1ead2345e265	1	1883021	3301765	430	1.3606
dea4702d-8a1e-4b70-b463-1ead2345e265	1	3302046	3400217	67	-0.5556
dea4702d-8a1e-4b70-b463-1ead2345e265	1	3402150	3410239	7	1.4906
dea4702d-8a1e-4b70-b463-1ead2345e265	1	3410905	3864478	231	-0.5926
dea4702d-8a1e-4b70-b463-1ead2345e265	1	3868897	3876237	6	2.0996
dea4702d-8a1e-4b70-b463-1ead2345e265	1	3876402	4360664	334	-0.3907
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4361012	4364085	6	1.3021
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4365703	4677471	326	-0.2885
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4677545	4699980	21	0.7052
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4702678	4732594	21	-0.4129
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4733520	4739140	7	1.0618
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4739210	4823166	78	-0.1933
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4826708	4841648	17	0.7211
dea4702d-8a1e-4b70-b463-1ead2345e265	1	4841677	5051997	199	-0.4429
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5054493	5062550	6	-2.3641
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5067483	5286740	191	-0.3346
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5287379	5348855	47	0.4918
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5350289	5760609	342	-0.3173
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5766838	5771058	6	1.6142
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5772913	5836947	22	-0.3249
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5838263	5843898	12	1.2544
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5844509	5954503	98	-0.2104
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5958331	5996669	21	1.2115
dea4702d-8a1e-4b70-b463-1ead2345e265	1	5997665	6373069	161	-0.5099
dea4702d-8a1e-4b70-b463-1ead2345e265	1	6374079	6389578	6	1.3366
dea4702d-8a1e-4b70-b463-1ead2345e265	1	6394399	6711080	144	-0.5696
dea4702d-8a1e-4b70-b463-1ead2345e265	1	6711463	6714460	8	0.978
dea4702d-8a1e-4b70-b463-1ead2345e265	1	6721526	7492401	522	-0.3171
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7492530	7511538	14	1.0408
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7511749	7622734	82	-0.4717
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7623838	7627999	8	1.2774
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7628608	7718300	41	-0.5612
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7719741	7887886	114	-0.0766
dea4702d-8a1e-4b70-b463-1ead2345e265	1	7891686	8116134	118	-0.4133
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8116566	8131732	11	0.7024
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8132865	8701992	272	-0.2894
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8702668	8704596	3	1.3639
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8707252	8710824	8	0.1534
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8711393	8823459	68	-2.4276
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8830735	8884295	47	-0.395
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8890987	8923709	12	1.2875
dea4702d-8a1e-4b70-b463-1ead2345e265	1	8924977	9168123	146	-0.3767
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9168565	9174084	5	1.0467
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9174304	9247978	45	-0.3186
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9255788	9344634	59	1.2341
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9344921	9524383	98	-0.3424
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9528050	9542315	5	1.5867
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9543723	9713660	66	-0.4898
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9714660	9729792	7	1.9652
dea4702d-8a1e-4b70-b463-1ead2345e265	1	9734247	10030667	122	-0.2937
dea4702d-8a1e-4b70-b463-1ead2345e265	1	10031603	10046717	7	1.5838
dea4702d-8a1e-4b70-b463-1ead2345e265	1	10047407	10611363	334	-0.2717
dea4702d-8a1e-4b70-b463-1ead2345e265	1	10616743	10626217	5	1.7581
dea4702d-8a1e-4b70-b463-1ead2345e265	1	10626806	12777697	1119	-0.4308
dea4702d-8a1e-4b70-b463-1ead2345e265	1	12778601	13468357	68	0.4175
dea4702d-8a1e-4b70-b463-1ead2345e265	1	13468981	14729486	1000	-0.2658
