GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
86675878-47f2-4a7b-9360-1879007596ff	1	3301765	9784716	3868	0.0054
86675878-47f2-4a7b-9360-1879007596ff	1	9789250	9792641	2	-1.4357
86675878-47f2-4a7b-9360-1879007596ff	1	9795530	13526460	1547	0.0107
86675878-47f2-4a7b-9360-1879007596ff	1	13529113	13529289	4	-1.2042
86675878-47f2-4a7b-9360-1879007596ff	1	13531933	23631293	6024	0.0108
86675878-47f2-4a7b-9360-1879007596ff	1	23632431	23633123	2	-1.7725
86675878-47f2-4a7b-9360-1879007596ff	1	23634378	247650984	118307	0.008
86675878-47f2-4a7b-9360-1879007596ff	2	480597	241537572	132216	0.0042
86675878-47f2-4a7b-9360-1879007596ff	3	2170634	197812401	107183	0.0112
86675878-47f2-4a7b-9360-1879007596ff	4	1059384	9986713	4555	0.0021
86675878-47f2-4a7b-9360-1879007596ff	4	9986780	9987092	2	1.5876
86675878-47f2-4a7b-9360-1879007596ff	4	9987609	65700083	31950	0.0103
86675878-47f2-4a7b-9360-1879007596ff	4	65701338	65701480	3	-1.4089
86675878-47f2-4a7b-9360-1879007596ff	4	65703050	78347471	6801	0.0101
86675878-47f2-4a7b-9360-1879007596ff	4	78354621	78355866	2	-1.8406
86675878-47f2-4a7b-9360-1879007596ff	4	78360750	187842528	60193	0.0068
86675878-47f2-4a7b-9360-1879007596ff	5	913983	44695188	25879	0.0051
86675878-47f2-4a7b-9360-1879007596ff	5	44704907	44806890	47	-1.0605
86675878-47f2-4a7b-9360-1879007596ff	5	44812486	52126832	898	0.0119
86675878-47f2-4a7b-9360-1879007596ff	5	52133595	52135846	3	-1.1135
86675878-47f2-4a7b-9360-1879007596ff	5	52139587	74959926	12855	0.0102
86675878-47f2-4a7b-9360-1879007596ff	5	74963725	74964054	2	-1.4918
86675878-47f2-4a7b-9360-1879007596ff	5	74968059	180934240	61448	0.0095
86675878-47f2-4a7b-9360-1879007596ff	6	1011760	170596889	97181	0.0086
86675878-47f2-4a7b-9360-1879007596ff	7	664936	158592540	81940	0.0082
86675878-47f2-4a7b-9360-1879007596ff	8	667625	123597474	69270	0.0089
86675878-47f2-4a7b-9360-1879007596ff	8	123597968	123600584	2	-2.9477
86675878-47f2-4a7b-9360-1879007596ff	8	123603376	144182542	12977	0.0065
86675878-47f2-4a7b-9360-1879007596ff	9	789794	138044505	68491	0.0076
86675878-47f2-4a7b-9360-1879007596ff	10	366509	90502685	54386	0.0084
86675878-47f2-4a7b-9360-1879007596ff	10	90503620	90504962	3	-1.5841
86675878-47f2-4a7b-9360-1879007596ff	10	90505253	133411599	26905	0.0073
86675878-47f2-4a7b-9360-1879007596ff	11	456012	80282842	42624	0.0065
86675878-47f2-4a7b-9360-1879007596ff	11	80289574	80289861	4	-1.0437
86675878-47f2-4a7b-9360-1879007596ff	11	80291631	134272740	34964	0.0054
86675878-47f2-4a7b-9360-1879007596ff	12	780472	29535564	17249	0.0075
86675878-47f2-4a7b-9360-1879007596ff	12	29538078	29538598	3	-1.2202
86675878-47f2-4a7b-9360-1879007596ff	12	29538964	30774716	913	0.0226
86675878-47f2-4a7b-9360-1879007596ff	12	30775138	30778465	2	-1.2847
86675878-47f2-4a7b-9360-1879007596ff	12	30778469	47132947	6165	0.0147
86675878-47f2-4a7b-9360-1879007596ff	12	47133816	47134025	2	1.779
86675878-47f2-4a7b-9360-1879007596ff	12	47134590	132605822	50020	0.0078
86675878-47f2-4a7b-9360-1879007596ff	13	18874255	114226675	57006	0.0051
86675878-47f2-4a7b-9360-1879007596ff	14	20033191	73953773	30349	0.0064
86675878-47f2-4a7b-9360-1879007596ff	14	73957074	73957079	2	-1.5244
86675878-47f2-4a7b-9360-1879007596ff	14	73958353	105533894	19450	0.0068
