GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	62920	783283	24	0.6233
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	787937	2084385	327	0.0992
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	2084400	3337716	418	0.0871
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	3338543	6408568	2216	-0.0242
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	6415626	6564128	56	-0.4321
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	6568989	12775725	3441	-0.0728
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	12777697	12806954	15	0.487
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	12807204	12850744	15	-0.058
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	12851243	13270143	12	0.5261
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	13323538	15823420	1806	-0.044
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	15827002	15844541	16	0.6368
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	15850269	16855942	347	-0.095
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	16863509	16973232	67	0.3922
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	16973488	24732937	4890	-0.0748
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	24736572	25266637	357	0.1948
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	25269390	25289805	14	-0.7824
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	25292440	29112929	1572	0.1103
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	29116074	30778417	1249	0.2282
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	30778851	33293369	1138	0.1257
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	33293923	38793186	3320	0.1959
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	38796204	47544014	4820	0.1518
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	47545861	50935766	1935	0.2718
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	50943984	55005795	2286	0.1793
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	55008652	56177683	903	0.3024
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	56178277	68813231	9467	0.2694
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	68813364	72302815	2055	0.329
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	72303233	72345450	45	-0.3543
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	72345465	78895189	4116	0.3104
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	78896512	81841670	2011	0.3744
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	81841789	81968370	93	0.1311
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	81968542	84239798	1449	0.3654
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	84240007	90673013	4331	0.2826
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	90678292	91727707	710	0.4817
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	91728105	91730095	2	-1.3183
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	91730496	93857464	1088	0.451
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	93865059	93997889	84	0.7089
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	94000247	95122714	921	0.4862
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	95124831	96550286	926	0.5803
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	96553178	96761119	103	0.4442
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	96761270	99696032	1788	0.7565
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	99696135	101733839	1306	0.6627
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	101739254	102302919	423	0.784
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	102303146	102690137	249	0.6273
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	102690345	107850787	3066	0.7782
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	107854969	109690352	944	0.6263
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	109690415	109697556	12	2.1148
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	109702376	109709226	13	0.9473
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	109709233	112147704	1937	0.6304
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	112153343	112154591	22	0.1459
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	112154619	114522132	1445	0.615
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	114524417	114954541	234	0.7768
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	114955636	117890852	2025	0.641
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	117896564	121573699	1453	0.7072
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	121580012	144442098	141	0.2779
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	144442342	148986777	864	0.9095
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	148986798	152583051	1448	0.7209
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	152583230	152614118	35	-1.7122
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	152618018	153364135	660	0.7794
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	153364581	153393072	19	1.2819
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	153393328	153762893	174	0.7734
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	153765120	156831013	1415	0.6677
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	156831449	158375639	1059	0.7538
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	158378589	159535797	886	0.8387
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	159536731	160814400	893	0.7294
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	160816880	161318750	268	0.6083
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	161319748	161532067	85	0.81
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	161532421	161533104	2	2.6168
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	161539001	165454359	3100	0.7198
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	165454933	165835186	308	0.6024
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	165838469	165861035	20	0.1728
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	165861687	167538620	1259	0.6391
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	167538881	167795598	221	0.522
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	167796946	167797682	4	-0.2147
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	167799276	167832239	23	0.4276
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	167832356	169264736	1089	0.6514
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	169265291	169272528	6	-2.3294
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	169273163	176546409	4650	0.648
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	176547752	178289442	1142	0.7407
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	178290144	184311685	4215	0.6349
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	184313014	192782288	5467	0.7674
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	192784909	193388331	483	0.6173
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	193389717	196758720	2222	0.7779
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	196761905	196832525	56	0.1906
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	196832720	199125422	1359	0.6972
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	199125504	199138574	20	0.5251
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	199142235	199144712	9	-2.5353
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	199145110	199145694	4	0.0469
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	199145844	200133240	665	0.6677
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	200135403	203937000	2486	0.5475
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	203939357	203953367	12	-0.4458
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	203954065	206970169	1939	0.5598
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	206970205	207072659	75	0.6668
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	207074489	207202581	78	0.9258
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	207202684	209897717	2142	0.6469
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	209908268	209920304	7	1.467
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	209922328	210435736	356	0.6597
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	210436070	211185838	570	0.5853
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	211189379	212909618	1065	0.5149
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	212909919	214871902	1385	0.6019
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	214872357	219673302	3478	0.7072
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	219673857	219938114	179	0.5638
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	219938805	221116660	767	0.6248
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	221116902	221123955	2	2.1919
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	221126670	223006472	1236	0.629
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	223006702	229675422	4002	0.5324
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	229681109	229684449	3	-3.2793
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	229684709	229685464	6	-0.5085
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	229686006	234063775	3419	0.5952
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	234064180	234541805	403	0.5511
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	234541991	234567934	17	0.948
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	234568011	235109835	395	0.5308
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	235109864	235136133	8	1.2099
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	235153373	236531190	806	0.5245
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	236535170	238231855	1464	0.633
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	238232389	238373088	118	0.6721
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	238373208	246010918	5598	0.7781
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	246011302	246947523	615	0.8914
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	246948905	248572774	958	0.6598
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	248574146	248645808	35	-0.2127
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	1	248646068	248930189	139	0.6605
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	12784	4102870	2942	0.7706
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	4102966	4168879	50	0.8861
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	4169315	4175113	28	1.23
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	4175577	6163337	1680	0.8315
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	6163357	6165771	8	1.2619
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	6165792	8126408	1701	0.769
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	8131629	12212558	2966	0.7003
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	12212574	14563570	1663	0.8307
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	14564825	14569897	11	-0.446
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	14569968	20942098	4737	0.778
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	20942149	23192415	1436	0.8451
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	23200030	24758047	927	0.7369
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	24759368	26893255	1042	0.6718
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	26896086	28593609	842	0.4914
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	28595003	31442548	2180	0.5968
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	31444110	31523555	29	0.4685
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	31525347	31682799	62	0.2163
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	31685754	32393035	266	0.5192
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	32395820	33106711	447	0.7051
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	33108804	33947410	666	0.5856
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	33949560	34295406	307	0.6929
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	34298911	34300513	2	-2.1311
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	34300900	35735082	1008	0.6757
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	35740049	36181450	353	0.4827
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	36189338	36267887	78	-0.082
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	36271122	37264335	781	0.3888
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	37266804	38046133	607	0.473
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	38046327	39891360	1170	0.3486
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	39891920	41787379	1602	0.5061
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	41788002	48720822	4818	0.3683
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	48721663	52527727	2736	0.5111
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	52527743	52554384	33	-0.0581
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	52554404	54431097	1409	0.485
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	54432037	55892426	1039	0.3872
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	55894858	60023447	2826	0.4704
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	60025335	65686445	3125	0.3634
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	65686953	68723186	2247	0.464
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	68723252	72077746	2230	0.3396
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	72078333	73776484	739	0.6041
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	73776627	84297813	6901	0.5123
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	84298338	97537802	3342	0.3732
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	97540809	97545247	3	-1.6815
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	97545726	102816194	3259	0.3798
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	102816833	104790131	1189	0.2403
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	104793338	106250044	1111	0.1283
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	106256280	106263639	10	0.4567
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	106264257	106270799	12	-0.5103
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	106270952	109570061	2054	0.1811
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	109571160	111592673	594	-0.0349
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	111598165	111610248	3	-1.5844
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	111615592	113604438	1132	-0.066
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	113604837	113671634	19	-0.1977
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	113671996	117689116	2493	0.0707
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	117690408	122233286	2832	-0.0193
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	122234648	126358744	2717	0.0911
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	126358937	127534704	789	-0.0091
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	127534924	128072119	243	-0.1596
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	128072271	128858570	497	-0.0176
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	128866878	134329387	3154	0.0539
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	134329638	136994056	1647	-0.0322
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	136994256	146104517	5635	0.0619
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	146106836	146109366	24	0.8928
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	146120238	153625846	4635	0.041
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	153626180	155937871	1345	0.1361
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	155943540	158821044	1654	0.01
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	158821111	159486564	425	-0.0271
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	159486930	161971491	1475	-0.3075
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	161972904	169256886	4483	-0.032
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	169257199	175074989	3671	-0.1303
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	175075422	177682191	1689	-0.0504
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	177685333	177687637	3	-1.1985
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	177688060	179627676	1184	-0.0448
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	179627905	179628439	4	-1.2668
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	179631194	183937315	2717	-0.0297
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	183937331	185782125	1084	0.0498
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	185786846	186960908	637	-0.0686
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	186960921	189150153	1196	0.3205
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	189153066	192078240	1783	0.225
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	192080214	195403807	1758	0.3182
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	195403972	197897818	1396	0.1556
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	197904207	200540341	1646	0.2367
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	200540665	203850087	1689	0.1178
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	203852990	207490231	2487	0.1955
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	207490454	207490614	2	-1.6129
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	207490972	207494795	16	-0.2845
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	207494836	207495072	2	-1.2281
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	207495422	208494463	625	0.153
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	208494783	214866466	4061	0.2881
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	214866485	216540139	1141	0.168
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	216540480	216543516	4	-1.1352
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	216543672	218029736	1069	0.1815
41386f0c-6c92-4ae3-9b7a-fc2b98108e4f	2	218029788	219353063	621	0.0208
