GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
634da42b-ae78-42e0-8115-37a735e4e057	1	3301765	24823191	12020	0.1556
634da42b-ae78-42e0-8115-37a735e4e057	1	24838128	25447591	245	0.7096
634da42b-ae78-42e0-8115-37a735e4e057	1	25562931	31340178	2816	0.1736
634da42b-ae78-42e0-8115-37a735e4e057	1	31340936	32033746	342	0.6786
634da42b-ae78-42e0-8115-37a735e4e057	1	32041489	32881580	303	0.1841
634da42b-ae78-42e0-8115-37a735e4e057	1	32885447	46532337	7399	0.1483
634da42b-ae78-42e0-8115-37a735e4e057	1	46534086	108914228	38069	0.0886
634da42b-ae78-42e0-8115-37a735e4e057	1	108916674	112670914	2378	0.132
634da42b-ae78-42e0-8115-37a735e4e057	1	112676766	149963240	4520	0.2295
634da42b-ae78-42e0-8115-37a735e4e057	1	149966299	151621444	611	0.2895
634da42b-ae78-42e0-8115-37a735e4e057	1	151623438	151625756	2	-1.2584
634da42b-ae78-42e0-8115-37a735e4e057	1	151627965	156243466	2319	0.2883
634da42b-ae78-42e0-8115-37a735e4e057	1	156244321	156915847	324	0.8256
634da42b-ae78-42e0-8115-37a735e4e057	1	156916588	161708587	2923	0.2665
634da42b-ae78-42e0-8115-37a735e4e057	1	161710222	198602600	23630	0.2315
634da42b-ae78-42e0-8115-37a735e4e057	1	198602875	203765857	3270	0.2589
634da42b-ae78-42e0-8115-37a735e4e057	1	203765965	203800763	18	-0.4709
634da42b-ae78-42e0-8115-37a735e4e057	1	203800988	247650984	28448	0.2412
634da42b-ae78-42e0-8115-37a735e4e057	2	480597	31407516	19459	0.2227
634da42b-ae78-42e0-8115-37a735e4e057	2	31409221	32298100	349	0.0636
634da42b-ae78-42e0-8115-37a735e4e057	2	32300777	84754815	29499	0.2144
634da42b-ae78-42e0-8115-37a735e4e057	2	84757574	84788414	17	-0.6206
634da42b-ae78-42e0-8115-37a735e4e057	2	84797607	115452566	11798	0.228
634da42b-ae78-42e0-8115-37a735e4e057	2	115456647	115655253	127	-0.6015
634da42b-ae78-42e0-8115-37a735e4e057	2	115664955	134035703	8913	0.2069
634da42b-ae78-42e0-8115-37a735e4e057	2	134035716	134036685	2	-1.6232
634da42b-ae78-42e0-8115-37a735e4e057	2	134038731	141289875	3944	0.1809
634da42b-ae78-42e0-8115-37a735e4e057	2	141292379	141352175	37	-0.7218
634da42b-ae78-42e0-8115-37a735e4e057	2	141353614	195908125	30614	0.195
634da42b-ae78-42e0-8115-37a735e4e057	2	195910129	195910805	2	-1.4669
634da42b-ae78-42e0-8115-37a735e4e057	2	195910864	219171103	13720	0.1878
634da42b-ae78-42e0-8115-37a735e4e057	2	219175608	219805161	342	0.695
634da42b-ae78-42e0-8115-37a735e4e057	2	219805496	229693308	6518	0.1939
634da42b-ae78-42e0-8115-37a735e4e057	2	229695017	241537572	6773	0.2405
634da42b-ae78-42e0-8115-37a735e4e057	3	2170634	17075449	9255	0.2507
634da42b-ae78-42e0-8115-37a735e4e057	3	17076255	40421900	13828	0.2216
634da42b-ae78-42e0-8115-37a735e4e057	3	40423206	48133550	4128	0.2618
634da42b-ae78-42e0-8115-37a735e4e057	3	48137688	48555846	172	0.8445
634da42b-ae78-42e0-8115-37a735e4e057	3	48558857	48699092	56	1.2773
634da42b-ae78-42e0-8115-37a735e4e057	3	48707380	48810485	31	0.7944
634da42b-ae78-42e0-8115-37a735e4e057	3	48810989	53243659	1815	0.2854
634da42b-ae78-42e0-8115-37a735e4e057	3	53243918	81051287	17467	0.2234
634da42b-ae78-42e0-8115-37a735e4e057	3	81058830	81108136	43	0.8554
634da42b-ae78-42e0-8115-37a735e4e057	3	81109071	165599909	43676	0.2201
634da42b-ae78-42e0-8115-37a735e4e057	3	165599948	165604056	18	0.8736
634da42b-ae78-42e0-8115-37a735e4e057	3	165608677	183113340	8993	0.2163
634da42b-ae78-42e0-8115-37a735e4e057	3	183116811	197812401	7642	0.2478
634da42b-ae78-42e0-8115-37a735e4e057	4	1059384	10111050	4661	0.2866
634da42b-ae78-42e0-8115-37a735e4e057	4	10111624	16068175	4530	0.2294
634da42b-ae78-42e0-8115-37a735e4e057	4	16069608	16799733	487	0.7646
634da42b-ae78-42e0-8115-37a735e4e057	4	16804629	76110514	32120	0.2263
634da42b-ae78-42e0-8115-37a735e4e057	4	76113441	76900178	526	0.7518
634da42b-ae78-42e0-8115-37a735e4e057	4	76902177	90506973	8147	0.2148
634da42b-ae78-42e0-8115-37a735e4e057	4	90512563	91148100	413	-0.5717
634da42b-ae78-42e0-8115-37a735e4e057	4	91148753	160201345	38075	0.2155
634da42b-ae78-42e0-8115-37a735e4e057	4	160205060	160210035	7	-0.9971
634da42b-ae78-42e0-8115-37a735e4e057	4	160212022	187842528	14456	0.2237
634da42b-ae78-42e0-8115-37a735e4e057	5	913983	1915336	147	0.16
634da42b-ae78-42e0-8115-37a735e4e057	5	1936428	5613125	3127	0.0087
634da42b-ae78-42e0-8115-37a735e4e057	5	5615235	6125065	409	0.1413
634da42b-ae78-42e0-8115-37a735e4e057	5	6125217	8060163	1462	-0.0032
634da42b-ae78-42e0-8115-37a735e4e057	5	8060207	22655978	8143	0.1202
634da42b-ae78-42e0-8115-37a735e4e057	5	22656418	22660322	3	-1.1491
634da42b-ae78-42e0-8115-37a735e4e057	5	22660440	26552789	2123	-0.0348
634da42b-ae78-42e0-8115-37a735e4e057	5	26553759	45383300	10699	0.1085
634da42b-ae78-42e0-8115-37a735e4e057	5	50828231	62236065	7093	-0.587
634da42b-ae78-42e0-8115-37a735e4e057	5	62239577	62240004	2	-2.7236
634da42b-ae78-42e0-8115-37a735e4e057	5	62244430	67696977	2982	-0.5806
634da42b-ae78-42e0-8115-37a735e4e057	5	67697435	67698890	3	-2.5506
634da42b-ae78-42e0-8115-37a735e4e057	5	67701773	87250148	10352	-0.5791
634da42b-ae78-42e0-8115-37a735e4e057	5	87255445	87297893	12	-1.6143
634da42b-ae78-42e0-8115-37a735e4e057	5	87299637	139257505	28648	-0.5719
634da42b-ae78-42e0-8115-37a735e4e057	5	139259943	139652314	112	0.2619
634da42b-ae78-42e0-8115-37a735e4e057	5	139653238	177070898	23765	-0.5707
634da42b-ae78-42e0-8115-37a735e4e057	5	177077491	177680789	246	0.2661
634da42b-ae78-42e0-8115-37a735e4e057	5	177982825	180934240	1512	-0.5196
634da42b-ae78-42e0-8115-37a735e4e057	6	1011760	8083666	5255	0.2684
634da42b-ae78-42e0-8115-37a735e4e057	6	8083685	8108974	21	0.2325
