GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	3301765	3350785	40	-0.1047
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	3362395	20741013	9870	-0.0011
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	20745474	22518359	844	-0.1049
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	22518458	91041536	40168	0.0043
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	91052370	92210752	699	-0.1541
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	92214204	93663338	674	0.1239
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	93664108	95593140	1362	-0.1393
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	95593524	99660155	2427	0.1316
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	99665863	101159415	906	-0.1292
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	101160691	104563975	1727	0.1322
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	104572269	108479495	2183	-0.1381
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	108479650	180218787	25822	0.1373
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	180222128	183107885	1946	-0.1227
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	183108662	207441733	14741	0.1402
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	207447229	212685455	3727	-0.1252
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	212686905	239049951	17435	0.1427
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	239051183	240203040	845	-0.1292
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	1	240203078	247650984	4182	0.1458
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	2	480597	188006463	101065	0.0041
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	2	188006476	188014478	3	-1.4486
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	2	188014939	241537572	30986	0.0024
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	3	2170634	197812401	107032	0.0035
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	4	1059384	187842528	103382	0.0045
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	5	914118	180934240	101004	0.0026
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	6	1011760	170596889	97066	0.0033
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	7	664936	109026806	55412	0.005
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	7	109027003	109061093	31	-0.8907
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	7	109067168	118187482	4724	0.0004
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	7	118191689	118191690	2	-1.4465
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	7	118194670	158592540	21680	-0.0012
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	8	667625	144182542	82113	0.003
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	789794	1811657	447	0.2297
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	1816187	1817448	4	-0.6851
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	1817749	15189200	7910	0.2253
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	15191601	15762477	409	-0.0451
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	15764417	21053136	4294	0.215
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	21054807	23652658	1702	-0.0253
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	9	23652832	138044505	53636	0.1015
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	10	366509	133411599	81182	0.0094
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	11	456012	127254771	72804	0.0061
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	11	127255080	127255365	3	-1.4763
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	11	127255736	134272740	4654	0.007
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	12	780472	132605822	74277	0.0043
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	13	18874255	114226675	56937	0.0014
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	14	20033191	105533894	49730	0.1002
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	15	23437561	101344124	44739	0
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	16	603333	31841585	14018	0.097
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	16	46470502	89317317	27122	-0.1421
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	17	1074619	21399695	9713	-0.1404
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	17	21774057	55038258	12690	0.0913
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	17	55049235	55053772	5	-0.8785
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	17	55054881	82959812	14829	0.0967
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	18	326691	79349796	42905	0.0049
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	19	283868	58370362	24118	-0.0014
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	20	472817	63588502	37497	0.0044
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	21	13974127	44515208	19833	0.0017
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	21	44516345	44516616	3	-1.1385
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	21	44516806	46262057	740	-0.0029
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	22	16934932	48940621	17065	-0.0065
ae1d6f65-aca6-4e15-86e3-f9a6db8a726b	X	3236359	155677414	63927	0.0148
