GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
63eb62f1-969d-49a9-963a-af10e9e878cf	1	3301765	54279894	27244	-0.0319
63eb62f1-969d-49a9-963a-af10e9e878cf	1	54280035	56979829	1991	0.0156
63eb62f1-969d-49a9-963a-af10e9e878cf	1	56980526	56981574	7	-0.6943
63eb62f1-969d-49a9-963a-af10e9e878cf	1	56982067	69407677	8808	0.0072
63eb62f1-969d-49a9-963a-af10e9e878cf	1	69408016	69409511	2	-1.4768
63eb62f1-969d-49a9-963a-af10e9e878cf	1	69411090	110203842	23810	0.012
63eb62f1-969d-49a9-963a-af10e9e878cf	1	110206182	119984738	6264	-0.0146
63eb62f1-969d-49a9-963a-af10e9e878cf	1	119984772	156308843	2988	0.2924
63eb62f1-969d-49a9-963a-af10e9e878cf	1	156310880	160320135	2525	0.3391
63eb62f1-969d-49a9-963a-af10e9e878cf	1	160322877	161811189	782	0.277
63eb62f1-969d-49a9-963a-af10e9e878cf	1	161811380	186828347	16698	0.3396
63eb62f1-969d-49a9-963a-af10e9e878cf	1	186828863	198485819	6780	0.3755
63eb62f1-969d-49a9-963a-af10e9e878cf	1	198486255	207063781	5430	0.3233
63eb62f1-969d-49a9-963a-af10e9e878cf	1	207063987	207066402	2	-0.9837
63eb62f1-969d-49a9-963a-af10e9e878cf	1	207072453	207714191	395	0.3019
63eb62f1-969d-49a9-963a-af10e9e878cf	1	207719385	216484506	6110	0.3592
63eb62f1-969d-49a9-963a-af10e9e878cf	1	216493016	216493379	2	-1.6808
63eb62f1-969d-49a9-963a-af10e9e878cf	1	216493522	218923889	1743	0.397
63eb62f1-969d-49a9-963a-af10e9e878cf	1	218924725	222967926	2625	0.3475
63eb62f1-969d-49a9-963a-af10e9e878cf	1	222970113	222970739	2	-1.3154
63eb62f1-969d-49a9-963a-af10e9e878cf	1	222975624	237210749	9073	0.3403
63eb62f1-969d-49a9-963a-af10e9e878cf	1	237211191	239310714	1652	0.4014
63eb62f1-969d-49a9-963a-af10e9e878cf	1	239310846	247650984	4859	0.345
63eb62f1-969d-49a9-963a-af10e9e878cf	2	480597	13541737	8388	0.6023
63eb62f1-969d-49a9-963a-af10e9e878cf	2	13541992	23831550	6896	0.631
63eb62f1-969d-49a9-963a-af10e9e878cf	2	23837051	30858191	3760	0.5728
63eb62f1-969d-49a9-963a-af10e9e878cf	2	30859408	60034431	16464	0.606
63eb62f1-969d-49a9-963a-af10e9e878cf	2	60034582	65714386	2959	0.5679
63eb62f1-969d-49a9-963a-af10e9e878cf	2	65714644	72987414	4591	0.3419
63eb62f1-969d-49a9-963a-af10e9e878cf	2	72989026	73278713	114	0.9824
63eb62f1-969d-49a9-963a-af10e9e878cf	2	73278777	74927809	874	0.3093
63eb62f1-969d-49a9-963a-af10e9e878cf	2	74928228	74999125	2	1.5248
63eb62f1-969d-49a9-963a-af10e9e878cf	2	74999663	75548851	409	0.3439
63eb62f1-969d-49a9-963a-af10e9e878cf	2	75548940	85191550	5133	0.3872
63eb62f1-969d-49a9-963a-af10e9e878cf	2	85192683	88770117	1177	0.3365
63eb62f1-969d-49a9-963a-af10e9e878cf	2	88772454	95975801	338	0.0714
63eb62f1-969d-49a9-963a-af10e9e878cf	2	95986761	97902005	494	-0.4196
63eb62f1-969d-49a9-963a-af10e9e878cf	2	97904951	98090218	89	0.0027
63eb62f1-969d-49a9-963a-af10e9e878cf	2	98091947	98372955	200	-0.458
63eb62f1-969d-49a9-963a-af10e9e878cf	2	98373237	99800643	706	0.0196
63eb62f1-969d-49a9-963a-af10e9e878cf	2	99801091	99876004	66	0.3404
63eb62f1-969d-49a9-963a-af10e9e878cf	2	99876977	103421322	2262	0.0442
63eb62f1-969d-49a9-963a-af10e9e878cf	2	103424410	103620921	112	0.4007
63eb62f1-969d-49a9-963a-af10e9e878cf	2	103626637	142510992	20026	0.0391
63eb62f1-969d-49a9-963a-af10e9e878cf	2	142511474	145208199	1527	-0.022
63eb62f1-969d-49a9-963a-af10e9e878cf	2	145214960	176323466	18363	0.0351
63eb62f1-969d-49a9-963a-af10e9e878cf	2	176326072	177140694	655	0.7072
63eb62f1-969d-49a9-963a-af10e9e878cf	2	177140766	185433497	4673	0.0453
63eb62f1-969d-49a9-963a-af10e9e878cf	2	185433729	186098903	47	0.8059
63eb62f1-969d-49a9-963a-af10e9e878cf	2	186100329	186707955	332	0.3667
63eb62f1-969d-49a9-963a-af10e9e878cf	2	186718991	195882916	4218	0.0594
63eb62f1-969d-49a9-963a-af10e9e878cf	2	195883028	207855021	6871	0.0256
63eb62f1-969d-49a9-963a-af10e9e878cf	2	207855365	210418003	1457	0.0528
63eb62f1-969d-49a9-963a-af10e9e878cf	2	210419936	213938324	2151	0.0921
63eb62f1-969d-49a9-963a-af10e9e878cf	2	213938969	214829926	539	0.0405
63eb62f1-969d-49a9-963a-af10e9e878cf	2	214830975	214839122	2	1.6871
63eb62f1-969d-49a9-963a-af10e9e878cf	2	214841527	236581261	13459	0.0346
63eb62f1-969d-49a9-963a-af10e9e878cf	2	236582696	237867788	947	0.3725
63eb62f1-969d-49a9-963a-af10e9e878cf	2	237873100	241415487	1895	0.6118
63eb62f1-969d-49a9-963a-af10e9e878cf	2	241415952	241537572	81	0.2958
63eb62f1-969d-49a9-963a-af10e9e878cf	3	2170634	5313871	1801	0.0173
63eb62f1-969d-49a9-963a-af10e9e878cf	3	5317989	5318245	2	-1.3267
63eb62f1-969d-49a9-963a-af10e9e878cf	3	5318906	10145384	2810	0.0328
63eb62f1-969d-49a9-963a-af10e9e878cf	3	10145397	12343043	1458	-0.4946
63eb62f1-969d-49a9-963a-af10e9e878cf	3	12343100	28881852	9729	0.0055
63eb62f1-969d-49a9-963a-af10e9e878cf	3	28882092	28883396	5	-1.1865
63eb62f1-969d-49a9-963a-af10e9e878cf	3	28884364	30149632	877	0.0002
63eb62f1-969d-49a9-963a-af10e9e878cf	3	30151053	30151074	2	-1.4373
63eb62f1-969d-49a9-963a-af10e9e878cf	3	30151286	45917163	9491	0.0025
63eb62f1-969d-49a9-963a-af10e9e878cf	3	45917502	51884036	2535	-0.0457
63eb62f1-969d-49a9-963a-af10e9e878cf	3	51884212	61050620	4932	-0.0047
63eb62f1-969d-49a9-963a-af10e9e878cf	3	61050786	68453810	5469	0.0468
63eb62f1-969d-49a9-963a-af10e9e878cf	3	68454120	72104202	2629	0.0105
63eb62f1-969d-49a9-963a-af10e9e878cf	3	72105175	90208684	9521	0.0533
63eb62f1-969d-49a9-963a-af10e9e878cf	3	90210010	91462299	41	-0.0838
63eb62f1-969d-49a9-963a-af10e9e878cf	3	94015345	94530126	229	0.3924
63eb62f1-969d-49a9-963a-af10e9e878cf	3	94531636	95244607	357	0.6543
63eb62f1-969d-49a9-963a-af10e9e878cf	3	95245136	197812401	55342	0.0467
