GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	62920	72776	4	0.2839
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	82170	86341	7	-1.4057
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	98588	1732392	210	-0.1112
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	1737662	2209434	165	0.3043
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	2217982	3282920	341	-0.1583
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	3283773	12756366	5736	-0.0083
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	12758908	12779433	17	-0.3397
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	12792599	12797904	3	-6.2271
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	12799143	13012913	30	-1.3353
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	13110913	16544783	2123	-0.0246
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	16569132	16570326	2	-2.5634
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	16583114	16785682	50	0.0122
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	16787932	16935737	57	-0.4
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	16935752	17266911	237	0.0333
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	17268401	17293514	22	0.956
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	17296159	25256850	4991	-0.0361
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	25266637	25320198	22	-2.2289
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	25320253	29116468	1564	0.016
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	29127347	38666758	5600	0.6114
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	38666759	38666761	3	-1.3996
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	38669516	47599666	4979	0.5946
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	47605484	47605505	2	-2.0434
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	47605676	50795916	1815	0.5835
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	50797288	50935766	61	0.8767
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	50943984	57526741	4342	0.584
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	57527782	58612828	925	0.3191
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	58613576	58731884	78	0.2472
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	58732052	69870923	7886	-0.0258
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	69871353	78532344	5400	-0.1149
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	78536235	107060227	18105	-0.052
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	107060647	110788274	2404	-0.1178
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	110788378	110828115	30	0.24
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	110831471	110845604	43	-1.0299
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	110849445	112147704	1074	-0.1121
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	112153343	112154754	24	-0.8344
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	112154768	118697830	4152	-0.1073
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	118704196	120414592	906	0.6064
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	120885464	145687141	250	0.0377
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	145687602	149849028	878	-0.4047
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	149849047	151644442	843	0.0262
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	151645489	152470333	466	0.3406
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	152470860	152583051	101	-0.0119
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	152583230	152614118	35	0.9087
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	152618018	157368322	2601	0.0164
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	157372131	172288047	10961	0.3245
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	172290019	182701199	6840	-0.0206
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	182712668	187880619	3355	0.3291
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	187883578	188003523	95	-0.0161
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	188008956	195958262	5290	0.3556
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	195958481	196761905	505	-0.0305
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	196762480	197049016	181	0.1478
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	197050466	204015010	4465	-0.0496
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	204016578	204016876	2	-2.2709
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	204018101	207395389	2170	-0.0626
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	207396832	217987410	7663	-0.5548
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	217997857	220409854	1675	-0.0856
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	220413824	236938304	11109	-0.1196
ca3115ed-9f4b-4831-aa71-7321a71295d2	1	236939803	248930189	8545	-0.0788
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	12784	16411	3	-0.5607
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	21833	37497	13	0.2305
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	41404	4155990	2968	-0.0478
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	4158097	4182472	44	-0.4765
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	4187192	6163357	1670	-0.0128
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	6163549	6164097	2	-2.3754
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	6164142	17039825	8128	-0.0408
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	17039898	17056638	46	-0.5934
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	17056694	32300777	9652	-0.0498
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	32300983	34460213	1542	0.3026
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	34466002	34512965	50	-0.1126
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	34515572	35803007	914	0.3394
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	35808188	49305903	9799	0.2699
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	49308629	52527727	2282	0.3206
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	52527743	52554236	28	-0.2696
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	52554259	74927809	14287	0.2768
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	74928228	79573866	3269	0.5725
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	79574129	108582340	13323	0.2784
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	108590275	114292099	2745	-0.0604
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	114292241	114778337	305	0.2943
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	114778592	114781818	11	-1.2249
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	114782002	114784817	14	-0.4064
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	114785021	116703869	1133	0.307
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	116704717	119442932	1889	0.5418
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	119449621	122719438	1929	-0.5335
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	122722323	122724665	8	-2.2508
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	122726077	128880904	3882	-0.5087
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	128880928	128882723	13	-2.2697
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	128882741	142595442	8391	-0.5176
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	142597500	142658987	44	0.3374
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	142662839	146106875	1965	-0.5888
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	146106889	146109366	21	-2.2219
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	146120238	150174288	2261	-0.5209
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	150174937	150179238	4	-2.5297
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	150182694	152238121	1429	-0.5502
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	152242092	157986885	3369	0.5682
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	157987028	158003781	19	-0.5772
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	158005041	163446457	3258	0.5332
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	163448520	163448865	4	-1.0017
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	163448902	182352201	11971	0.5487
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	182352863	195927112	7697	0.6138
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	195927279	197656272	994	0.5544
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	197658021	202277824	2693	-0.4435
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	202278346	209401192	4446	-0.3798
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	209403006	223884671	9403	-0.4332
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	223885668	241976372	11325	-0.4847
ca3115ed-9f4b-4831-aa71-7321a71295d2	2	241978399	242147305	121	-0.3632
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	20930	3568489	3183	0.3258
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	3569419	3569993	2	-2.0191
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	3570914	6604856	2622	0.3189
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	6609441	6611645	23	-0.4509
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	6613391	47437019	27634	0.3186
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	47450332	47451230	2	-2.7359
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	47455724	57546297	5464	0.3395
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	57559603	68697013	8816	-0.0063
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	68697108	68698262	14	-1.586
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	68699607	84053071	9610	-0.0044
ca3115ed-9f4b-4831-aa71-7321a71295d2	3	84056282	84057015	2	-3.3715
