GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	62920	3301765	738	0.2765
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	3302046	15823420	7603	0.0312
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	15827002	15827430	6	0.9039
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	15827706	16784801	353	0.0713
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	16785064	16988207	80	0.311
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	16993283	21350202	2957	0.0332
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	21358903	21451767	49	0.4441
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	21452015	31784162	5596	0.0328
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	31785330	72284670	25399	0.0077
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	72290430	72297687	9	-0.8781
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	72302735	102291505	19395	0.0005
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	102291687	102398081	96	-0.2097
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	102398328	103570265	570	-0.0019
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	103570536	103801365	56	-0.264
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	103801459	105476614	894	0.0036
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	105476688	105479753	15	-0.7933
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	105481433	108863502	2246	-0.0118
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	108863993	109684893	392	0.039
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	109690352	109697556	13	-1.0496
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	109702376	143714703	7233	0.0097
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	143734438	143796140	24	0.6487
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	143811517	146062439	187	0.0742
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	146150530	146174153	3	-1.3636
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	146250588	150665235	1046	0.0268
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	150671404	150838819	129	-0.143
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	150838949	151020217	73	0.0589
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	151022032	151027261	5	0.6139
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	151031124	151373304	138	-0.0042
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	151373407	151373784	5	0.6963
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	151374998	152583051	738	0.0233
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	152583230	152614100	34	-2.662
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	152614118	152787202	168	-0.0212
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	152789447	152796224	37	-0.288
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	152801429	157508748	2490	0.012
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	157512664	157513157	2	-1.699
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	157513483	169247699	8789	0.0084
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	169264736	169272528	7	1.0058
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	169273163	189289778	13187	0.0046
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	189290080	189584937	185	-0.1633
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	189585024	195102216	3745	-0.0223
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	195103206	195103787	2	-1.9491
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	195111133	196745743	1065	-0.0324
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	196758720	196846661	61	-2.2934
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	196847600	227237600	20458	0.0032
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	227238371	227238705	3	-1.4388
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	227241477	248546369	15182	0.0055
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	248550567	248633912	35	-3.2291
41a71629-4ce1-409c-bd3e-0dd3127cb28d	1	248645563	248930189	141	-0.0289
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	12784	4158097	2988	0.0275
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	4166274	4176429	42	-0.8386
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	4182472	34439683	21058	0.0074
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	34450400	34502800	49	0.4108
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	34511446	36282373	1313	-0.0489
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	36283582	41140264	3605	-0.0023
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	41140380	41206153	44	-0.2874
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	41210680	50636075	6751	0.002
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	50636524	52527743	1300	-0.0443
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	52531615	52554157	25	-1.1831
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	52554188	52554404	8	-0.7121
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	52560811	114773264	33952	-0.0001
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	114778337	114778782	4	-1.1718
41a71629-4ce1-409c-bd3e-0dd3127cb28d	2	114778899	114781802	7	-1.8245
