GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	62920	787937	25	0.2979
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	793228	825988	10	0.7832
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	826738	953279	29	0.0914
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	965731	3623098	816	-0.2146
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	3623660	6045049	1954	0.0124
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	6045070	13119897	3696	-0.0007
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	13270143	13323538	2	-1.9107
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	13326062	13689700	185	-0.0585
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	13693910	13782619	50	-0.2578
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	13786254	16679483	1916	-0.0122
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	16685961	16934753	72	0.3062
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	16934768	25205993	5252	-0.0069
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	25209597	25359294	52	-0.322
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	25359353	29207072	1592	-0.0192
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	29207089	40555364	6554	0.0173
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	40556404	40562538	4	-1.2324
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	40563254	44169804	2197	0.0468
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	44170809	44171718	2	-1.6687
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	44181708	109684893	42049	0.0191
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	109690352	109702376	14	-0.7291
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	109703504	110834746	835	0.0202
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	110834943	110840856	31	-0.7485
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	110841157	110920462	76	-0.0018
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	110920610	111159931	135	0.1067
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	111162175	111241516	68	-0.0891
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	111241605	111619013	354	0.1072
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	111619254	112147626	449	-0.0248
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	112147704	112163576	36	0.4074
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	112163583	145716953	5318	0.0369
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	145719752	146005291	127	-0.1243
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	146018429	147512809	376	0.1105
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	147514797	150808819	793	-0.0383
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	150809251	152582700	981	0.0371
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	152583051	152614118	36	1.4239
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	152618018	152785214	166	0.0475
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	152787202	152801429	39	0.5146
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	152804279	153349349	441	0.0883
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	153350098	153386348	28	-0.515
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	153389670	158989785	3210	0.0321
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	158992249	158993006	2	-1.3287
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	158997074	161476341	1551	0.0547
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	161476374	161647641	33	-0.3245
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	161647657	161723784	63	0.142
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	161724563	163198416	1242	0.0074
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	163199707	164525297	945	0.0697
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	164525570	165881631	1206	-0.0161
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	165884116	170359520	3409	0.0354
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	170360709	170420920	51	0.2599
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	170426936	175141819	2822	0.0501
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	175141955	189178049	9416	0.0216
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	189178857	189679027	319	0.0824
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	189679353	189679397	2	-2.9283
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	189682917	189994226	257	0.0359
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	189994314	190017263	43	0.2711
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	190017280	193186662	2039	0.0175
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	193187149	193187202	3	-1.1456
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	193187218	196745743	2396	0.0314
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	196758720	196846661	61	-1.8981
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	196847600	209897717	8788	0.0166
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	209908268	209910639	3	-2.075
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	209913207	220764449	7546	0.0211
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	220766406	220812469	53	-0.1973
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	220812486	228293263	4634	0.028
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	228295123	228472820	74	-0.1585
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	228473017	231188335	1918	0.0367
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	231188551	231197179	9	-0.4558
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	231198103	231787099	331	0.0246
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	231787599	231820622	22	0.6593
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	231820949	236693324	3677	0.0145
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	236697493	236775182	89	-0.1574
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	236777547	241949035	4188	0.0224
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	241950290	241972675	7	-0.5893
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	241974662	246477341	3060	0.0152
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	246479836	246494264	4	-0.8578
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	246494450	247953913	938	0.0176
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	247954114	248633912	344	0.1188
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	248645563	248684083	17	-0.2587
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	248684527	248784572	44	0.0638
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	248785683	248875714	51	-0.1779
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	248876512	248917328	24	0.2497
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	1	248918727	248930189	5	-0.1185
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	12784	30143	10	-0.2895
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	33901	196973	99	0.0701
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	202993	232933	27	0.3513
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	233867	4155990	2850	-0.0199
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	4158097	4175977	39	-0.6704
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	4176105	7472501	2875	0.0157
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	7472831	7480728	13	0.5948
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	7486531	7494426	5	1.2003
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	7494869	7499242	5	0.8267
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	7502934	13074797	4086	0.0017
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	13079151	13844585	468	0.0634
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	13846099	13846179	2	-1.0458
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	13847748	15054435	942	0.0481
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	15054474	20617733	4144	0.0067
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	20617913	20618052	3	-1.0612
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	20623459	34460213	8520	0.0056
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	34466002	34511990	47	0.681
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	34512096	35750907	872	0.0746
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	35752724	35762850	6	-1.5838
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	35762881	35928913	135	0.1303
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	35929247	37419799	1178	0.0049
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	37425449	37616381	136	0.1265
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	37617921	37683447	63	-0.091
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	37683480	37813549	115	0.1353
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	37814832	37905507	87	-0.1455
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	37906465	38102253	150	0.1575
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	38103774	40170111	1365	0.0138
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	40172987	40173172	3	-1.5848
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	40179378	41011095	695	0.0074
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	41011303	41277387	213	0.113
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	41278161	42218668	823	-0.0072
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	42220217	42225473	6	-1.1339
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	42227045	50749033	5952	0.014
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	50749321	50749714	5	-0.9594
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	50750841	51158478	270	-0.0361
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	51159600	54431097	2379	0.0404
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	54432037	54556024	144	-0.0937
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	54556908	54602459	28	-0.3785
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	54605125	56289085	1160	-0.0063
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	56291959	58698611	1551	0.0501
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	58699435	64122999	3070	0.0087
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	64130686	64146562	13	-0.398
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	64146907	64635468	382	-0.019
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	64637504	64651853	5	-0.6129
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	64652485	65264347	359	0.0125
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	65268149	65272885	3	-1.0118
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	65274553	75154574	6360	0.0151
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	75154602	75154670	3	-1.0087
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	75154711	75216464	34	0.0245
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	75220297	75278087	33	-1.0893
2f5e6659-4588-4eda-ac5f-e9bee98c5c3f	2	75285022	77746919	1748	0.0252
