GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3471e589-f7cc-41cd-badd-5768cf0e9866	1	62920	86341	11	-0.4958
3471e589-f7cc-41cd-badd-5768cf0e9866	1	98588	13702138	6701	0.1708
3471e589-f7cc-41cd-badd-5768cf0e9866	1	13704218	13754342	35	0.5974
3471e589-f7cc-41cd-badd-5768cf0e9866	1	13765084	15823420	1583	0.1639
3471e589-f7cc-41cd-badd-5768cf0e9866	1	15827002	15827430	6	-1.9944
3471e589-f7cc-41cd-badd-5768cf0e9866	1	15827706	16604834	306	0.1205
3471e589-f7cc-41cd-badd-5768cf0e9866	1	16605031	16679239	26	0.5174
3471e589-f7cc-41cd-badd-5768cf0e9866	1	16679281	16689764	5	-0.1032
3471e589-f7cc-41cd-badd-5768cf0e9866	1	16718963	16864367	22	0.5313
3471e589-f7cc-41cd-badd-5768cf0e9866	1	16868660	21317252	3003	0.1157
3471e589-f7cc-41cd-badd-5768cf0e9866	1	21318076	21407969	57	0.5709
3471e589-f7cc-41cd-badd-5768cf0e9866	1	21409834	21912658	294	0.0935
3471e589-f7cc-41cd-badd-5768cf0e9866	1	21916956	21974983	36	0.6156
3471e589-f7cc-41cd-badd-5768cf0e9866	1	21975076	23296206	827	0.1173
3471e589-f7cc-41cd-badd-5768cf0e9866	1	23301698	23618953	192	0.6116
3471e589-f7cc-41cd-badd-5768cf0e9866	1	23619093	24613166	488	0.109
3471e589-f7cc-41cd-badd-5768cf0e9866	1	24619164	24796261	98	0.5835
3471e589-f7cc-41cd-badd-5768cf0e9866	1	24801153	25269456	322	0.1088
3471e589-f7cc-41cd-badd-5768cf0e9866	1	25269914	25320455	21	-0.4222
3471e589-f7cc-41cd-badd-5768cf0e9866	1	25336819	28486031	1327	0.1155
3471e589-f7cc-41cd-badd-5768cf0e9866	1	28486393	28833074	122	0.5264
3471e589-f7cc-41cd-badd-5768cf0e9866	1	28835313	32728037	2255	0.1078
3471e589-f7cc-41cd-badd-5768cf0e9866	1	32729071	37314761	2690	0.5569
3471e589-f7cc-41cd-badd-5768cf0e9866	1	37314828	37437511	83	0.9203
3471e589-f7cc-41cd-badd-5768cf0e9866	1	37455082	39056953	927	0.549
3471e589-f7cc-41cd-badd-5768cf0e9866	1	39059529	39174072	55	0.8952
3471e589-f7cc-41cd-badd-5768cf0e9866	1	39177710	40555364	696	0.5205
3471e589-f7cc-41cd-badd-5768cf0e9866	1	40556404	40562538	4	-0.4083
3471e589-f7cc-41cd-badd-5768cf0e9866	1	40563254	42960541	1473	0.56
