GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	3301765	119984738	68143	-0.0234
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	119984772	154666350	2247	0.3669
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	154666779	154668663	2	-0.7971
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	154669653	158364779	2006	0.3678
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	158367845	158369116	4	-1.0657
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	158371483	185218711	17749	0.3824
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	185221515	185222945	2	-0.8857
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	185223162	204868236	11913	0.3701
52dbb525-a0ad-4dce-bb51-650f97510c6e	1	204872832	247650984	27730	0.3863
52dbb525-a0ad-4dce-bb51-650f97510c6e	2	480597	77600946	45633	-0.0087
52dbb525-a0ad-4dce-bb51-650f97510c6e	2	77600960	77606619	2	-1.7929
52dbb525-a0ad-4dce-bb51-650f97510c6e	2	77609672	85105322	3884	-0.0177
52dbb525-a0ad-4dce-bb51-650f97510c6e	2	85105337	85106283	2	-1.4989
52dbb525-a0ad-4dce-bb51-650f97510c6e	2	85106853	241537572	82717	-0.0114
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	2170634	30021747	16580	-0.0181
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	30026239	30029954	7	-0.6158
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	30033383	42183956	7404	-0.0205
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	42186337	53406068	5387	-0.1268
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	53407349	70284158	11135	-0.1032
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	70284434	80256491	5840	-0.1227
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	80258789	80826528	320	0.0513
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	80828815	88629500	3782	-0.1273
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	88630614	192382338	54567	-0.0183
52dbb525-a0ad-4dce-bb51-650f97510c6e	3	192382475	197812401	2175	-0.116
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	1059384	47178196	27860	-0.0248
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	47178395	47184328	4	-0.9175
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	47186049	47594153	239	-0.0732
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	47595297	129641720	44199	-0.0281
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	129643433	136806804	3212	-0.0529
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	136807763	136807787	2	-1.8683
52dbb525-a0ad-4dce-bb51-650f97510c6e	4	136808967	187842528	28003	-0.0269
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	913983	17165302	10718	0.0228
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	17168590	56628706	19052	0.0026
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	56630667	56634517	5	-1.5199
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	56636950	57116543	311	-0.0213
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	57117134	61574303	2735	0.0361
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	61575183	97534737	19229	0.0037
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	97537987	97707887	102	0.4818
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	97898076	98279403	199	0.0071
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	98279545	98485748	114	0.4836
52dbb525-a0ad-4dce-bb51-650f97510c6e	5	98488918	180934240	48675	0.0069
52dbb525-a0ad-4dce-bb51-650f97510c6e	6	1011760	24925727	16956	0.0088
52dbb525-a0ad-4dce-bb51-650f97510c6e	6	24926298	36745486	4416	-0.0258
