GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	3301765	8157027	3115	0.0977
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	8157417	10488805	1066	0.02
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	10489323	24412352	7630	0.0864
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	24412572	24990737	320	0.3374
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	24991704	28830148	1472	0.2886
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	28830182	30517356	1089	0.3626
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	30519082	31022066	268	0.5897
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	31029510	32564860	667	0.2926
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	32565141	34951159	1463	0.3593
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	34952371	46139697	5887	0.3104
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	46139784	46272479	47	0.5807
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	46280492	50369934	2296	0.3456
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	50373197	53064299	1153	0.2907
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	53064351	53522154	325	0.3623
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	53522407	53732533	178	0.6044
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	53732645	58854872	3816	0.357
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	58856073	59226319	312	0.4526
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	59227798	59380896	90	0.3015
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	59383290	59604984	103	0.0563
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	59609205	71640108	7946	0.338
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	71644484	74994780	1777	0.2899
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	75000726	150086810	27220	0.332
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	150090787	151524424	498	0.2248
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	151524664	153634756	1218	0.3435
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	153640641	155729327	938	0.2765
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	155734641	160040361	2617	0.3413
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	160042338	161047766	652	0.2629
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	161049008	162711642	1017	0.334
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	162713250	165452391	2158	0.3621
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	165452405	170153484	3532	0.3194
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	170157477	170157600	3	-0.5783
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	170159272	176540952	3588	0.3147
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	176541594	178528114	1279	0.3646
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	178530228	188670882	6664	0.3151
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	188673775	189143053	261	0.5585
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	189150554	200558446	6592	0.2981
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	200558626	205053886	3010	0.3374
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	205054884	207888540	1598	0.2914
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	207890160	210425493	1985	0.343
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	210446867	211089492	505	-0.5503
d204c18a-05e0-46d3-a340-51ba48ea31a7	1	211099434	247650984	23457	0.3172
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	480597	20042797	12924	0.1993
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	20044636	20455188	253	0.4563
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	20464944	59569352	21953	0.1989
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	59572111	61621000	1244	0.1446
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	61621113	61622112	2	-1.1221
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	61624907	65566762	1973	0.1548
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	65566980	69131344	2463	0.2026
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	69133158	70302340	684	0.1109
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	70303454	70696722	312	0.1709
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	70697164	70708468	10	0.4401
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	70709729	70716884	7	-0.992
d204c18a-05e0-46d3-a340-51ba48ea31a7	2	70717360	70955770	149	-0.1452
