GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	3301765	9160512	3630	-0.2012
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	9163101	9520860	147	0.2034
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	9524383	10687254	520	0.5473
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	10697142	11660985	489	0.9526
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	11661725	12774437	589	0.5416
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	13468357	15816465	1694	-0.2245
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	15820537	16443040	235	0.225
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	16445151	23231303	3916	-0.2141
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	23233507	25919915	1261	0.4608
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	25921751	35367528	4761	-0.2069
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	35372578	35524546	80	1.3293
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	35524866	39150960	1981	1.4514
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	39151408	39447778	137	1.2685
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	39448480	40573377	516	1.1265
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	40574086	41094098	275	0.991
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	41097393	42551686	930	0.8833
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	42554581	44169804	954	1.0004
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	44170809	44171718	2	-1.3058
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	44181708	44837025	366	0.9978
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	44837700	44839110	8	0.4313
eaa038ef-a98e-4cae-a8b2-11d6afd9991c	1	44839438	45201209	173	0.946
