GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	3301765	10464058	4172	0.1166
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	10471562	11484264	534	0.4956
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	11487350	12279303	406	0.0515
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	12279562	15544008	1851	0.1387
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	15544659	24959660	5143	0.0992
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	24965969	27570236	994	0.0538
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	27576831	28503188	398	-0.5383
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	28503390	31565683	1729	0.115
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	31566071	32506498	379	0.4599
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	32507670	33221719	292	0.1091
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	33223961	33266210	25	0.5624
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	33267767	37202106	2322	0.1213
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	37214275	37374921	111	0.5536
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	37375479	48675648	6131	0.1163
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	48679842	48957945	228	0.533
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	48962631	51120319	855	0.1939
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	51124054	55324117	2351	0.1401
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	55325188	57578631	1857	0.2131
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	57583187	58836154	1000	0.5529
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	58837504	59093840	205	0.7903
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	59098369	59343616	188	0.5279
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	59350425	64279309	3309	0.1866
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	64279310	77485615	8167	0.1554
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	77485645	80526362	1627	0.1838
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	80526510	82641759	1334	0.2359
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	82643188	88349701	3769	0.1693
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	88350172	88416155	44	0.5916
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	88419567	108819177	11786	0.1627
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	108822074	109344598	223	0.1489
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	109347636	111905486	1651	0.1066
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	111905671	149906351	5078	0.158
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	149907993	151645489	644	0.0778
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	151650510	153566296	1132	0.165
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	153567844	156874278	1475	0.0706
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	156877337	159914319	2034	0.1456
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	159915004	161476341	895	0.0817
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	161686708	162481911	679	0.1362
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	162482005	166687389	3272	0.1947
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	166687705	167410307	517	0.115
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	167413575	168520358	761	0.0451
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	168520609	176329992	4772	0.1208
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	176341361	179469946	2072	0.1827
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	179470495	180333333	521	0.5261
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	180340050	180614884	170	0.8444
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	180615087	180832615	124	0.5751
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	180834410	183612963	1956	0.8114
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	183620032	184740448	780	0.5648
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	184746073	185621346	491	0.466
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	185621504	186141556	303	0.5557
40e41ce7-8a6b-440d-be49-8502f20b1c96	1	186141945	198513078	7180	0.1659
