GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	62920	3280916	728	-0.0804
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	3281183	16643961	7946	0.0001
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16679239	16689764	6	-0.2309
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16718963	16721910	5	-0.9461
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16721984	16884157	21	-0.0657
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16886219	16919035	22	-0.5196
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16919514	16926919	10	-1.1889
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16927043	16935752	17	-0.5262
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	16949746	34626073	10239	-0.0032
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	34637053	34648667	21	-0.6743
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	34649941	72303253	23768	0.0049
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	72305460	72345465	44	1.4004
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	72346221	105470754	20960	0.0095
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	105476583	105479738	16	0.5652
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	105479753	109679105	2636	0.0048
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	109684695	109697556	15	0.9037
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	109702376	112153931	1958	-0.0002
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	112153950	112154768	16	0.5639
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	112163334	120006974	5043	0.0074
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	120010731	120064540	3	-1.5957
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	120089042	143494500	116	0.0503
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	143541857	143734438	95	-0.7144
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	143748012	143754192	18	0.4793
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	143754798	152583230	2328	0.0207
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	152583291	152614100	33	0.4927
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	152614118	152787202	168	0.0372
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	152789447	152796224	37	0.6626
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	152801429	158896783	3614	0.0088
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	158898711	158899969	2	1.5541
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	158905028	196758720	25859	0.0085
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	196761905	196843377	58	-0.3952
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	196843400	206050479	6045	0.0044
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	206053799	206058126	3	-1.0546
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	206061689	212831113	4694	0.0004
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	212831670	212832002	5	-1.31
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	212833055	248646068	24941	0.0036
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	248661836	248661962	2	-2.0576
81f52010-8cce-4180-9cff-0e0bc4653d8b	1	248662519	248930189	136	-0.0415
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	12784	34466002	24088	0.0006
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	34474248	34511990	46	-2.0955
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	34512096	40763522	4623	0.0078
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	40763612	40764298	2	1.8224
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	40764666	52527330	8382	0.0167
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	52527342	52554404	39	0.5369
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	52560811	87286164	22056	0.0095
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	87287256	87295819	3	-1.4965
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	87299357	87516129	35	0.0096
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	87516162	87528459	7	-1.1607
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	87542032	97359885	1754	-0.0084
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	97524284	97537802	5	-0.7936
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	97540809	97545247	3	-2.2615
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	97545726	146104517	29405	0.0061
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	146106836	146109366	24	-1.9658
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	146120238	183929124	23284	0.0042
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	183929673	183937714	17	-0.6326
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	183943862	231346600	29073	0.0052
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	231350413	231559046	95	-0.1958
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	231559116	236894723	3535	-0.0002
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	236894890	236895291	4	-1.156
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	236895339	237280175	292	-0.003
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	237281890	237284027	3	-1.2645
81f52010-8cce-4180-9cff-0e0bc4653d8b	2	237285479	242147305	2770	-0.0083
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	20930	179751	153	0.0309
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	182919	191117	5	-0.9884
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	193194	5840699	4969	0.0097
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	5841339	5845961	2	-1.6697
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	5846834	6604856	691	0.0388
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	6609441	6611645	23	-0.7573
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	6613391	26559609	14169	0.0042
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	26560269	26570407	10	-0.6261
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	26570470	26570675	6	0.5121
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	26571710	47358421	13447	0.0046
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	47358841	47363961	3	-1.6601
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	47367722	47437019	26	-0.1047
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	47450332	47451230	2	-2.5749
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	47455724	75519398	19239	0.008
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	75523398	75537120	5	-1.9462
81f52010-8cce-4180-9cff-0e0bc4653d8b	3	75537654	198169247	71987	0.0062
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	68929	10212536	5707	-0.0175
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	10221792	10233644	35	0.6932
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	10234518	10396694	174	-0.0237
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	10396835	10399044	13	-0.7004
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	10401094	19590930	6873	0.0068
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	19591732	19592932	2	-1.363
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	19593692	34777432	9916	0.0027
81f52010-8cce-4180-9cff-0e0bc4653d8b	4	34784878	34822561	37	0.5698
