GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	62920	82315	6	-0.5282
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	82650	2084400	347	0.2109
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	2092625	3225052	355	0.0486
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	3226231	13508515	5868	0.216
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	13509236	13509249	2	-1.4462
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	13511134	15823420	1754	0.2004
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	15827002	15827430	6	-2.204
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	15827706	16627800	315	0.2155
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16636774	16641879	9	0.9653
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16641978	16718963	15	0.2555
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16719082	16721984	5	-0.3201
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16766762	16863509	15	0.3517
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16864367	16884157	5	-1.2859
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16886219	16920587	25	-0.1568
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16921178	16927043	8	-0.9503
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	16930822	25256850	5276	0.2029
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	25266637	25320198	22	-2.1217
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	25320253	27331236	841	0.2084
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	27333474	27357905	10	1.1656
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	27359572	30265508	1540	0.2096
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	30265585	30266452	4	-2.2327
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	30266949	32459415	1200	0.1903
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	32474851	34154046	996	1.2392
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	34156185	37322132	1813	0.87
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	37323098	37375479	29	1.1966
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	37379639	41280298	2113	1.3931
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	41281738	42950543	1079	1.1179
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	42951328	49749832	3855	0.6977
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	49754101	49842884	30	1.3562
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	49843395	53474582	1789	0.6799
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	53476910	55244013	1159	0.7495
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	55246407	62806880	5768	0.6899
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	62810083	62833307	23	1.2548
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	62847648	67402376	3448	0.6953
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	67407098	72293529	3042	0.2887
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	72293826	72345465	53	1.4363
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	72346221	75585159	1932	0.2873
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	75589078	75589169	2	1.9484
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	75593824	76624902	790	0.2927
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	76625090	76633109	11	-0.5386
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	76636190	79197008	1572	0.2929
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	79202141	79680274	289	0.8252
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	79681266	87284645	5117	0.2998
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	87286112	88523474	929	0.8829
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	88526422	90296151	1066	0.3763
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	90296387	90443702	129	0.8895
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	90447757	96337063	3753	-0.3893
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	96337221	105470754	5359	-0.5502
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	105476583	105478759	8	0.5853
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	105479005	110761532	3417	-0.5358
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	110764065	110833598	71	-0.3315
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	110834746	110845604	39	-2.4339
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	110849445	112147704	1070	-0.5249
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	112153343	112154754	24	0.3831
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	112154768	121113917	5069	-0.5469
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	121135839	143494500	90	0.3494
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	143541857	152583051	2440	0.8283
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	152583230	152614118	35	-1.7919
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	152618018	152782154	160	0.8261
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	152783832	152801429	45	0.3633
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	152804279	153530118	553	0.8301
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	153531301	153634756	37	1.3876
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	153640641	164770862	7116	0.8004
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	164771168	164803503	17	1.3135
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	164803710	172031886	5483	0.7884
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	172035351	172050443	10	1.4704
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	172055388	173059742	664	0.7986
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	173063314	183923131	7162	0.2999
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	183926044	183939989	11	0.9738
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	183941026	189679027	3682	0.2919
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	189679353	189679397	2	-2.0089
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	189682917	196762956	4740	0.274
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	196769493	196846661	57	-0.2314
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	196847600	201475570	3021	0.2951
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	201484180	201494312	23	0.8361
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	201494710	202903925	855	0.3268
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	202907135	203627190	471	0.8346
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	203630064	205915619	1623	-0.4969
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	205915856	206057416	49	-3.9223
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	206058126	213651067	5170	-0.5425
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	213657249	213657482	2	-3.0276
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	213657558	219290802	4102	-0.5434
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	219291757	219292068	2	-3.0029
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	219292751	220763897	994	-0.5471
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	220764449	220768576	7	-1.3734
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	220770239	222193326	1048	-0.5609
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	222201492	222203662	2	-2.9962
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	222208792	224292697	1183	-0.5388
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	224294514	224488410	114	0.2945
400e0133-bdd9-42b7-85cb-e486303ab5b2	1	224488895	246372857	15577	-0.5194
