GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
14a2fd18-4364-461b-8d99-e522adf22b9f	1	62920	969227	67	-0.0119
14a2fd18-4364-461b-8d99-e522adf22b9f	1	983193	3305057	677	0.1772
14a2fd18-4364-461b-8d99-e522adf22b9f	1	3305549	16864367	7965	0.0208
14a2fd18-4364-461b-8d99-e522adf22b9f	1	16868660	16934753	47	-0.4778
14a2fd18-4364-461b-8d99-e522adf22b9f	1	16934768	25256800	5269	0.0274
14a2fd18-4364-461b-8d99-e522adf22b9f	1	25256850	25320455	25	0.682
14a2fd18-4364-461b-8d99-e522adf22b9f	1	25336819	56029448	17135	0.0276
14a2fd18-4364-461b-8d99-e522adf22b9f	1	56029695	56030972	3	-1.1953
14a2fd18-4364-461b-8d99-e522adf22b9f	1	56033778	72297687	11608	0.0133
14a2fd18-4364-461b-8d99-e522adf22b9f	1	72302735	72345450	47	0.8516
14a2fd18-4364-461b-8d99-e522adf22b9f	1	72345465	81421910	5780	0.0129
14a2fd18-4364-461b-8d99-e522adf22b9f	1	81422771	81422917	2	1.4208
14a2fd18-4364-461b-8d99-e522adf22b9f	1	81422920	81423039	5	-1.5568
14a2fd18-4364-461b-8d99-e522adf22b9f	1	81423183	105470754	15176	0.0162
14a2fd18-4364-461b-8d99-e522adf22b9f	1	105476583	105479753	17	-0.6434
14a2fd18-4364-461b-8d99-e522adf22b9f	1	105481433	108187137	1940	0.0129
14a2fd18-4364-461b-8d99-e522adf22b9f	1	108191613	108196482	4	-1.0412
14a2fd18-4364-461b-8d99-e522adf22b9f	1	108196549	109684893	693	0.0172
14a2fd18-4364-461b-8d99-e522adf22b9f	1	109690352	109697556	13	2.3086
14a2fd18-4364-461b-8d99-e522adf22b9f	1	109702376	112153571	1953	0.0167
14a2fd18-4364-461b-8d99-e522adf22b9f	1	112153651	112154566	17	0.6968
14a2fd18-4364-461b-8d99-e522adf22b9f	1	112154576	152598693	7624	0.0239
14a2fd18-4364-461b-8d99-e522adf22b9f	1	152598884	152614118	23	0.6987
