GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
98222c87-7d89-4efc-9444-a2c39c04aa4d	1	3301765	247650984	129604	0.0025
98222c87-7d89-4efc-9444-a2c39c04aa4d	2	480597	241537572	132082	-0.0028
98222c87-7d89-4efc-9444-a2c39c04aa4d	3	2170634	106883219	58213	-0.0052
98222c87-7d89-4efc-9444-a2c39c04aa4d	3	106883365	106887239	2	-3.1977
98222c87-7d89-4efc-9444-a2c39c04aa4d	3	106887507	197812401	48879	-0.0002
98222c87-7d89-4efc-9444-a2c39c04aa4d	4	1059384	187842528	103391	-0.001
98222c87-7d89-4efc-9444-a2c39c04aa4d	5	913983	18405635	11319	0.0082
98222c87-7d89-4efc-9444-a2c39c04aa4d	5	18406459	18411467	3	2.5454
98222c87-7d89-4efc-9444-a2c39c04aa4d	5	18414442	124091221	55034	-0.0038
98222c87-7d89-4efc-9444-a2c39c04aa4d	5	124094211	124094532	2	3.1022
98222c87-7d89-4efc-9444-a2c39c04aa4d	5	124100098	180934240	34661	0.0014
98222c87-7d89-4efc-9444-a2c39c04aa4d	6	1011760	170596889	97069	0.0018
98222c87-7d89-4efc-9444-a2c39c04aa4d	7	664936	128272905	65686	-0.0024
98222c87-7d89-4efc-9444-a2c39c04aa4d	7	128273038	128273818	3	2.6184
98222c87-7d89-4efc-9444-a2c39c04aa4d	7	128274289	158592540	16167	0.0057
98222c87-7d89-4efc-9444-a2c39c04aa4d	8	667625	144182542	82146	-0.0006
98222c87-7d89-4efc-9444-a2c39c04aa4d	9	789794	138044505	68404	0.0011
98222c87-7d89-4efc-9444-a2c39c04aa4d	10	366509	133411599	81202	0.0016
98222c87-7d89-4efc-9444-a2c39c04aa4d	11	456012	134272740	77483	0.0019
98222c87-7d89-4efc-9444-a2c39c04aa4d	12	780472	132605822	74263	-0.0013
98222c87-7d89-4efc-9444-a2c39c04aa4d	13	18874255	114226675	56928	0.0015
98222c87-7d89-4efc-9444-a2c39c04aa4d	14	20033191	49850568	15351	-0.0013
98222c87-7d89-4efc-9444-a2c39c04aa4d	14	49855436	49857721	2	3.0867
98222c87-7d89-4efc-9444-a2c39c04aa4d	14	49858631	105533894	34381	0.0056
98222c87-7d89-4efc-9444-a2c39c04aa4d	15	23437561	88631517	36963	0.0054
98222c87-7d89-4efc-9444-a2c39c04aa4d	15	88633387	88633764	2	2.9221
98222c87-7d89-4efc-9444-a2c39c04aa4d	15	88635552	101344124	7780	0.0102
98222c87-7d89-4efc-9444-a2c39c04aa4d	16	603333	88459366	41128	0.0017
98222c87-7d89-4efc-9444-a2c39c04aa4d	16	88459423	88459876	2	4.9079
98222c87-7d89-4efc-9444-a2c39c04aa4d	16	89234014	89317317	36	0.0116
98222c87-7d89-4efc-9444-a2c39c04aa4d	17	1074619	82959812	37234	0.0026
98222c87-7d89-4efc-9444-a2c39c04aa4d	18	326691	79349796	42919	0.002
98222c87-7d89-4efc-9444-a2c39c04aa4d	19	283868	58370362	24131	-0.0091
98222c87-7d89-4efc-9444-a2c39c04aa4d	20	472817	63588502	37515	0.0049
98222c87-7d89-4efc-9444-a2c39c04aa4d	21	13974127	46262057	20581	0.0067
98222c87-7d89-4efc-9444-a2c39c04aa4d	22	16934932	48940621	17076	0.0055
98222c87-7d89-4efc-9444-a2c39c04aa4d	X	3236359	155677414	63930	0.002
