GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a95e2235-b149-4930-ba1c-e18c454d03fd	1	62920	259926	16	-1.0989
a95e2235-b149-4930-ba1c-e18c454d03fd	1	266187	965731	48	0.8857
a95e2235-b149-4930-ba1c-e18c454d03fd	1	968658	1307153	104	1.3608
a95e2235-b149-4930-ba1c-e18c454d03fd	1	1317742	3301765	563	0.9539
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3302046	3408473	70	0.3036
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3409529	3409606	2	2.465
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3410232	3782383	170	0.2537
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3782627	3860818	62	0.6588
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3864478	3876237	7	1.6546
a95e2235-b149-4930-ba1c-e18c454d03fd	1	3876402	4625850	616	0.6721
a95e2235-b149-4930-ba1c-e18c454d03fd	1	4627222	5038979	394	0.4292
a95e2235-b149-4930-ba1c-e18c454d03fd	1	5041876	5068342	12	-0.3109
a95e2235-b149-4930-ba1c-e18c454d03fd	1	5069166	5403877	252	0.5146
a95e2235-b149-4930-ba1c-e18c454d03fd	1	5407019	5996669	484	1.0021
a95e2235-b149-4930-ba1c-e18c454d03fd	1	5997665	6369565	160	0.7739
a95e2235-b149-4930-ba1c-e18c454d03fd	1	6373069	6389578	7	1.9057
a95e2235-b149-4930-ba1c-e18c454d03fd	1	6394399	6653054	103	0.716
a95e2235-b149-4930-ba1c-e18c454d03fd	1	6653222	8070927	928	0.9949
a95e2235-b149-4930-ba1c-e18c454d03fd	1	8075171	9266599	644	0.4082
a95e2235-b149-4930-ba1c-e18c454d03fd	1	9267354	9328019	47	0.9968
a95e2235-b149-4930-ba1c-e18c454d03fd	1	9328595	9713660	179	0.3372
a95e2235-b149-4930-ba1c-e18c454d03fd	1	9714660	9726559	6	1.5207
a95e2235-b149-4930-ba1c-e18c454d03fd	1	9729792	10030667	123	0.356
a95e2235-b149-4930-ba1c-e18c454d03fd	1	10031603	10046717	7	1.584
a95e2235-b149-4930-ba1c-e18c454d03fd	1	10047407	10626806	340	0.4491
a95e2235-b149-4930-ba1c-e18c454d03fd	1	10627669	11070586	205	0.261
a95e2235-b149-4930-ba1c-e18c454d03fd	1	11071400	11400069	173	0.4361
a95e2235-b149-4930-ba1c-e18c454d03fd	1	11401544	12302740	483	0.2945
a95e2235-b149-4930-ba1c-e18c454d03fd	1	12303674	12832455	283	0.4661
a95e2235-b149-4930-ba1c-e18c454d03fd	1	12850124	13323538	15	1.1787
a95e2235-b149-4930-ba1c-e18c454d03fd	1	13326062	15694007	1730	0.4529
a95e2235-b149-4930-ba1c-e18c454d03fd	1	15702243	15753676	22	1.0757
a95e2235-b149-4930-ba1c-e18c454d03fd	1	15761329	15822508	45	0.3277
a95e2235-b149-4930-ba1c-e18c454d03fd	1	15822572	15827430	10	2.2699
a95e2235-b149-4930-ba1c-e18c454d03fd	1	15827706	15850269	11	0.9181
a95e2235-b149-4930-ba1c-e18c454d03fd	1	15854897	16018760	76	0.3183
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16041638	16063907	8	1.6792
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16071582	16213595	72	0.7504
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16223356	16266874	20	1.2795
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16268499	16303531	23	0.8144
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16304450	16470247	71	0.2938
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16471261	16504325	15	1.1646
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16505368	16909725	81	0.3687
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16909775	16993283	51	1.0799
a95e2235-b149-4930-ba1c-e18c454d03fd	1	16997950	17202816	162	0.3665
a95e2235-b149-4930-ba1c-e18c454d03fd	1	17205087	17215454	7	1.6063
a95e2235-b149-4930-ba1c-e18c454d03fd	1	17215953	17265184	45	0.4042
a95e2235-b149-4930-ba1c-e18c454d03fd	1	17266821	17296159	25	0.8715
a95e2235-b149-4930-ba1c-e18c454d03fd	1	17296370	19045592	1268	0.3531
a95e2235-b149-4930-ba1c-e18c454d03fd	1	19047094	19050000	7	1.2201
a95e2235-b149-4930-ba1c-e18c454d03fd	1	19053353	21295043	1389	0.3564
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21295676	21313902	13	1.1607
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21314008	21358903	32	0.2632
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21358952	21411250	36	0.791
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21416244	21820584	237	0.3008
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21820786	21837671	6	1.5248
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21838233	21971792	79	0.2035
a95e2235-b149-4930-ba1c-e18c454d03fd	1	21974705	22108654	72	0.7679
a95e2235-b149-4930-ba1c-e18c454d03fd	1	22109230	22182306	44	0.3209
a95e2235-b149-4930-ba1c-e18c454d03fd	1	22182429	22187743	4	1.5346
a95e2235-b149-4930-ba1c-e18c454d03fd	1	22188162	22327057	120	0.3265
a95e2235-b149-4930-ba1c-e18c454d03fd	1	22327382	22329911	2	1.9554
a95e2235-b149-4930-ba1c-e18c454d03fd	1	22332234	23808306	848	0.3632
a95e2235-b149-4930-ba1c-e18c454d03fd	1	23808684	23821015	6	1.1698
a95e2235-b149-4930-ba1c-e18c454d03fd	1	23822498	24192688	133	0.3486
a95e2235-b149-4930-ba1c-e18c454d03fd	1	24194093	25086975	567	-0.0074
a95e2235-b149-4930-ba1c-e18c454d03fd	1	25088630	25133246	51	0.6004
a95e2235-b149-4930-ba1c-e18c454d03fd	1	25133261	25205993	54	0.0409
a95e2235-b149-4930-ba1c-e18c454d03fd	1	25209597	25361053	56	0.7543
a95e2235-b149-4930-ba1c-e18c454d03fd	1	25361096	26477986	527	-0.002
a95e2235-b149-4930-ba1c-e18c454d03fd	1	26479092	26507368	11	0.6653
a95e2235-b149-4930-ba1c-e18c454d03fd	1	26510030	27020298	168	-0.0413
a95e2235-b149-4930-ba1c-e18c454d03fd	1	27022452	27072223	21	0.6178
a95e2235-b149-4930-ba1c-e18c454d03fd	1	27072293	27384554	114	-0.0827
a95e2235-b149-4930-ba1c-e18c454d03fd	1	27386428	28173829	350	0.3746
a95e2235-b149-4930-ba1c-e18c454d03fd	1	28176526	28182007	4	1.6979
a95e2235-b149-4930-ba1c-e18c454d03fd	1	28183294	29127347	348	0.3864
a95e2235-b149-4930-ba1c-e18c454d03fd	1	29127656	29135206	4	1.9002
a95e2235-b149-4930-ba1c-e18c454d03fd	1	29142998	30182365	730	0.3874
a95e2235-b149-4930-ba1c-e18c454d03fd	1	30182680	30192672	14	1.2052
a95e2235-b149-4930-ba1c-e18c454d03fd	1	30193293	30676802	423	0.4409
a95e2235-b149-4930-ba1c-e18c454d03fd	1	30676849	30691029	11	0.5808
a95e2235-b149-4930-ba1c-e18c454d03fd	1	30694462	30744519	41	1.1734
a95e2235-b149-4930-ba1c-e18c454d03fd	1	30744738	30940106	124	0.4563
