GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	62920	72776	4	-1.0738
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	82170	16864367	8687	0.1808
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	16868660	16935737	52	-0.3019
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	16935752	25256850	5254	0.1942
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	25266637	25320253	23	-0.2238
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	25320455	46402145	11434	0.1907
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	46403532	66668598	13722	0.1594
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	66671724	66828460	133	0.6718
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	66832151	71609678	2983	0.1391
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	71611848	71612901	3	-1.3087
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	71615847	72303233	414	0.1058
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	72303253	72354344	53	-0.5156
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	72356822	79508080	4459	0.1169
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	79508585	79509924	2	-1.5125
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	79510271	81232448	1141	0.099
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	81233585	81235057	3	-0.9643
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	81238791	82903475	1207	0.1296
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	82904520	83023589	71	0.6662
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	83023664	83350794	174	0.1189
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	83359894	83359907	2	-1.8545
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	83362590	83526065	77	0.2047
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	83526812	83543866	14	-0.8807
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	83550251	91727707	5520	0.149
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	91728105	91730095	2	-1.4288
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	91730496	100199137	5202	0.1367
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	100206015	100280610	38	0.6772
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	100284108	105478582	2996	0.1363
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	105478597	105482176	16	-0.4591
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	105486052	109684893	2631	0.1489
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	109690352	109696900	11	-0.7163
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	109697533	119575681	6696	0.1602
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	119579180	119579315	2	-1.2039
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	119579520	120002553	306	0.1158
8e634032-9206-4635-a1d9-faeaef6c3fbb	1	120006974	120144552	16	0.7758
