GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	62920	27464073	14923	-0.3747
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	27470015	29937655	1232	0.4201
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	29941204	30265687	275	-0.4332
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	30266452	30266949	3	-2.4106
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	30268649	34626073	2557	-0.3874
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	34637053	34638890	20	-1.0084
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	34648667	34818338	105	-0.3302
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	34823438	34867525	28	0.4457
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	34867977	35629065	330	0.6935
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	35629885	35655787	17	1.0586
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	35655984	35725190	28	0.7333
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	35731266	36092394	143	1.0668
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	36094020	37301247	757	1.7616
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	37301413	37536226	133	0.9133
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	37536399	37561835	22	1.3485
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	37565095	38059980	215	0.8901
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	38063209	38573219	350	2.001
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	38573497	38605187	31	1.674
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	38605484	38917494	209	1.3375
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	38919547	39517829	283	1.6605
05fd7ce0-b787-48fa-baa6-3bfe9647f4ec	1	39523579	39541341	10	0.9325
