GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	3301765	13800447	5603	0.1502
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	13801148	13801657	2	-1.279
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	13804133	34611740	11304	0.147
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	34613649	35224788	291	-0.4198
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	35225659	67467898	19627	0.1395
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	67468065	90448157	13821	0.0919
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	90448300	96412694	3629	0.1342
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	96413257	97137170	402	0.0799
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	97138058	97138158	3	-1.4217
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	97138481	112863268	9057	0.0949
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	112863281	113676539	467	0.1695
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	113676793	119984772	3949	0.098
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	146716041	158587235	4406	-0.4148
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	158588352	158659135	50	-0.4381
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	158660298	158665405	4	-1.1261
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	158665518	158683719	25	-0.4651
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	158684182	158685372	2	-1.8465
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	158685628	178639402	13157	-0.4427
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	178640221	185922253	4818	-0.4164
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	185923259	188735948	1796	-0.4854
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	188736626	188737539	2	-2.0535
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	188740318	198290201	5361	-0.5
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	198290550	199145262	522	-0.456
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	199145619	199146749	6	-1.046
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	199147429	200367818	827	-0.442
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	200372369	202202211	1188	-0.4016
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	202202897	202212001	6	-1.1512
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	202218832	204973826	1836	-0.4092
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	204974157	204974774	2	-1.7785
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	204975539	207898844	1691	-0.4148
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	207900856	217347058	6709	-0.4436
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	217347314	217347862	2	-2.0093
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	217349124	223774308	4114	-0.463
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	223776703	237306112	8681	-0.4318
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	1	237310856	247650984	6427	-0.4593
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	480597	5463493	2694	0.0018
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	5469223	13198041	5480	0.0584
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	13198065	22709231	6289	0.0245
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	22714259	33844159	5952	0.0843
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	33844562	41631628	4169	0.0539
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	41631953	49073095	4828	0.0835
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	49075933	59287994	5530	0.0245
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	59288191	71364474	7305	0.0751
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	71364852	72568804	634	0.0456
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	72568913	73306492	297	0.4507
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	73312475	73312699	2	-0.4758
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	73314705	75552881	1271	0.4479
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	75553559	77214001	945	0.0447
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	77214142	77461451	144	0.4356
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	77462673	80589675	1578	0.0096
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	80590024	80892409	165	0.3671
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	80893426	83610285	1383	0.0211
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	83611339	88831554	2138	0.4321
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	94675825	109524935	7863	0.0511
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	109525639	115204387	2370	0.1003
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	115206430	143376345	14534	0.0539
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	143378250	146707627	1767	-0.0026
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	146708068	148388624	839	0.0563
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	148389339	148425907	15	-0.5027
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	148429874	154382623	3731	0.0775
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	154382727	154412156	24	0.5089
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	154415877	161048733	3828	0.081
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	161049079	165476504	2379	0.0311
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	165479498	167605163	1243	0.066
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	167608347	167627797	15	0.429
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	167631878	168202685	406	0.0569
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	168203001	179665598	7239	0.0978
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	179665985	190836620	5640	0.0608
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	190836729	191171686	211	0.4607
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	191171913	191323855	122	0.8948
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	191326087	191331353	2	0.3452
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	191333203	194358816	1336	-0.4932
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	194362633	194381337	8	0.0647
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	194381765	194576294	98	-0.5466
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	194583464	194854741	101	0.0302
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	195351205	211684551	9462	-0.4757
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	211684688	211998710	155	0.0639
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	212005976	223884671	7552	-0.4654
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	223885668	230631833	4108	-0.5035
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	230635051	239125955	4998	-0.473
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	239126885	239716850	377	0.0135
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	239720777	239828514	90	-0.4966
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	2	239831085	241537572	924	0.0459
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	2170634	46553570	26611	0.389
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	46558079	74107994	16638	0.4092
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	74108295	79048615	2469	0.3842
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	79049262	97316213	7237	0.3565
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	97318159	115500205	10108	0.4008
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	115500400	116015403	347	0.6942
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	116016969	122980493	4136	0.3821
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	122981406	125773560	1782	0.437
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	125779509	137936746	6887	0.3967
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	137936761	167808595	15261	0.8767
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	167808641	172263915	2509	0.9219
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	3	172266971	197812401	13254	0.8836
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	1059384	1777069	225	0.4514
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	1777074	1822756	19	1.2325
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	1825246	2503879	283	1.5468
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	2510289	3072592	242	1.2921
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	3077911	3181546	65	0.966
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	3184047	5156957	1050	0.0741
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	5157525	5157927	2	-1.644
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	5159044	9771672	2516	0.0489
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	9774405	15562415	4402	-0.0024
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	15562912	28110019	8244	0.0425
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	28110380	29314452	782	-0.0132
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	29316617	29316627	2	-1.7334
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	29316643	35276405	3379	-0.0154
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	35277602	37406124	1370	0.0272
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	37406471	42494793	3100	0.0815
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	42495902	54737326	4712	0.0057
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	54737343	57067925	1362	0.0525
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	57068453	59202711	1292	0.0123
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	59204755	69500154	5015	-0.035
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	69500772	75568153	3466	0.0157
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	75569396	81587698	3633	0.0498
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	81590784	81593972	4	-0.7527
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	81594526	84949130	2060	0.0675
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	84949472	108610168	13259	0.0109
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	108613448	111857868	1901	0.0484
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	111862194	111864190	2	1.0932
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	111866267	113321448	870	0.0611
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	113322410	129869373	9175	0.0187
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	129870375	136084906	2713	-0.0246
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	136085752	138178347	1209	0.0137
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	138179218	142363302	2759	0.048
bbfeaa5c-22e3-4948-bcb9-db40a8e1f737	4	142367641	142367740	2	-1.4398
