GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	1	3301765	55926337	28408	0.0103
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	1	55930964	108002444	32387	0.0286
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	1	108025998	149913375	7303	0.0143
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	1	149914031	156348599	3000	0.477
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	1	156351363	247650984	58616	0.5201
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	2	480597	10000867	5913	0.0199
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	2	10001063	10019955	2	1.5963
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	2	10020702	128880353	62034	0.0186
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	2	128880504	128888874	2	-1.6667
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	2	128888929	241537572	64164	0.0216
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	3	2170634	91462299	51246	0.0191
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	3	94015345	197812401	55894	0.4084
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	4	1059384	187842528	103319	-0.2354
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	914118	127535892	68469	0.0222
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	127538856	127856013	185	0.2129
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	127856545	128872107	611	0.0435
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	128872175	129259214	210	-0.2312
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	129259302	129612523	202	0.2495
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	129620725	129975829	223	-0.244
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	129981859	130040499	33	0.0013
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	130041137	130330700	155	0.2918
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	130331351	131255187	438	0.0415
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	5	131255435	180934240	30485	-0.2449
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	6	1011760	24609681	16749	0.0224
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	6	24610881	44444875	9596	-0.001
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	6	44449251	106126477	32365	0.0248
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	6	106127887	106129111	2	-1.5541
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	6	106129213	170596889	38390	0.0227
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	7	664936	158592540	81904	0.1122
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	8	667625	13067055	5549	-0.0846
35d22d6b-6b95-48bc-bc2f-fe4495ff188e	8	13068539	17168260	2921	-0.3612
