GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
65261a78-78b6-4276-be43-f7e7ef91829d	1	3301765	48307806	24263	-0.0392
65261a78-78b6-4276-be43-f7e7ef91829d	1	48308566	52997944	2139	-0.089
65261a78-78b6-4276-be43-f7e7ef91829d	1	52998312	53906451	658	0.0546
65261a78-78b6-4276-be43-f7e7ef91829d	1	53908447	56210031	1550	-0.0469
65261a78-78b6-4276-be43-f7e7ef91829d	1	56211274	72676364	11156	-0.0878
65261a78-78b6-4276-be43-f7e7ef91829d	1	72676494	76063650	1917	-0.0294
65261a78-78b6-4276-be43-f7e7ef91829d	1	76064624	76064942	2	-2.4327
65261a78-78b6-4276-be43-f7e7ef91829d	1	76065197	79228331	1770	-0.0816
65261a78-78b6-4276-be43-f7e7ef91829d	1	79228623	87438777	5249	-0.0222
65261a78-78b6-4276-be43-f7e7ef91829d	1	87439125	94698773	4425	-0.0598
65261a78-78b6-4276-be43-f7e7ef91829d	1	94700906	98381470	2205	0.2784
65261a78-78b6-4276-be43-f7e7ef91829d	1	98382785	99880269	1011	0.3255
65261a78-78b6-4276-be43-f7e7ef91829d	1	99880419	104329708	2350	0.2558
65261a78-78b6-4276-be43-f7e7ef91829d	1	104331800	106842889	1330	0.3497
65261a78-78b6-4276-be43-f7e7ef91829d	1	106845271	106845549	4	1.0914
65261a78-78b6-4276-be43-f7e7ef91829d	1	106845721	110495270	2058	0.3514
65261a78-78b6-4276-be43-f7e7ef91829d	1	110495470	167173585	16580	0.3035
65261a78-78b6-4276-be43-f7e7ef91829d	1	167174659	180479646	8341	0.2791
65261a78-78b6-4276-be43-f7e7ef91829d	1	180481085	180593408	80	0.53
65261a78-78b6-4276-be43-f7e7ef91829d	1	180593603	191178479	6607	0.2887
65261a78-78b6-4276-be43-f7e7ef91829d	1	191182790	192615665	828	0.2559
65261a78-78b6-4276-be43-f7e7ef91829d	1	192617179	192617726	4	0.9707
65261a78-78b6-4276-be43-f7e7ef91829d	1	192618733	199619964	4109	0.2615
65261a78-78b6-4276-be43-f7e7ef91829d	1	199622911	200805955	754	0.2903
65261a78-78b6-4276-be43-f7e7ef91829d	1	200811577	207017603	3926	0.3277
65261a78-78b6-4276-be43-f7e7ef91829d	1	207017819	207766193	459	0.2648
65261a78-78b6-4276-be43-f7e7ef91829d	1	207769292	215942723	5728	0.306
65261a78-78b6-4276-be43-f7e7ef91829d	1	215943923	223252951	4869	0.2806
65261a78-78b6-4276-be43-f7e7ef91829d	1	223254720	230548430	4240	0.317
65261a78-78b6-4276-be43-f7e7ef91829d	1	230548526	245421712	10306	0.2928
65261a78-78b6-4276-be43-f7e7ef91829d	1	245421774	247650984	891	0.316
65261a78-78b6-4276-be43-f7e7ef91829d	2	480597	11796672	7143	0.0252
65261a78-78b6-4276-be43-f7e7ef91829d	2	11797695	134496871	63436	-0.0058
65261a78-78b6-4276-be43-f7e7ef91829d	2	134498010	171518947	21376	-0.0607
65261a78-78b6-4276-be43-f7e7ef91829d	2	171520275	171521535	3	-1.1374
65261a78-78b6-4276-be43-f7e7ef91829d	2	171524925	198036840	14039	-0.0595
65261a78-78b6-4276-be43-f7e7ef91829d	2	198037140	212375595	8414	-0.0199
65261a78-78b6-4276-be43-f7e7ef91829d	2	212375903	223244182	6905	-0.0523
65261a78-78b6-4276-be43-f7e7ef91829d	2	223246646	226001245	1780	0.261
65261a78-78b6-4276-be43-f7e7ef91829d	2	226010628	226347708	217	0.7018
65261a78-78b6-4276-be43-f7e7ef91829d	2	226350063	227320988	607	0.2721
65261a78-78b6-4276-be43-f7e7ef91829d	2	227326486	227361683	26	0.0067
65261a78-78b6-4276-be43-f7e7ef91829d	2	227365993	227368837	4	-1.1163
