GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c1508580-23b1-433b-adbb-70473a7105e6	1	3301765	7867450	2962	-0.096
c1508580-23b1-433b-adbb-70473a7105e6	1	7867921	46311136	20075	-0.1717
c1508580-23b1-433b-adbb-70473a7105e6	1	46315160	50365335	2279	-0.1008
c1508580-23b1-433b-adbb-70473a7105e6	1	50367128	67306440	11409	-0.1404
c1508580-23b1-433b-adbb-70473a7105e6	1	67309313	72542484	2980	-0.1043
c1508580-23b1-433b-adbb-70473a7105e6	1	72631417	72850233	180	-0.55
c1508580-23b1-433b-adbb-70473a7105e6	1	72852095	84033320	6587	-0.1213
c1508580-23b1-433b-adbb-70473a7105e6	1	84038737	93474533	5814	-0.1532
c1508580-23b1-433b-adbb-70473a7105e6	1	93476885	119984772	15868	-0.1227
c1508580-23b1-433b-adbb-70473a7105e6	1	146716041	151504963	569	0.2968
c1508580-23b1-433b-adbb-70473a7105e6	1	151506001	152437590	496	0.3795
c1508580-23b1-433b-adbb-70473a7105e6	1	152437990	153405027	638	0.4462
c1508580-23b1-433b-adbb-70473a7105e6	1	153412880	154893401	707	0.3682
c1508580-23b1-433b-adbb-70473a7105e6	1	154895579	156730976	788	0.3177
c1508580-23b1-433b-adbb-70473a7105e6	1	156731053	160223113	2257	0.4412
c1508580-23b1-433b-adbb-70473a7105e6	1	160223267	161832199	853	0.3588
c1508580-23b1-433b-adbb-70473a7105e6	1	161832259	165067758	2495	0.4569
c1508580-23b1-433b-adbb-70473a7105e6	1	165076228	165076297	2	-1.7891
c1508580-23b1-433b-adbb-70473a7105e6	1	165077278	167190396	1733	0.4626
c1508580-23b1-433b-adbb-70473a7105e6	1	167191346	175056522	5096	0.4188
c1508580-23b1-433b-adbb-70473a7105e6	1	175058848	178632677	2021	0.4633
c1508580-23b1-433b-adbb-70473a7105e6	1	178633102	186881438	5370	0.4118
c1508580-23b1-433b-adbb-70473a7105e6	1	186881574	201810025	8940	0.4469
c1508580-23b1-433b-adbb-70473a7105e6	1	201811267	207755422	3655	0.3927
c1508580-23b1-433b-adbb-70473a7105e6	1	207757285	210799905	2396	0.4522
c1508580-23b1-433b-adbb-70473a7105e6	1	210801839	236697493	16682	0.4125
c1508580-23b1-433b-adbb-70473a7105e6	1	236700531	247649129	6963	0.4619
c1508580-23b1-433b-adbb-70473a7105e6	1	247650404	247650984	2	-0.1841
c1508580-23b1-433b-adbb-70473a7105e6	2	480597	4015368	1621	0.8993
c1508580-23b1-433b-adbb-70473a7105e6	2	4016669	5786056	1303	0.835
c1508580-23b1-433b-adbb-70473a7105e6	2	5786787	8800096	2233	0.7278
c1508580-23b1-433b-adbb-70473a7105e6	2	8800914	13697059	3307	0.8324
c1508580-23b1-433b-adbb-70473a7105e6	2	13699355	23840027	6816	0.8658
c1508580-23b1-433b-adbb-70473a7105e6	2	23840338	57223101	18469	0.8315
c1508580-23b1-433b-adbb-70473a7105e6	2	57223479	57228337	2	-1.304
c1508580-23b1-433b-adbb-70473a7105e6	2	57233909	60710082	2185	0.8559
c1508580-23b1-433b-adbb-70473a7105e6	2	60710382	60713697	2	-0.4178
c1508580-23b1-433b-adbb-70473a7105e6	2	60716761	60845474	62	0.8779
c1508580-23b1-433b-adbb-70473a7105e6	2	60849364	74816384	7949	0.8007
c1508580-23b1-433b-adbb-70473a7105e6	2	74817089	97692157	7537	0.8416
c1508580-23b1-433b-adbb-70473a7105e6	2	97692714	98249471	305	0.9714
c1508580-23b1-433b-adbb-70473a7105e6	2	98249983	99182943	493	0.8022
c1508580-23b1-433b-adbb-70473a7105e6	2	99185262	100732421	961	0.619
c1508580-23b1-433b-adbb-70473a7105e6	2	100737869	102278982	941	0.0118
c1508580-23b1-433b-adbb-70473a7105e6	2	102279302	108328161	3804	0.0492
c1508580-23b1-433b-adbb-70473a7105e6	2	108328614	114173489	2492	0.0049
c1508580-23b1-433b-adbb-70473a7105e6	2	114179758	124079907	5446	-0.2237
