GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
22e5525a-26b5-4140-968f-0be63cb751d2	1	3301765	6394534	2063	-0.706
22e5525a-26b5-4140-968f-0be63cb751d2	1	6396411	6780000	188	-0.2841
22e5525a-26b5-4140-968f-0be63cb751d2	1	6781961	7095755	202	-0.4418
22e5525a-26b5-4140-968f-0be63cb751d2	1	7096022	7096229	2	0.0828
22e5525a-26b5-4140-968f-0be63cb751d2	1	7098501	7873397	509	-0.6879
22e5525a-26b5-4140-968f-0be63cb751d2	1	7874094	12654349	2327	-0.5856
22e5525a-26b5-4140-968f-0be63cb751d2	1	12654994	14911559	1210	-0.7124
22e5525a-26b5-4140-968f-0be63cb751d2	1	14912258	17796966	1313	-0.602
22e5525a-26b5-4140-968f-0be63cb751d2	1	17797462	19216305	1079	-0.7067
22e5525a-26b5-4140-968f-0be63cb751d2	1	19216421	25887350	3562	-0.6116
22e5525a-26b5-4140-968f-0be63cb751d2	1	25888112	29426953	1405	-0.52
22e5525a-26b5-4140-968f-0be63cb751d2	1	29427098	31020632	1082	-0.7099
22e5525a-26b5-4140-968f-0be63cb751d2	1	31021047	31899501	434	-0.5799
22e5525a-26b5-4140-968f-0be63cb751d2	1	31901509	31905496	3	-2.0765
22e5525a-26b5-4140-968f-0be63cb751d2	1	31912562	32915883	370	-0.5467
22e5525a-26b5-4140-968f-0be63cb751d2	1	32920812	32971441	11	0.0728
22e5525a-26b5-4140-968f-0be63cb751d2	1	32971758	33688975	411	0.2961
22e5525a-26b5-4140-968f-0be63cb751d2	1	33689901	35014707	926	0.2096
22e5525a-26b5-4140-968f-0be63cb751d2	1	35017112	36533316	660	0.3143
22e5525a-26b5-4140-968f-0be63cb751d2	1	36533822	38793002	1368	0.2429
22e5525a-26b5-4140-968f-0be63cb751d2	1	38793186	40706867	898	0.3068
22e5525a-26b5-4140-968f-0be63cb751d2	1	40709498	41030342	172	0.4267
22e5525a-26b5-4140-968f-0be63cb751d2	1	41032636	45796509	2702	0.2699
22e5525a-26b5-4140-968f-0be63cb751d2	1	45799581	46546472	250	0.4267
22e5525a-26b5-4140-968f-0be63cb751d2	1	46547030	46640963	52	0.2745
22e5525a-26b5-4140-968f-0be63cb751d2	1	46641647	48041365	883	0.2088
22e5525a-26b5-4140-968f-0be63cb751d2	1	48042313	50584238	1328	0.1624
22e5525a-26b5-4140-968f-0be63cb751d2	1	50587561	55254617	2431	0.237
22e5525a-26b5-4140-968f-0be63cb751d2	1	55254636	91624803	23575	0.1569
22e5525a-26b5-4140-968f-0be63cb751d2	1	91626518	93401582	838	0.224
22e5525a-26b5-4140-968f-0be63cb751d2	1	93402091	99904217	4117	0.158
22e5525a-26b5-4140-968f-0be63cb751d2	1	99906499	99906514	2	-1.1297
22e5525a-26b5-4140-968f-0be63cb751d2	1	99906686	108347151	4631	0.152
22e5525a-26b5-4140-968f-0be63cb751d2	1	108347484	114764988	3831	0.2242
22e5525a-26b5-4140-968f-0be63cb751d2	1	114768086	119984738	3322	0.171
22e5525a-26b5-4140-968f-0be63cb751d2	1	119984772	151356833	525	0.3365
22e5525a-26b5-4140-968f-0be63cb751d2	1	151357210	153414604	1181	0.2208
22e5525a-26b5-4140-968f-0be63cb751d2	1	153417084	153519074	57	0.3326
22e5525a-26b5-4140-968f-0be63cb751d2	1	153521139	153824100	91	0.5084
22e5525a-26b5-4140-968f-0be63cb751d2	1	153827368	156977276	1457	0.3198
22e5525a-26b5-4140-968f-0be63cb751d2	1	156979088	160920369	2634	0.2042
22e5525a-26b5-4140-968f-0be63cb751d2	1	160920736	161795908	340	0.3143
22e5525a-26b5-4140-968f-0be63cb751d2	1	161796094	165501577	2971	0.1505
22e5525a-26b5-4140-968f-0be63cb751d2	1	165501720	176376006	6951	0.1811
22e5525a-26b5-4140-968f-0be63cb751d2	1	176376034	178491560	1336	0.1263
22e5525a-26b5-4140-968f-0be63cb751d2	1	178493802	185715113	4814	0.1826
22e5525a-26b5-4140-968f-0be63cb751d2	1	185716270	199665274	8166	0.1485
22e5525a-26b5-4140-968f-0be63cb751d2	1	199665315	201814592	1445	0.2062
22e5525a-26b5-4140-968f-0be63cb751d2	1	201814609	206938130	3134	0.2609
22e5525a-26b5-4140-968f-0be63cb751d2	1	206938275	207903511	622	0.2061
22e5525a-26b5-4140-968f-0be63cb751d2	1	207903661	211453095	2654	0.1447
22e5525a-26b5-4140-968f-0be63cb751d2	1	211464300	213130059	1049	0.2279
22e5525a-26b5-4140-968f-0be63cb751d2	1	213130252	221877143	6049	0.1357
22e5525a-26b5-4140-968f-0be63cb751d2	1	221881592	225568531	2105	0.1787
22e5525a-26b5-4140-968f-0be63cb751d2	1	225569049	226526252	464	0.2748
22e5525a-26b5-4140-968f-0be63cb751d2	1	226526503	230315666	2237	0.1967
22e5525a-26b5-4140-968f-0be63cb751d2	1	230316577	230316706	2	1.4895
22e5525a-26b5-4140-968f-0be63cb751d2	1	230317851	234772423	3301	0.1734
22e5525a-26b5-4140-968f-0be63cb751d2	1	234772540	234780167	4	-0.9553
22e5525a-26b5-4140-968f-0be63cb751d2	1	234794424	236640453	1057	0.2309
22e5525a-26b5-4140-968f-0be63cb751d2	1	236641962	247650984	7022	0.1652
22e5525a-26b5-4140-968f-0be63cb751d2	2	480597	7576113	4305	0.1
22e5525a-26b5-4140-968f-0be63cb751d2	2	7576408	11716983	2787	0.1688
22e5525a-26b5-4140-968f-0be63cb751d2	2	11718787	23672977	8111	0.0895
22e5525a-26b5-4140-968f-0be63cb751d2	2	23675447	29040631	2419	0.2135
22e5525a-26b5-4140-968f-0be63cb751d2	2	29040970	36814972	4516	0.1073
22e5525a-26b5-4140-968f-0be63cb751d2	2	36818976	39246635	1052	0.1766
22e5525a-26b5-4140-968f-0be63cb751d2	2	39247538	42193591	1891	0.0919
22e5525a-26b5-4140-968f-0be63cb751d2	2	42193735	43608034	806	0.196
22e5525a-26b5-4140-968f-0be63cb751d2	2	43609054	46759642	2266	0.1258
22e5525a-26b5-4140-968f-0be63cb751d2	2	46781436	48607132	1029	0.1672
