GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
67fa364a-378a-48fb-8a12-8c28bbc5a07a	1	3301765	247650984	129749	0.0198
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	480597	31157894	19257	0.0331
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	31158532	227908608	104979	0.0188
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	227908716	237161661	5531	0.0341
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	237164393	237168100	2	-1.2262
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	237169270	240079397	1700	0.0306
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	240082468	240082942	2	1.3277
67fa364a-378a-48fb-8a12-8c28bbc5a07a	2	240090081	241537572	742	0.0393
67fa364a-378a-48fb-8a12-8c28bbc5a07a	3	2170634	197812401	107210	0.0153
67fa364a-378a-48fb-8a12-8c28bbc5a07a	4	1059384	187842528	103519	0.0158
67fa364a-378a-48fb-8a12-8c28bbc5a07a	5	913983	180934240	101138	0.0171
67fa364a-378a-48fb-8a12-8c28bbc5a07a	6	1011760	15281483	10291	0.0146
67fa364a-378a-48fb-8a12-8c28bbc5a07a	6	15283282	15283319	2	-2.2625
67fa364a-378a-48fb-8a12-8c28bbc5a07a	6	15288376	79896105	33963	0.0142
67fa364a-378a-48fb-8a12-8c28bbc5a07a	6	79897002	79903029	9	-1.1383
67fa364a-378a-48fb-8a12-8c28bbc5a07a	6	79904867	170596889	52931	0.0129
67fa364a-378a-48fb-8a12-8c28bbc5a07a	7	664936	51769985	30406	0.0175
67fa364a-378a-48fb-8a12-8c28bbc5a07a	7	51771469	75581391	7847	0.0377
67fa364a-378a-48fb-8a12-8c28bbc5a07a	7	75581911	158592540	43693	0.0145
67fa364a-378a-48fb-8a12-8c28bbc5a07a	8	667625	144182542	82249	0.0166
67fa364a-378a-48fb-8a12-8c28bbc5a07a	9	789794	14286783	7636	0.016
67fa364a-378a-48fb-8a12-8c28bbc5a07a	9	14290783	14290979	3	-1.3224
67fa364a-378a-48fb-8a12-8c28bbc5a07a	9	14291988	138044505	60844	0.0177
67fa364a-378a-48fb-8a12-8c28bbc5a07a	10	366509	7832174	5139	0.0176
67fa364a-378a-48fb-8a12-8c28bbc5a07a	10	7834235	7834511	2	-2.5245
67fa364a-378a-48fb-8a12-8c28bbc5a07a	10	7835432	117795551	66157	0.0156
67fa364a-378a-48fb-8a12-8c28bbc5a07a	10	117802247	117804691	2	-1.6629
67fa364a-378a-48fb-8a12-8c28bbc5a07a	10	117806027	133411599	10011	0.0218
67fa364a-378a-48fb-8a12-8c28bbc5a07a	11	456012	134272740	77596	0.02
67fa364a-378a-48fb-8a12-8c28bbc5a07a	12	780472	55638053	28846	0.0132
67fa364a-378a-48fb-8a12-8c28bbc5a07a	12	55638580	55639900	3	-1.3281
67fa364a-378a-48fb-8a12-8c28bbc5a07a	12	55641345	132605822	45513	0.0181
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	18874255	43217904	15354	0.0169
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	43218266	43219796	3	-1.4889
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	43221433	46039979	1833	0.0164
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	46043077	46043233	3	-3.1322
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	46045583	77516440	16778	0.0127
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	77516727	77544372	4	-1.1042
67fa364a-378a-48fb-8a12-8c28bbc5a07a	13	77545000	114226675	23037	0.0173
67fa364a-378a-48fb-8a12-8c28bbc5a07a	14	20033191	30798161	5393	0.0192
67fa364a-378a-48fb-8a12-8c28bbc5a07a	14	30798465	30799212	3	-1.5029
67fa364a-378a-48fb-8a12-8c28bbc5a07a	14	30801878	105533894	44397	0.017
67fa364a-378a-48fb-8a12-8c28bbc5a07a	15	23437561	101344124	44791	0.015
67fa364a-378a-48fb-8a12-8c28bbc5a07a	16	603333	89317317	41209	0.0203
67fa364a-378a-48fb-8a12-8c28bbc5a07a	17	1074619	57093435	24021	0.0293
67fa364a-378a-48fb-8a12-8c28bbc5a07a	17	57096744	57100840	2	-1.725
67fa364a-378a-48fb-8a12-8c28bbc5a07a	17	57101967	64867438	3825	0.0165
67fa364a-378a-48fb-8a12-8c28bbc5a07a	17	64929599	64929920	2	1.4123
67fa364a-378a-48fb-8a12-8c28bbc5a07a	17	64930571	82959812	9432	0.028
67fa364a-378a-48fb-8a12-8c28bbc5a07a	18	326691	79349796	42978	0.0152
67fa364a-378a-48fb-8a12-8c28bbc5a07a	19	283868	14999787	5477	0.0398
67fa364a-378a-48fb-8a12-8c28bbc5a07a	19	15000298	15000768	3	-1.1725
67fa364a-378a-48fb-8a12-8c28bbc5a07a	19	15001239	58370362	18682	0.03
67fa364a-378a-48fb-8a12-8c28bbc5a07a	20	472817	31577324	17119	0.017
67fa364a-378a-48fb-8a12-8c28bbc5a07a	20	31579878	31580937	3	-1.7085
67fa364a-378a-48fb-8a12-8c28bbc5a07a	20	31581449	63588502	20433	0.0185
67fa364a-378a-48fb-8a12-8c28bbc5a07a	21	13974127	38403641	15775	0.012
67fa364a-378a-48fb-8a12-8c28bbc5a07a	21	38403688	38499585	204	-0.1189
67fa364a-378a-48fb-8a12-8c28bbc5a07a	21	38500772	46262057	4619	0.0237
67fa364a-378a-48fb-8a12-8c28bbc5a07a	22	16934932	34108672	7918	0.0243
67fa364a-378a-48fb-8a12-8c28bbc5a07a	22	34109874	34109889	2	-1.945
67fa364a-378a-48fb-8a12-8c28bbc5a07a	22	34109914	48940621	9169	0.0293
67fa364a-378a-48fb-8a12-8c28bbc5a07a	X	3236359	155677414	63982	0.018
