GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	62920	2832416	536	-0.0809
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	2833356	12778601	5948	0.0061
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	12779433	12807830	21	-0.8258
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	12813243	15823420	1827	0.0044
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	15827002	15827744	8	-0.8357
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	15828471	16855942	356	0.0169
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	16863509	16935393	53	0.3677
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	16935737	22010750	3346	0.0093
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	22011632	22015896	2	-1.375
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	22017709	25266637	1913	0.0006
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	25269390	25289805	14	0.8598
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	25292440	34637053	4956	0.0048
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	34637069	34638890	19	-0.6726
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	34648667	59408435	14905	0.0028
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	59412075	59425618	9	-1.0692
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	59425850	65280260	4251	0.0057
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	65280348	65283050	4	-1.3027
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	65283462	65432318	91	0.0225
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	65437762	65440582	2	-1.011
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	65441079	66161179	529	0.0355
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	66162049	66163146	4	-0.8152
04d02abd-e0f3-4b48-864d-6280d4eb674d	1	66163939	72290430	3954	0.0069
