GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	3301765	163216623	75523	0.0103
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	163216969	163217034	2	-1.9748
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	163218794	167569749	3319	0.0054
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167572506	167572564	2	-1.7219
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167573048	167689123	106	0.069
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167692769	167700250	7	-0.3229
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167708907	167755489	28	0.0272
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167756774	167757113	2	-1.9953
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	167760822	182322501	9209	0.0237
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	182324746	182324994	2	-1.7235
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	182325683	187880619	3560	0.0157
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	187883578	187885749	5	-1.2884
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	1	187893406	247650984	37879	0.0082
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	480597	2844234	868	-0.0303
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	2844330	2845352	2	-2.0892
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	2845395	59235123	33973	0.0024
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	59239881	59240264	3	-1.3925
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	59244147	116311130	26612	0.0086
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	116316031	116316528	2	-1.7117
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	116316853	122058506	3129	0.0112
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	122061431	230392097	60943	0.0252
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	2	230392343	241537572	6526	-0.0047
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	3	2170634	197812401	107103	0.0163
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	1059384	6772120	3093	-0.0223
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	6786291	25544208	12319	0.0145
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	25544505	25986241	273	-0.0435
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	25986355	25987052	2	-2.1376
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	25988376	29107188	1939	0.018
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	29114372	29116011	3	-1.0217
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	29122460	29138523	44	0.0623
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	29138956	34343072	2936	-0.0441
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	34344306	34349995	11	-0.6279
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	34350616	35670004	770	-0.0695
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	35675901	37515202	1225	0.0181
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	37516941	37517522	3	-1.13
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	37517951	58163556	9824	0.0012
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	58163798	66674602	4589	-0.0368
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	66679863	73747617	3300	0.0051
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	73751261	73751526	2	-2.0495
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	73751565	91017021	10433	0.0032
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	91017241	91017501	3	-1.3984
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	91017586	96950764	3226	-0.011
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	96952332	96952480	2	-1.8574
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	96955114	114085244	9698	0.0017
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	114091657	114092247	4	-1.1965
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	114093536	126111475	6754	-0.0159
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	126112175	126112205	3	-1.7672
d9444f92-d667-467e-b3fd-e0d8f31f6f3d	4	126124841	126392283	183	-0.0245
