GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	3301765	17414002	7625	-0.2322
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	17415377	17859084	252	0.2042
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	17862405	36349840	9785	-0.2186
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	36352400	39781312	1919	0.1913
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	39785682	40874397	552	0.5023
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	40918052	41032636	76	0.8133
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	41034939	41715357	421	0.5578
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	41716337	44898215	1905	0.2133
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	44899697	49249600	2314	0.1679
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	49254231	49300790	19	-0.3595
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	49303114	55515661	3228	0.1784
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	55517852	56276395	569	0.2442
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	56280415	58736951	2042	0.163
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	58738766	67037983	5829	0.2238
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	67038044	76220457	5292	0.1853
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	76220783	83659601	4362	0.2098
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	83660647	83661409	3	-0.641
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	83666331	84050360	279	0.2376
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	84050666	84266774	139	0.5665
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	84266846	90133326	3831	0.2317
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	90135948	90417646	187	-0.1848
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	90418030	93584371	1710	0.2266
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	93590333	93658939	48	0.5864
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	93659101	93694139	22	0.9242
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	93695231	93932566	130	0.5184
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	93936707	94457913	378	0.8181
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	94466153	94632514	130	0.5483
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	94635769	95027028	334	0.2531
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	95027705	97120193	1282	0.5073
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	97120630	101156418	2420	0.2329
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	101156988	103977129	1416	0.1882
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	103981163	104031080	28	0.5349
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	104037255	107552995	2022	0.184
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	107556096	110606027	1643	0.229
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	110609527	112602145	1423	-0.1937
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	112620816	112846741	107	0.2174
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	112852540	114410653	928	-0.2073
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	114413167	114531255	46	0.2239
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	114535697	114554046	10	-0.3192
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	114559941	114653545	37	0.1745
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	114655410	117854130	2161	-0.2017
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	117855002	119614159	1005	0.1781
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	119619529	119981332	228	-0.171
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	119984738	160988714	5975	0.1982
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	160994037	161071945	38	0.4551
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	161072273	164352563	2189	0.2064
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	164359134	167534933	2541	-0.218
3da4a808-275c-45fd-b9e4-81183ebeb0c9	1	167536598	172269961	3335	-0.172
