GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	62920	2942284	551	0.0988
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	2943159	2944517	2	3.8339
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	2947232	11531747	5160	0.0608
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	11538613	11539717	2	-2.8184
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	11540004	14975452	1903	0.0832
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	14978106	15036048	61	-0.5323
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	15039744	15822848	490	0.0983
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	15823420	15828515	11	1.1756
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	15839166	22010750	3666	0.0773
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	22011632	22015896	2	3.7549
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	22017709	23264158	785	0.0615
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	23277397	23405118	81	0.5191
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	23405208	30520055	3589	0.0871
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	30522581	31544633	611	0.9202
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	31544989	34461276	1601	0.4727
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	34462720	45030723	5881	0.0686
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	45034155	45552952	229	0.821
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	45555044	52887790	3755	0.0972
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	52896256	66649888	10145	-0.4114
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	66650307	66729670	80	0.125
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	66730103	72303233	3427	-0.4194
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	72303253	72345465	43	-1.1788
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	72346221	74710734	1420	-0.4342
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	74711223	74720685	4	-3.5353
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	74721817	74803600	62	-0.491
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	74805388	74808182	2	2.8663
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	74808303	94686257	12771	-0.3952
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	94686853	94687263	5	-2.2208
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	94687294	96157918	1003	-0.4085
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	96162269	97617388	860	0.5269
7adacb86-5d5b-4894-a2d1-0eaa93a6fd5d	1	97618937	103587546	3642	-0.4121
