GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b7573c04-ffcc-4757-833c-afdab85ac718	1	3301765	11023266	4444	0.0555
b7573c04-ffcc-4757-833c-afdab85ac718	1	11026077	46139784	18518	0.0233
b7573c04-ffcc-4757-833c-afdab85ac718	1	46142836	55300916	4922	0.0644
b7573c04-ffcc-4757-833c-afdab85ac718	1	55301540	62025882	5048	-0.0215
b7573c04-ffcc-4757-833c-afdab85ac718	1	62026382	85206658	14325	0.0583
b7573c04-ffcc-4757-833c-afdab85ac718	1	85207066	93602182	5065	0.0216
b7573c04-ffcc-4757-833c-afdab85ac718	1	93606142	96214136	1788	0.0876
b7573c04-ffcc-4757-833c-afdab85ac718	1	96218326	96268394	37	0.4874
b7573c04-ffcc-4757-833c-afdab85ac718	1	96270715	103990936	4330	0.3433
b7573c04-ffcc-4757-833c-afdab85ac718	1	103991640	110685787	3737	0.5689
b7573c04-ffcc-4757-833c-afdab85ac718	1	110686930	111021708	196	0.7702
b7573c04-ffcc-4757-833c-afdab85ac718	1	111025010	179886454	24212	0.5673
b7573c04-ffcc-4757-833c-afdab85ac718	1	179891060	193193894	8263	0.5314
b7573c04-ffcc-4757-833c-afdab85ac718	1	193194044	193194613	8	-0.473
b7573c04-ffcc-4757-833c-afdab85ac718	1	193206637	207719385	8801	0.5357
b7573c04-ffcc-4757-833c-afdab85ac718	1	207719430	214662422	4941	0.5804
b7573c04-ffcc-4757-833c-afdab85ac718	1	214663167	227011804	7811	0.5321
b7573c04-ffcc-4757-833c-afdab85ac718	1	227012399	233927797	4542	0.496
b7573c04-ffcc-4757-833c-afdab85ac718	1	233928314	234527339	496	0.5312
b7573c04-ffcc-4757-833c-afdab85ac718	1	234529343	247650984	8255	0.5714
b7573c04-ffcc-4757-833c-afdab85ac718	2	480597	2239128	390	0.3044
b7573c04-ffcc-4757-833c-afdab85ac718	2	2242219	2646359	339	0.5414
b7573c04-ffcc-4757-833c-afdab85ac718	2	2646462	12176936	6777	0.3268
b7573c04-ffcc-4757-833c-afdab85ac718	2	12178340	12178726	2	-2.2786
b7573c04-ffcc-4757-833c-afdab85ac718	2	12178984	15453323	2079	0.304
b7573c04-ffcc-4757-833c-afdab85ac718	2	15454371	25690477	6523	0.354
b7573c04-ffcc-4757-833c-afdab85ac718	2	25691487	27389375	774	0.3156
b7573c04-ffcc-4757-833c-afdab85ac718	2	27391201	31857028	2764	0.2724
b7573c04-ffcc-4757-833c-afdab85ac718	2	31857443	32055630	78	0.0493
b7573c04-ffcc-4757-833c-afdab85ac718	2	32057465	38878640	3262	0.2812
b7573c04-ffcc-4757-833c-afdab85ac718	2	38882745	41720727	1661	0.2246
b7573c04-ffcc-4757-833c-afdab85ac718	2	41720791	46836779	3537	0.2836
b7573c04-ffcc-4757-833c-afdab85ac718	2	46838560	62408232	8525	0.3292
b7573c04-ffcc-4757-833c-afdab85ac718	2	62411905	74412510	7019	0.2574
b7573c04-ffcc-4757-833c-afdab85ac718	2	74413129	82377466	4262	0.3154
b7573c04-ffcc-4757-833c-afdab85ac718	2	82378976	83755110	755	0.2741
b7573c04-ffcc-4757-833c-afdab85ac718	2	83755228	88831240	2034	0.355
b7573c04-ffcc-4757-833c-afdab85ac718	2	88831554	113771300	9410	0.0327
b7573c04-ffcc-4757-833c-afdab85ac718	2	113771899	114085277	194	0.3806
b7573c04-ffcc-4757-833c-afdab85ac718	2	114085652	117721239	1655	0.0347
b7573c04-ffcc-4757-833c-afdab85ac718	2	117724138	127795429	5331	0.0702
b7573c04-ffcc-4757-833c-afdab85ac718	2	127796517	134711799	3312	0.0096
b7573c04-ffcc-4757-833c-afdab85ac718	2	134712199	142680938	4445	0.0485
b7573c04-ffcc-4757-833c-afdab85ac718	2	142682220	147963023	2836	-0.0129
b7573c04-ffcc-4757-833c-afdab85ac718	2	147963648	148393789	187	-0.3387
b7573c04-ffcc-4757-833c-afdab85ac718	2	148397925	169837110	12732	0.0332
b7573c04-ffcc-4757-833c-afdab85ac718	2	169838724	182142282	7717	-0.0087
b7573c04-ffcc-4757-833c-afdab85ac718	2	182142775	210729214	14761	0.041
b7573c04-ffcc-4757-833c-afdab85ac718	2	210769563	210810983	32	-0.9367
b7573c04-ffcc-4757-833c-afdab85ac718	2	210813505	223173188	7838	0.0198
b7573c04-ffcc-4757-833c-afdab85ac718	2	223173457	232998881	5660	0.057
b7573c04-ffcc-4757-833c-afdab85ac718	2	232999758	241537572	5321	-0.0196
b7573c04-ffcc-4757-833c-afdab85ac718	3	2170634	9364915	4273	0.0757
b7573c04-ffcc-4757-833c-afdab85ac718	3	9371727	30149632	12411	0.0329
b7573c04-ffcc-4757-833c-afdab85ac718	3	30151053	30151074	2	-1.7834
b7573c04-ffcc-4757-833c-afdab85ac718	3	30151286	32321340	1504	0.0094
b7573c04-ffcc-4757-833c-afdab85ac718	3	32321506	39665707	4445	0.0601
b7573c04-ffcc-4757-833c-afdab85ac718	3	39665916	42319258	1481	-0.0133
b7573c04-ffcc-4757-833c-afdab85ac718	3	42319379	42319596	3	-1.5083
b7573c04-ffcc-4757-833c-afdab85ac718	3	42321096	46831514	2590	-0.02
b7573c04-ffcc-4757-833c-afdab85ac718	3	46836648	52615024	2258	0.0493
b7573c04-ffcc-4757-833c-afdab85ac718	3	52615074	57737862	3427	-0.0188
b7573c04-ffcc-4757-833c-afdab85ac718	3	57738465	90401331	18892	0.0594
b7573c04-ffcc-4757-833c-afdab85ac718	3	90406012	97000860	1496	0.4765
b7573c04-ffcc-4757-833c-afdab85ac718	3	97001085	106719191	5402	0.3863
b7573c04-ffcc-4757-833c-afdab85ac718	3	106721211	106721799	2	-1.3063
b7573c04-ffcc-4757-833c-afdab85ac718	3	106722440	117719717	6511	0.3742
b7573c04-ffcc-4757-833c-afdab85ac718	3	117723157	117985654	181	0.1041
b7573c04-ffcc-4757-833c-afdab85ac718	3	117986234	123813406	3184	0.3912
b7573c04-ffcc-4757-833c-afdab85ac718	3	123814124	128439709	2850	0.3294
b7573c04-ffcc-4757-833c-afdab85ac718	3	128441020	128449194	9	-0.9838
b7573c04-ffcc-4757-833c-afdab85ac718	3	128451019	170911348	22372	0.3903
b7573c04-ffcc-4757-833c-afdab85ac718	3	170918499	174963457	2124	0.3388
b7573c04-ffcc-4757-833c-afdab85ac718	3	174963694	175102405	86	0.0277
b7573c04-ffcc-4757-833c-afdab85ac718	3	175105049	179547721	2150	0.3381
b7573c04-ffcc-4757-833c-afdab85ac718	3	179548253	186631707	3513	0.3895
b7573c04-ffcc-4757-833c-afdab85ac718	3	186633709	193695943	4585	0.315
b7573c04-ffcc-4757-833c-afdab85ac718	3	193696151	197812401	1446	0.3664
b7573c04-ffcc-4757-833c-afdab85ac718	4	1059384	4977920	1740	-0.3117
b7573c04-ffcc-4757-833c-afdab85ac718	4	4978013	5430218	320	-0.4176
b7573c04-ffcc-4757-833c-afdab85ac718	4	5430528	18669240	8900	-0.2907
b7573c04-ffcc-4757-833c-afdab85ac718	4	18669455	18669550	2	1.6276
b7573c04-ffcc-4757-833c-afdab85ac718	4	18671197	29308775	6825	-0.2831
b7573c04-ffcc-4757-833c-afdab85ac718	4	29308912	35628952	3602	-0.3223
b7573c04-ffcc-4757-833c-afdab85ac718	4	35629058	65700083	15107	-0.2809
b7573c04-ffcc-4757-833c-afdab85ac718	4	65701338	65703138	5	-1.4648
b7573c04-ffcc-4757-833c-afdab85ac718	4	65703589	88562026	12879	-0.2731
b7573c04-ffcc-4757-833c-afdab85ac718	4	88564228	101844118	7359	-0.3282
b7573c04-ffcc-4757-833c-afdab85ac718	4	101845346	127030142	14203	-0.2893
b7573c04-ffcc-4757-833c-afdab85ac718	4	127031638	127031970	2	-2.3151
b7573c04-ffcc-4757-833c-afdab85ac718	4	127032216	141148915	7363	-0.2723
b7573c04-ffcc-4757-833c-afdab85ac718	4	141153511	153743109	6800	-0.3382
b7573c04-ffcc-4757-833c-afdab85ac718	4	153743143	162140692	5008	-0.288
b7573c04-ffcc-4757-833c-afdab85ac718	4	162141069	162152828	10	-1.4857
b7573c04-ffcc-4757-833c-afdab85ac718	4	162156110	181382059	10301	-0.2739
b7573c04-ffcc-4757-833c-afdab85ac718	4	181386086	181635401	148	-0.7497
b7573c04-ffcc-4757-833c-afdab85ac718	4	181635770	184200262	1025	-0.2849
b7573c04-ffcc-4757-833c-afdab85ac718	4	184200296	184200580	4	-1.3988
b7573c04-ffcc-4757-833c-afdab85ac718	4	184202241	187842528	1859	-0.2667
b7573c04-ffcc-4757-833c-afdab85ac718	5	913983	50837510	26145	0.5802
b7573c04-ffcc-4757-833c-afdab85ac718	5	50837542	54315900	2102	0.0462
b7573c04-ffcc-4757-833c-afdab85ac718	5	54324613	57265164	1899	0.1716
b7573c04-ffcc-4757-833c-afdab85ac718	5	57266772	59065963	1257	0.0317
b7573c04-ffcc-4757-833c-afdab85ac718	5	59068101	59232079	138	-0.3516
b7573c04-ffcc-4757-833c-afdab85ac718	5	59232133	59506639	186	-0.0151
b7573c04-ffcc-4757-833c-afdab85ac718	5	59506869	62671981	1747	0.1766
b7573c04-ffcc-4757-833c-afdab85ac718	5	62672571	63885700	418	0.0643
b7573c04-ffcc-4757-833c-afdab85ac718	5	63886716	66422380	1398	-0.2581
b7573c04-ffcc-4757-833c-afdab85ac718	5	66426197	79888618	7278	-0.3474
b7573c04-ffcc-4757-833c-afdab85ac718	5	79890566	83932171	2356	-0.2876
b7573c04-ffcc-4757-833c-afdab85ac718	5	83932278	83934708	3	-2.4671
b7573c04-ffcc-4757-833c-afdab85ac718	5	83935934	107836568	11642	-0.2795
b7573c04-ffcc-4757-833c-afdab85ac718	5	107836967	108041842	167	0.0433
b7573c04-ffcc-4757-833c-afdab85ac718	5	108042588	145343097	22029	-0.2885
b7573c04-ffcc-4757-833c-afdab85ac718	5	145345285	161856888	10906	-0.2543
b7573c04-ffcc-4757-833c-afdab85ac718	5	161860841	161861161	2	-2.5212
b7573c04-ffcc-4757-833c-afdab85ac718	5	161861487	161888508	21	-0.2944
b7573c04-ffcc-4757-833c-afdab85ac718	5	161888904	161968477	3	-1.591
b7573c04-ffcc-4757-833c-afdab85ac718	5	161971954	169219717	4789	-0.2658
b7573c04-ffcc-4757-833c-afdab85ac718	5	169220500	169220596	2	-2.5107
b7573c04-ffcc-4757-833c-afdab85ac718	5	169222617	178223992	5169	-0.2411
b7573c04-ffcc-4757-833c-afdab85ac718	5	178225391	180934240	1428	-0.3144
b7573c04-ffcc-4757-833c-afdab85ac718	6	1011760	3245618	1686	-0.4004
b7573c04-ffcc-4757-833c-afdab85ac718	6	3251515	3465788	144	0.0702
b7573c04-ffcc-4757-833c-afdab85ac718	6	3466942	17613197	9959	-0.0138
b7573c04-ffcc-4757-833c-afdab85ac718	6	17617055	27068677	6141	0.0447
b7573c04-ffcc-4757-833c-afdab85ac718	6	27068886	35248963	2630	-0.2722
b7573c04-ffcc-4757-833c-afdab85ac718	6	35261238	37587141	1356	0.0425
b7573c04-ffcc-4757-833c-afdab85ac718	6	37588666	41302346	2734	-0.0072
b7573c04-ffcc-4757-833c-afdab85ac718	6	41302570	47400691	3550	0.057
