GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	3301765	174925032	83713	0.0068
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174927162	174929387	5	-1.2851
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	1	174932989	247650984	46088	0.0044
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	2	480597	241537572	132252	0.0021
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	2170634	30058593	16609	0.007
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	30069315	30069515	2	-2.0184
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	30069868	139644024	60386	0.0061
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	139647910	139658407	9	-1.0807
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	3	139658564	197812401	30203	0.0065
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	4	1059384	78498610	43425	0.009
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	4	78499411	78499462	3	-1.5298
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	4	78505271	187842528	60115	0.0057
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	5	913983	180934240	101163	0.0071
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	6	1011760	170596889	97192	0.005
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	7	664936	158592540	81971	0.0055
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	8	667625	144182542	82259	0.0069
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	9	789794	20180988	12402	0.0078
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	9	20183304	20183394	4	-1.0073
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	9	20186461	21731367	1114	0.0104
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	9	21731368	21732467	2	-1.6839
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	9	21732467	138044505	54985	0.0029
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	366509	28949880	20062	0.01
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	28951473	28951825	3	-1.3507
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	28957078	127214414	58071	0.0063
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	127216414	127217544	3	-2.1386
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	127218597	127833298	520	-0.0018
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	127834933	127836320	2	-2.5589
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	10	127837644	133411599	2656	0.0077
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	11	456012	75046787	39371	0.0056
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	11	75052465	75087079	21	-1.0153
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	11	75087722	126648649	33037	0.0053
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	11	126651192	126651275	2	-1.5853
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	11	126653820	134272740	5181	0.0058
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	12	780472	132605822	74380	0.0065
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	13	18874255	111571776	55929	0.0046
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	13	111574099	111574160	2	-1.6956
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	13	111574465	114226675	1087	-0.0085
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	14	20033191	105533894	49805	0.0069
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	15	23437561	101344124	44805	0.0055
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	16	603333	1883406	341	-0.0417
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	16	1887168	1888091	2	-1.8033
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	16	1890268	81558069	36114	0.0074
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	16	81558420	81584810	3	-1.6526
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	16	81588209	89317317	4767	0.0034
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	17	1074619	82959812	37304	0.0063
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	18	326691	79349796	42986	0.0088
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	19	283868	58370362	24160	0.0038
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	20	472817	39405820	21210	0.0108
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	20	39410348	39413403	3	-1.4689
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	20	39417485	63588502	16359	0.0074
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	21	13974127	46262057	20605	0.0106
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	22	16934932	48940621	17094	0.0099
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	X	3236359	98987326	37947	0.0069
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	X	98989989	99028479	16	-0.9691
8d67e2d9-2f75-4615-b3b4-81c9a8bebbed	X	99030667	155677414	26029	0.0086
