GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	3301765	17450337	7620	-0.0511
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	17454768	17520426	36	0.4509
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	17523436	32079728	7767	-0.0523
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	32087273	115452355	49676	-0.2768
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	115454000	115814733	241	0.605
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	115815352	116060502	198	0.3322
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	116060542	116291041	160	0.8682
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	116291372	116496561	148	0.3777
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	116499445	116569937	23	0.9321
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	116575340	116618642	25	0.3437
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	116622685	119984772	2012	-0.2727
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	146716041	151555900	602	0.8984
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	151557459	153496225	1136	1.0641
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	153496983	160264107	3728	0.0738
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	160264901	160502023	160	0.8886
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	160503373	161690250	543	0.0607
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	161698656	161972701	206	0.4561
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	161972719	162258082	280	0.0974
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	162260216	162281755	25	1.2588
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	162282558	163322572	819	0.0781
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	163324544	163459353	131	0.8776
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	163464889	164676501	792	0.0961
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	164678417	164703078	35	0.3463
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	164705773	165635972	878	0.0719
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	165638403	165943593	233	1.2301
ee9ecf8c-e528-40b6-a196-eb1f2689a397	1	165945257	167566251	1174	0.3703
