GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	62920	10671203	5393	0.246
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	10671295	11030221	166	0.6999
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	11032632	16604834	3091	0.2561
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	16605031	16788139	50	0.627
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	16855942	16868660	4	0.163
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	16877002	16975177	67	-0.075
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	16976074	30574948	7914	0.251
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	30576779	30861568	226	0.6695
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	30864056	34532920	2023	0.2443
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	34535695	34981656	265	0.7321
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	34985877	37122284	1101	0.2599
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	37122748	40598659	1915	0.2193
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	40600072	54193059	7578	0.2652
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	54197273	54696201	304	0.7604
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	54702625	54826407	101	0.2034
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	54826860	64435422	7246	0.2681
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	64436772	66678077	1803	0.2278
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	66679473	67525427	556	0.2503
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	67526399	68225020	541	0.3056
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	68226680	71331231	1838	0.2439
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	71331308	72303233	586	0.1849
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	72303253	72346221	46	-1.1656
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	72346757	74621483	1361	0.1871
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	74622227	75461171	494	0.2522
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	75465727	75505110	16	-0.5483
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	75508213	75585159	57	0.2058
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	75589078	75589169	2	1.2855
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	75593824	78810379	2128	0.2496
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	78817524	87787080	6009	-0.4953
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	87787866	87793567	7	-1.335
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	87794856	89009572	844	-0.4815
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	89012275	89012522	2	-3.1123
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	89015841	105470754	9997	-0.4854
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	105476583	105481448	19	0.1999
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	105481468	108187137	1933	-0.4888
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	108191613	108194874	3	-4.1312
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	108196482	110941484	1664	-0.4788
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	110945183	113536074	1861	0.2703
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	113540310	116134102	1703	-0.5207
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	116140098	117123969	673	0.2853
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	117128020	117408094	186	0.7421
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	117438133	120144552	1650	0.2956
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	120146498	120414592	4	1.0005
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	120885464	143459641	99	0.3347
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	143494500	143708096	75	-0.1268
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	143708149	143714499	18	0.2967
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	143714665	143751625	13	-0.3733
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	143751658	144932423	37	0.2355
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	145642976	145687141	8	-0.181
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	145687602	145793372	43	-0.6172
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	145793816	145809381	8	-0.1121
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	145827122	152583051	2237	0.319
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	152583230	152613242	29	-0.3615
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	152613641	152787202	171	0.2968
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	152789447	152796224	37	-1.2159
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	152801429	153665141	612	0.3532
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	153669919	153824100	55	0.7289
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	153827368	154372912	232	0.2799
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	154382775	155269959	480	0.3582
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	155270312	155770397	207	0.2731
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	155770766	161735628	3745	-0.4955
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	161738445	165307397	2837	0.2716
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	165307652	177362105	8311	0.2374
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	177362842	178690798	844	0.2903
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	178690874	178697158	26	0.5513
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	178699520	179370127	542	0.2281
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	179370199	181375531	1298	0.2938
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	181375869	183532639	1541	0.2372
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	183533114	183746781	154	1.0103
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	183753706	189679027	3832	0.2132
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	189679353	189679397	2	-2.8116
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	189682917	193175517	2310	0.2257
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	193178606	193217640	77	0.6589
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	193218337	196762956	2354	0.2317
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	196769493	196843377	55	0.0135
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	196843400	196846661	2	-1.889
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	196847600	196983271	92	0.3758
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	196983282	200726019	2402	0.2237
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	200731840	202235085	1018	0.2766
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	202236195	203139916	523	0.2022
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	203141124	203778954	430	0.72
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	203782213	205940598	1549	0.2568
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	205945277	205952317	11	1.0143
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	205952731	209897717	2759	0.2586
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	209908268	209910639	3	1.24
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	209913207	213729975	2502	0.2317
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	213731821	217101334	2522	0.2813
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	217101346	224343064	4794	0.2304
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	224347718	236307027	8113	0.5025
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	236307359	244075955	5983	0.4597
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	244076981	248713007	2999	0.5138
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	248713850	248873491	68	0.3387
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	1	248874237	248930189	32	0.5154
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	12784	4158097	2981	0.1384
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	4166274	4176429	42	-0.4147
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	4182472	8279382	3473	0.1301
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	8279775	12810486	3339	0.1906
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	12810890	18422320	4094	0.1466
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	18422345	32324703	8609	0.1806
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	32330777	32363547	8	-0.6507
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	32366912	33119986	474	0.2032
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	33120063	34458223	1049	0.1457
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	34460213	34512489	50	-0.1439
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	34512965	35750907	870	0.1614
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	35752724	35762850	6	-1.4814
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	35762881	35900971	120	0.0752
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	35901890	36193628	230	0.2051
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	36193958	36194680	2	-0.9797
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	36195479	41405932	3883	0.1747
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	41406133	41410275	11	-0.3346
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	41414217	49798769	5929	0.1759
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	49805330	52527423	1948	0.137
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	52527590	52554404	36	0.5056
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	52560811	54124863	1182	0.1612
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	54125221	56022476	1344	-0.6302
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	56024112	57176185	821	0.138
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	57176742	57200818	48	0.3776
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	57202788	59720152	1606	0.1053
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	59721304	88810098	17553	0.172
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	88810233	89014207	143	0.3006
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	89015010	95754013	603	0.1986
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	95754731	97210040	520	0.0854
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	97210463	97210536	2	-2.0868
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	97211069	97359885	16	0.0883
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	97524284	97560849	15	0.8731
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	97562741	106265177	5561	0.0777
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	106266773	106268901	8	0.9202
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	106270799	134232662	16432	0.07
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	134232736	134303690	61	0.6563
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	134304073	135739547	778	0.0745
1b88b21c-f2cc-45aa-b55a-ad0cc299124f	2	135743725	135795514	23	0.5052
