GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	3301765	23277512	11242	0.0173
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	23279453	63769306	22879	-0.0222
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	63769639	63790347	9	0.2585
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	63794075	68324208	3340	-0.0631
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	68324960	82489853	8014	-0.0977
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	82490014	97368362	9305	-0.0679
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	97368611	106845762	5221	-0.1124
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	106859331	111664534	2861	-0.0562
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	111665725	114138722	1555	-0.0175
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	114139310	114151650	13	-0.3116
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	114154398	114154411	2	-1.7953
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	114155472	119984772	3684	-0.0442
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	146716041	183444030	20929	0.7648
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	183444048	199825822	9658	0.7114
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	199828508	213816149	9286	0.7745
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	213817641	220328176	4528	0.7311
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	220330559	237034722	10591	0.7766
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	237034949	244210070	5164	0.7452
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	244216130	245380056	554	0.8131
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	245381707	245381842	2	-0.9727
dfe66ee6-0535-42b6-b6b1-b961604d8a27	1	245383096	247650984	942	0.7885
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	480597	3868835	1522	-0.0097
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	3869160	24913276	14236	-0.047
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	24913300	31533622	3771	-0.0086
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	31534398	41829772	5222	-0.0678
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	41834288	47803699	4023	-0.0223
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	47804639	57493767	5095	-0.0824
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	57496578	57497336	3	-1.402
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	57498256	59386610	1121	-0.097
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	59389689	75998975	9630	-0.0393
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	75999249	81719737	3037	-0.1013
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	81722839	81723371	2	-1.9094
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	81726408	84147279	1293	-0.1112
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	84151459	101462810	4723	-0.0262
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	101464066	108425966	4347	-0.0624
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	108425968	114465611	2579	-0.0186
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	114467627	117731015	1434	-0.1118
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	117734237	122416871	2881	-0.0183
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	122417250	125998372	1410	-0.0954
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	126001741	136444878	5247	-0.0333
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	136446448	215894190	44908	-0.0896
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	215895002	216527533	452	-0.0171
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	216530453	231039477	9076	-0.0613
dfe66ee6-0535-42b6-b6b1-b961604d8a27	2	231049380	241537572	6166	-0.0086
dfe66ee6-0535-42b6-b6b1-b961604d8a27	3	2170634	8318175	3500	-0.0613
dfe66ee6-0535-42b6-b6b1-b961604d8a27	3	8319013	11813043	2231	0.0094
dfe66ee6-0535-42b6-b6b1-b961604d8a27	3	11813203	15068315	2174	-0.0387
dfe66ee6-0535-42b6-b6b1-b961604d8a27	3	15069618	31399166	9680	-0.0836
